Greatjon U Encounters:
Hodor (Hodor), Greatjon U (Lord Umber), 1128250, "his will.  And when Lord Umber, who was called the Greatjon by his men and stood as tall as Hodor"
Greatjon U (Greatjon), Catelyn S (Lady Stark), 1177589, "a wise counsellor, but unskilled in the arts of war.�  �Have no fear on that count, Lady Stark,� the Greatjon"
Tywin L (Tywin), Greatjon U (Greatjon), 1177671, "that count, Lady Stark,� the Greatjon told her in his bass rumble. �Winterfell is safe. We�ll shove our swords up Tywin"
Tywin L (Tywin Lannister), Greatjon U (Greatjon), 1177681, "count, Lady Stark,� the Greatjon told her in his bass rumble. �Winterfell is safe. We�ll shove our swords up Tywin Lannister"
Greatjon U (Greatjon), Galbart G (Galbart), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon U (Greatjon), Rickard K (Rickard Karstark), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon U (Greatjon), Robett G (Robett), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon U (Greatjon), Roose B (Roose), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Helman T (Helman), Greatjon U (Greatjon), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Helman T (Helman Tallhart), Greatjon U (Greatjon), 1179839, "were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman Tallhart"
Greatjon U (Greatjon), Robb S (Robb), 1188072, "said to her son, �but where, and to what purpose? What do you mean to do?�  Robb hesitated. �The Greatjon"
Tywin L (Tywin), Greatjon U (Greatjon), 1188119, "purpose? What do you mean to do?�  Robb hesitated. �The Greatjon thinks we should take the battle to Lord Tywin"
Greatjon U (Greatjon), Eddard S (Ned), 1190971, "once. Again like his father; Ned would always take the more dangerous task himself.  �And the other?�  �The Greatjon"
Tywin L (Tywin), Greatjon U (Greatjon), 1191020, "the more dangerous task himself.  �And the other?�  �The Greatjon is always saying that we should smash Lord Tywin"
Robb S (Robb), Greatjon U (Greatjon), 1191250, "confidence? �Your father once told me that the Greatjon was as fearless as any man he had ever known.�  Robb"
Rickard K (Lord Rickard), Greatjon U (Greatjon), 1260164, "closed and barred.  The Greatjon began to curse and swear as soon as he saw what awaited them. Lord Rickard"
Rickard K (Rickard Karstark), Greatjon U (Greatjon), 1260173, "and barred.  The Greatjon began to curse and swear as soon as he saw what awaited them. Lord Rickard Karstark"
Robb S (Robb), Greatjon U (Greatjon), 1262546, "will go,� she said loudly.  �You, my lady?� The Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb"
Catelyn S (Catelyn), Greatjon U (Greatjon), 1262578, "�You, my lady?� The Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb was not.  �Never more,� Catelyn"
Walder F (Walder), Greatjon U (Greatjon), 1262604, "Greatjon furrowed his brow.  �Mother, are you certain?� Clearly, Robb was not.  �Never more,� Catelyn lied glibly. �Lord Walder"
Greatjon U (Greatjon), Theon G (Theon), 1377487, "know.�  A mob of men followed him up the slope, dirty and dented and grinning, with Theon and the Greatjon"
Jaime L (Jaime), Greatjon U (Greatjon), 1377538, "the slope, dirty and dented and grinning, with Theon and the Greatjon at their head. Between them they dragged Ser Jaime"
Jaime L (Jaime Lannister), Greatjon U (Greatjon), 1377548, "slope, dirty and dented and grinning, with Theon and the Greatjon at their head. Between them they dragged Ser Jaime Lannister"
Catelyn S (Catelyn), Greatjon U (Greatjon), 1378731, "Greatjon agreed, gesturing. Lannister was led away to be bandaged and chained.  �Why should Lord Karstark want him dead?� Catelyn"
Greatjon U (Greatjon), Lefford (Lord Lefford), 1506903, "led a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon"
Greatjon U (Greatjon), Tytos B (Tytos Blackwood), 1506903, "led a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon"
Greatjon U (Greatjon Umber), Lefford (Lord Lefford), 1506909, "a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon Umber"
Greatjon U (Greatjon Umber), Tytos B (Tytos Blackwood), 1506909, "a sortie across the drawbridge and took them in the rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon Umber"
Tytos B (Lord Blackwood), Greatjon U (Greatjon), 1506969, "rear.�  �Gods save us,� Lord Lefford swore.  �Greatjon Umber fired the siege towers we were building, and Lord Blackwood"
Edmure T (Ser Edmure), Greatjon U (Greatjon), 1506986, "save us,� Lord Lefford swore.  �Greatjon Umber fired the siege towers we were building, and Lord Blackwood found Ser Edmure"
Edmure T (Edmure Tully), Greatjon U (Greatjon), 1506992, "us,� Lord Lefford swore.  �Greatjon Umber fired the siege towers we were building, and Lord Blackwood found Ser Edmure Tully"
Greatjon U (Greatjon), Brynden T (Brynden), 1545676, "at their oars. Theon Greyjoy was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon"
Greatjon U (Greatjon), Theon G (Theon), 1545676, "at their oars. Theon Greyjoy was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon"
Catelyn S (Catelyn), Greatjon U (Greatjon), 1545704, "was with him. Her uncle Brynden would come behind in the second boat, with the Greatjon and Lord Karstark.  Catelyn"
Rickard K (Rickard Karstark), Greatjon U (Greatjon), 1556960, "the point thrust in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark"
Maege M (Maege), Greatjon U (Greatjon), 1556967, "point thrust in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege"
Maege M (Maege Mormont), Greatjon U (Greatjon), 1556975, "thrust in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont"
Galbart G (Galbart), Greatjon U (Greatjon), 1556984, "in the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart"
Galbart G (Galbart Glover), Greatjon U (Greatjon), 1556991, "the earth, his gloved hands clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart Glover"
Tytos B (Tytos Blackwood), Greatjon U (Greatjon), 1557023, "clasped around the hilt. Around him others knelt: Greatjon Umber, Rickard Karstark, Maege Mormont, Galbart Glover, and more. Even Tytos Blackwood"
Greatjon U (Greatjon), Catelyn S (Catelyn), 1560294, " The northern lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon"
Greatjon U (Greatjon), Robb S (Robb), 1560294, " The northern lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon"
Robb S (Robb), Greatjon U (Greatjon), 1560306, "lords sat opposite, with Catelyn and Robb facing her brother across the tables. They were fewer. The Greatjon sat at Robb"
Theon G (Theon), Greatjon U (Greatjon), 1560334, "and Robb facing her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon"
Theon G (Theon Greyjoy), Greatjon U (Greatjon), 1560342, "Robb facing her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy"
Galbart G (Galbart), Greatjon U (Greatjon), 1560351, "facing her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy; Galbart"
Galbart G (Galbart Glover), Greatjon U (Greatjon), 1560358, "her brother across the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy; Galbart Glover"
Maege M (Lady Mormont), Greatjon U (Greatjon), 1560375, "the tables. They were fewer. The Greatjon sat at Robb�s left hand, and then Theon Greyjoy; Galbart Glover and Lady Mormont"
Maege M (Lady Mormont), Greatjon U (Greatjon), 1564507, "outrage drowned out his voice. �Craven!� the Greatjon thundered. �Begging for a truce will make us seem weak,� declared Lady Mormont"
Greatjon U (Greatjon), Catelyn S (Catelyn), 1568379, "on the table.  Catelyn was thinking of her girls, wondering if she would ever see them again, when the Greatjon"
Maege M (Maege), Greatjon U (Greatjon), 1569425, "well.� He eased his longsword from its scabbard. �The King in the North!� he said, kneeling beside the Greatjon.  Maege"
Maege M (Maege Mormont), Greatjon U (Greatjon), 1569433, "He eased his longsword from its scabbard. �The King in the North!� he said, kneeling beside the Greatjon.  Maege Mormont"
