char 1, char2, index, text
Aemon-Targaryen (Maester-Aemon), Jon-Snow (Jon-Snow), 677, "at the Wall; tending the bloody ravens and making fires for old Maester-Aemon. It was the bastard Jon-Snow"
Jon-Snow (Jon-Snow), Samwell-Tarly (Sam-Tarly), 739, "Maester-Aemon. It was the bastard Jon-Snow who had taken that from him; him and his fat friend Sam-Tarly"
Lark (Lark), Paul (Small-Paul), 1555, "said. "Bugger this bear; he not worth freezing over."  "We cant go back emptyhand; Lark;" rumbled Small-Paul"
Jeor-Mormont (Old-Bear), Lark (Sisterman), 1856, "fur glove clenched tight around the shaft of a spear.  "Bugger that Old-Bear too;" said the Sisterman"
Paul (Small-Paul), Chett (Chett), 2054, "remember? Who cares what he likes?"  Small-Paul blinked his black little eyes. Maybe he had forgotten; Chett"
Lark (Lark), Paul (Small-Paul), 2317, "said Lark. "Hell hunt us down. You want to be hunted; you great muttonhead?"  "No;" said Small-Paul"
Paul (Small-Paul), Lark (Lark), 2378, "muttonhead?"  "No;" said Small-Paul. "I dont want that. I dont."  "So youll kill him?" said Lark"
Lark (Sisterman), Chett (Chett), 2553, "will. He shouldnt hunt us."  The Sisterman took his hands from his armpits and turned to Chett"
Chett (Chett), Jeor-Mormont (Old-Bear), 2661, "all the officers; I say."  Chett was sick of hearing it. "We been over this. The Old-Bear"
Dywen (Dywen), Bannen (Bannen), 2782, "the Shadow Tower. Grubbs and Aethan as well; their ill luck for drawing the watch; Dywen and Bannen"
Bannen (Bannen), Samwell-Tarly (Ser-Piggy), 2816, "Aethan as well; their ill luck for drawing the watch; Dywen and Bannen for their tracking; and Ser-Piggy"
Dywen (Dywen), Samwell-Tarly (Ser-Piggy), 2816, "Aethan as well; their ill luck for drawing the watch; Dywen and Bannen for their tracking; and Ser-Piggy"
Mance-Rayder (Mance-Rayder), Thoren-Smallwood (Thoren-Smallwood), 4433, "down out of the Frostfangs. And now Mance-Rayder and his wildlings were flowing down the same way. Thoren-Smallwood"
Thoren-Smallwood (Thoren-Smallwood), Jeor-Mormont (Old-Bear), 4509, "the same way. Thoren-Smallwood had returned in a lather three days past. While he was telling the Old-Bear"
Thoren-Smallwood (Smallwood), Chett (Chett), 4887, "That fool Tumberjon wanted to pick her off with an arrow; but Smallwood had better sense."  Chett"
Thoren-Smallwood (Smallwood), Bannen (Bannen), 5204, "a rare thing to find even a dozen mounted wildlings; and five hundred �  "Smallwood sent Bannen"
Thoren-Smallwood (Thoren-Smallwood), Donnel-Hill (Donnel-Hill), 6356, "pointless. If they stayed here; they would be engulfed and overwhelmed.  And Thoren-Smallwood wanted to attack. Sweet-Donnel-Hill"
Donnel-Hill (Donnel-Hill), Mallador-Locke (Ser-Mallador-Locke), 6389, "here; they would be engulfed and overwhelmed.  And Thoren-Smallwood wanted to attack. Sweet-Donnel-Hill was squire to Ser-Mallador-Locke"
Thoren-Smallwood (Thoren-Smallwood), Mallador-Locke (Ser-Mallador-Locke), 6389, "here; they would be engulfed and overwhelmed.  And Thoren-Smallwood wanted to attack. Sweet-Donnel-Hill was squire to Ser-Mallador-Locke"
Donnel-Hill (Donnel-Hill), Thoren-Smallwood (Smallwood), 6426, "overwhelmed.  And Thoren-Smallwood wanted to attack. Sweet-Donnel-Hill was squire to Ser-Mallador-Locke; and the night before last Smallwood"
Mallador-Locke (Ser-Mallador-Locke), Thoren-Smallwood (Smallwood), 6426, "overwhelmed.  And Thoren-Smallwood wanted to attack. Sweet-Donnel-Hill was squire to Ser-Mallador-Locke; and the night before last Smallwood"
Thoren-Smallwood (Smallwood), Mallador-Locke (Ser-Mallador), 6463, "attack. Sweet-Donnel-Hill was squire to Ser-Mallador-Locke; and the night before last Smallwood had come to Locke tent. Ser-Mallador"
Mallador-Locke (Ser-Mallador), Ottyn-Wythers (Ser-Ottyn-Wythers), 6514, "before last Smallwood had come to Locke tent. Ser-Mallador had been of the same mind as old Ser-Ottyn-Wythers"
Thoren-Smallwood (Smallwood), Ottyn-Wythers (Ser-Ottyn-Wythers), 6514, "before last Smallwood had come to Locke tent. Ser-Mallador had been of the same mind as old Ser-Ottyn-Wythers"
Ottyn-Wythers (Ser-Ottyn-Wythers), Thoren-Smallwood (Smallwood), 6559, "Ser-Mallador had been of the same mind as old Ser-Ottyn-Wythers; urging a retreat on the Wall; but Smallwood"
Ottyn-Wythers (Ser-Ottyn-Wythers), Mance-Rayder (King-beyond-the-Wall), 6620, "as old Ser-Ottyn-Wythers; urging a retreat on the Wall; but Smallwood wanted to convince him otherwise. "This King-beyond-the-Wall"
Thoren-Smallwood (Smallwood), Mance-Rayder (King-beyond-the-Wall), 6620, "as old Ser-Ottyn-Wythers; urging a retreat on the Wall; but Smallwood wanted to convince him otherwise. "This King-beyond-the-Wall"
Mance-Rayder (King-beyond-the-Wall), Donnel-Hill (Sweet-Donnel), 6671, "but Smallwood wanted to convince him otherwise. "This King-beyond-the-Wall will never look for us so far north;" Sweet-Donnel"
Chett (Chett), Mallador-Locke (Ser-Mallador), 7042, "Three hundred against thirty thousand. Chett called that rank madness; and what was madder still was that Ser-Mallador"
Jeor-Mormont (Old-Bear), Thoren-Smallwood (Smallwood), 7216, "persuading the Old-Bear. "If we wait too long; this chance may be lost; never to come again;" Smallwood"
