Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Eigenvector Centrality,Clustering Coefficient,Number of triangles
Worm,,1,14,5,3.726415094,0,0.002463054,0.002463054,5,0.003107567,0,0.011143874,0,0
Davos,,5,87,5,3.009433962,312,0.007389163,0.007389163,6,0.013205687,0,0.052499146,0.1,1
Cressen,,1,4,6,4,0,0.002463054,0.002463054,6,0.003628538,0,0.005317092,0,0
Salladhor,,1,16,6,4,0,0.002463054,0.002463054,6,0.003628538,0,0.005317092,0,0
Eddard,,12,108,4,2.169811321,107.6349826,0.016009852,0.016009852,2,0.013696043,0,0.512043514,0.545454545,36
Eddison,,3,24,5,3.037735849,0,0.004926108,0.004926108,0,0.005105895,0,0.067031468,1,3
Gilly,,4,69,5,3.018867925,0,0.006157635,0.006157635,0,0.006510906,0,0.080932381,1,6
Qyburn,,1,11,5,3.075471698,0,0.002463054,0.002463054,1,0.002376118,0,0.060431477,0,0
Renly,,8,55,4,2.405660377,23.52841297,0.011083744,0.011083744,1,0.009577477,0,0.349641161,0.571428571,16
Tommen,,5,31,5,2.858490566,3.886829837,0.007389163,0.007389163,1,0.006470091,0,0.196779585,0.5,5
Janos,,6,37,5,2.528301887,131.1036732,0.00862069,0.00862069,0,0.009092784,0,0.157816901,0.4,6
Bowen,,2,11,6,3.320754717,0,0.003694581,0.003694581,0,0.003875766,0,0.032586442,1,1
Kevan,,6,50,5,2.632075472,106.9588272,0.00862069,0.00862069,1,0.008518292,0,0.259764959,0.466666667,7
Margaery,,7,96,5,2.660377358,6.10676519,0.009852217,0.009852217,1,0.008528253,0,0.271695884,0.571428571,12
Myrcella,,4,18,5,2.688679245,3.470318304,0.006157635,0.006157635,1,0.005381655,0,0.202694918,0.666666667,4
Dalla,,3,21,5,2.990566038,0,0.004926108,0.004926108,0,0.005119829,0,0.0632607,1,3
Melisandre,,4,62,5,2.726415094,47.90724047,0.006157635,0.006157635,6,0.007067566,0,0.10431111,0.666666667,4
Orell,,1,6,5,3.075471698,0,0.002463054,0.002463054,0,0.002532107,0,0.040472907,0,0
Qhorin,,5,59,5,3.018867925,1.466666667,0.007389163,0.007389163,0,0.007772725,0,0.086439545,0.8,8
Rattleshirt,,4,44,5,3.047169811,0,0.006157635,0.006157635,0,0.006503245,0,0.068810175,1,6
Styr,,2,23,5,3.066037736,0,0.003694581,0.003694581,0,0.003797235,0,0.053762025,1,1
Val,,4,31,5,2.679245283,32.8242342,0.006157635,0.006157635,0,0.006218039,0,0.110223352,0.5,3
Ygritte,,4,82,5,3.047169811,0,0.006157635,0.006157635,0,0.006503245,0,0.068810175,1,6
Jon Arryn,,2,11,4,2.896226415,3.20799062,0.003694581,0.003694581,1,0.003492954,0,0.072178458,0,0
Lancel,,1,7,6,3.622641509,0,0.002463054,0.002463054,1,0.002585329,0,0.019628467,0,0
Olenna,,2,12,5,2.933962264,0,0.003694581,0.003694581,1,0.003365927,0,0.088686076,1,1
Marillion,,3,23,5,2.905660377,0,0.004926108,0.004926108,1,0.004774141,0,0.096349801,1,3
Robert Arryn,,3,19,5,2.905660377,0,0.004926108,0.004926108,1,0.004774141,0,0.096349801,1,3
Ellaria,,2,10,5,2.924528302,0,0.003694581,0.003694581,1,0.00363023,0,0.092665624,1,1
Mace,,3,20,5,2.867924528,0,0.004926108,0.004926108,1,0.004599001,0,0.143045636,1,3
Rickard,,2,11,5,3.028301887,0,0.003694581,0.003694581,4,0.003288855,0,0.078301675,1,1
Ramsay,,1,4,5,3.037735849,0,0.002463054,0.002463054,4,0.002373281,0,0.056887097,0,0
Chataya,,2,9,5,2.933962264,0,0.003694581,0.003694581,1,0.003536797,0,0.091451635,1,1
Shireen,,1,5,6,4,0,0.002463054,0.002463054,6,0.003628538,0,0.005317092,0,0
Doran,,1,5,5,2.943396226,0,0.002463054,0.002463054,1,0.002372909,0,0.074892358,0,0
Walton,,1,10,5,3.075471698,0,0.002463054,0.002463054,1,0.002376118,0,0.060431477,0,0
