Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Eigenvector Centrality,Clustering Coefficient,Number of triangles
Aemon,,5,74,4,2.566037736,25.72425801,0.007389163,0.007389163,0,0.007217903,0,0.152743904,0.7,7
Grenn,,4,81,5,3.028301887,0.333333333,0.006157635,0.006157635,0,0.006417242,0,0.078651786,0.833333333,5
Samwell,,15,282,5,2.603773585,179.5971781,0.019704433,0.019704433,0,0.021307736,0,0.214766602,0.238095238,25
Aerys,,4,37,4,2.547169811,0,0.006157635,0.006157635,1,0.005376549,0,0.232091261,1,6
Jaime,,24,372,4,2.08490566,556.1852523,0.030788178,0.030788178,1,0.028169743,0,0.814569814,0.278985507,77
Robert,,18,128,3,2,1165.602517,0.023399014,0.023399014,1,0.021924669,0,0.613252189,0.287581699,44
Tyrion,,36,551,4,1.952830189,1101.384972,0.045566503,0.045566503,1,0.042119583,0,1,0.180952381,114
Tywin,,22,204,4,2.132075472,364.7212196,0.028325124,0.028325124,1,0.025052738,0,0.671741595,0.229437229,53
Alliser,,3,29,5,2.91509434,0,0.004926108,0.004926108,0,0.005086628,0,0.067152379,1,3
Mance,,12,160,5,2.79245283,40.49072503,0.016009852,0.016009852,0,0.01784208,0,0.137705096,0.318181818,21
Amory,,1,5,6,3.820754717,0,0.002463054,0.002463054,1,0.002634891,0,0.017773266,0,0
Oberyn,,7,76,5,2.830188679,108.9634921,0.009852217,0.009852217,1,0.010345821,0,0.231063352,0.428571429,9
Arya,,19,269,4,2.056603774,443.0135843,0.024630541,0.024630541,2,0.021493741,0,0.677010957,0.333333333,57
Anguy,,2,15,5,3.037735849,0,0.003694581,0.003694581,2,0.003484073,0,0.062805968,1,1
Beric,,6,75,5,2.952830189,3.389760739,0.00862069,0.00862069,2,0.00806942,0,0.151945954,0.6,9
Bran,,14,344,5,2.377358491,350.6873758,0.018472906,0.018472906,3,0.018524603,0,0.374251738,0.318681319,29
Brynden,,10,62,5,2.660377358,26.30650391,0.012315271,0.012315271,4,0.010762658,0,0.27609096,0.5,18
Cersei,,20,226,4,2.254716981,148.843899,0.02586207,0.02586207,1,0.021874193,0,0.725587549,0.357894737,68
Gendry,,4,59,5,3,0,0.006157635,0.006157635,2,0.005574913,0,0.111395023,1,6
Gregor,,12,117,4,2.481132075,32.7217293,0.016009852,0.016009852,1,0.013682678,0,0.470400518,0.545454545,36
Joffrey,,18,255,4,2.273584906,141.5407634,0.023399014,0.023399014,1,0.019978617,0,0.679079573,0.392156863,60
Jon,,26,442,4,2.08490566,1279.753353,0.03325123,0.03325123,0,0.035277511,0,0.494739927,0.156923077,51
Rickon,,6,81,5,2.641509434,4.244047619,0.00862069,0.00862069,3,0.007615438,0,0.249723306,0.8,12
Roose,,4,17,5,2.79245283,1.46337185,0.006157635,0.006157635,4,0.005325781,0,0.175162354,0.666666667,4
Sandor,,13,137,4,2.396226415,78.81308256,0.01724138,0.01724138,2,0.014626265,0,0.489602969,0.5,39
Thoros,,5,60,4,2.764150943,10.71920465,0.007389163,0.007389163,2,0.006663191,0,0.154625445,0.8,8
Balon,,6,29,4,2.462264151,3.495468214,0.00862069,0.00862069,1,0.007436288,0,0.307929058,0.8,12
Loras,,9,76,4,2.566037736,21.0398865,0.012315271,0.012315271,1,0.010840546,0,0.348476378,0.5,18
Belwas,,4,67,5,3.5,105,0.006157635,0.006157635,5,0.008944835,0,0.029371092,0.5,3
Barristan,,6,63,4,2.632075472,223.2348268,0.00862069,0.00862069,5,0.010065575,0,0.136262987,0.533333333,8
Illyrio,,1,10,6,4.490566038,0,0.002463054,0.002463054,5,0.003280618,0,0.003883544,0,0
Hodor,,4,177,5,2.952830189,12.20809267,0.006157635,0.006157635,3,0.006113773,0,0.102131036,0.666666667,4
Jojen,,4,125,6,3.188679245,2.261904762,0.006157635,0.006157635,3,0.006289505,0,0.066739994,0.833333333,5
Luwin,,2,8,6,3.358490566,0,0.003694581,0.003694581,3,0.004356519,0,0.032932898,1,1
Meera,,5,139,5,2.952830189,11.08691003,0.007389163,0.007389163,3,0.007504814,0,0.104227785,0.7,7
Nan,,2,18,6,3.358490566,0,0.003694581,0.003694581,3,0.004356519,0,0.032932898,1,1
Theon,,4,38,5,2.679245283,2.6254329,0.006157635,0.006157635,3,0.00573334,0,0.145831613,0.833333333,5
Brienne,,7,122,4,2.575471698,8.556744846,0.009852217,0.009852217,1,0.008393371,0,0.316994908,0.619047619,13
Bronn,,4,59,5,2.896226415,0.583333333,0.006157635,0.006157635,1,0.005376726,0,0.180169346,0.666666667,4
Podrick,,5,64,5,2.650943396,4.651775284,0.007389163,0.007389163,1,0.006485301,0,0.222167853,0.5,5
Lothar,,5,34,5,2.981132075,3.673192663,0.007389163,0.007389163,4,0.006526309,0,0.122107116,0.8,8
Walder,,8,87,5,2.70754717,18.21525448,0.011083744,0.011083744,4,0.009574438,0,0.23328622,0.607142857,17
Catelyn,,18,184,4,2.264150943,272.161237,0.023399014,0.023399014,4,0.020525654,0,0.583906678,0.294117647,45
Edmure,,8,98,4,2.698113208,35.15540317,0.011083744,0.011083744,4,0.009828301,0,0.226172001,0.535714286,15
Hoster,,3,24,5,3.179245283,1.35025641,0.004926108,0.004926108,4,0.004471835,0,0.087558066,0.666666667,2
Jeyne,,2,28,5,2.981132075,0,0.003694581,0.003694581,4,0.003343373,0,0.100857517,1,1
Lysa,,10,108,5,2.547169811,84.67234484,0.013546798,0.013546798,1,0.012684408,0,0.339592762,0.355555556,16
Petyr,,7,89,5,2.528301887,6.400940824,0.009852217,0.009852217,1,0.008368351,0,0.332876322,0.714285714,15
Robb,,25,342,4,2.047169811,706.5572832,0.032019705,0.032019705,4,0.029260632,0,0.75228094,0.24,72
Roslin,,4,32,5,3.198113208,0.375746606,0.006157635,0.006157635,4,0.005521271,0,0.090195573,0.833333333,5
Sansa,,26,383,4,1.962264151,705.1985624,0.03325123,0.03325123,1,0.029453434,0,0.838807588,0.252307692,82
Stannis,,14,146,4,2.08490566,571.5247305,0.018472906,0.018472906,6,0.017704491,0,0.518875875,0.351648352,32
Elia,,5,29,5,2.70754717,16.67748923,0.007389163,0.007389163,1,0.006674047,0,0.232784034,0.6,6
Ilyn,,6,32,5,2.839622642,0,0.00862069,0.00862069,1,0.007169952,0,0.274227669,1,15
Meryn,,7,47,5,2.764150943,1.441374269,0.009852217,0.009852217,1,0.008189787,0,0.330633054,0.904761905,19
Pycelle,,4,24,5,2.849056604,0,0.006157635,0.006157635,1,0.005341328,0,0.19827363,1,6
Shae,,5,45,5,2.688679245,6.96957758,0.007389163,0.007389163,1,0.006840671,0,0.217975315,0.6,6
Varys,,7,49,5,2.811320755,5.060887723,0.009852217,0.009852217,1,0.008798241,0,0.256179867,0.523809524,11
Craster,,5,75,5,3.009433962,105,0.007389163,0.007389163,0,0.008843551,0,0.08221901,0.6,6
Karl,,1,6,6,4,0,0.002463054,0.002463054,0,0.002882437,0,0.007974268,0,0
Daario,,4,30,5,3.698113208,0.333333333,0.006157635,0.006157635,5,0.008378871,0,0.023355632,0.833333333,5
Drogo,,4,35,5,3.698113208,0.333333333,0.006157635,0.006157635,5,0.008378871,0,0.023355632,0.833333333,5
Irri,,4,33,5,3.698113208,1,0.006157635,0.006157635,5,0.00879147,0,0.020668076,0.666666667,4
Daenerys,,14,232,4,2.735849057,874.8372111,0.018472906,0.018472906,5,0.028458312,0,0.104970423,0.153846154,14
Aegon,,1,8,5,3.726415094,0,0.002463054,0.002463054,5,0.003107567,0,0.011143874,0,0
Jorah,,6,89,5,3.471698113,12.96584412,0.00862069,0.00862069,5,0.01140601,0,0.042842728,0.533333333,8
Kraznys,,1,10,5,3.726415094,0,0.002463054,0.002463054,5,0.003107567,0,0.011143874,0,0
Missandei,,2,30,5,3.716981132,0,0.003694581,0.003694581,5,0.004978171,0,0.014452528,1,1
Rakharo,,1,7,5,3.726415094,0,0.002463054,0.002463054,5,0.003107567,0,0.011143874,0,0
Rhaegar,,6,42,4,2.811320755,40.69501861,0.00862069,0.00862069,5,0.00988651,0,0.100242995,0.4,6
Viserys,,3,19,5,2.688679245,87.06103763,0.004926108,0.004926108,5,0.005505092,0,0.095111009,0.333333333,1
