King Joffrey,7
Bloody Gate,7
Slynt,7
Mance Rayder,7
Lefford,7
Jason Mallister,7
Samwell,7
Age,6
Ser Brynden,6
Sword,6
Balerion,6
Lord Petyr,6
Golden Tooth,6
Lord Steward,6
Blackwood,6
Hunter,6
Meryn,6
Fire,6
Jade Sea,6
Edmure Tully,6
Darry,6
Loras,6
Glover,6
Lord Robert,6
Torrhen,6
Alyssa,6
Tyrell,6
Helman Tallhart,6
White Swords,6
Shadow Lands,6
Aron Santagar,6
Western Market,6
Flea Bottom,5
Balon Greyjoy,5
Piper,5
Aemon the Dragonknight,5
Whispering Wood,5
Beric,5
Catelyn Tully,5
Hal,5
Karyl Vance,5
Daenerys Stormborn,5
Marq,5
King of the Andals,5
Ilyn,5
Barristan the Bold,5
Dornish,5
Bear Island,5
Ser Raymun,5
Robar,5
Knight of the Gate,5
Citadel,5
Ben,5
Yi Ti,5
Horn Hill,5
Arya Stark,5
Brynden Blackfish,5
Ser Stevron,5
Tytos Blackwood,5
King Aerys,5
First Keep,5
Tobho Mott,5
Robert Arryn,5
Tyrosh,5
Lord Hunter,5
Hobb,5
Khal Ogo,5
Donnel,5
Maester Malleon,4
Ser Harys,4
Boros Blount,4
Yohn Royce,4
Jhaqo,4
Jafer Flowers,4
Long Night,4
Lady Sansa,4
Mace Tyrell,4
Ser Aron,4
Ser Wendel,4
Blackwater Rush,4
Spider,4
Addam Marbrand,4
Dragons,4
Lady Whent,4
King Renly,4
Brandon the Builder,4
Black Ears,4
Gerold Hightower,4
Mud Gate,4
Womb,4
Sandor,4
Greatjon Umber,4
Crakehall,4
Daryn Hornwood,4
Manderly,4
Sam Tarly,4
Stevron,4
Gurn,4
Heddle,4
Ser Willis,4
Robett Glover,4
White Bull,4
Cheyk,4
Port,4
Wind Witch,4
Lady Mormont,4
Lord Umber,4
Hal Mollen,4
Mallister,4
Wylis,4
Moon Door,4
Qohor,4
West,4
Ser Addam,4
Shadow,4
Mormonts,4
Howland Reed,4
Hugh,4
Jonos Bracken,4
Maege Mormont,4
Mott,4
Septa,4
Lord of Storm,3
Elia,3
Great Keep,3
Arys Oakheart,3
Umar,3
Baelor the Blessed,3
Mya Stone,3
Ben Jen,3
Wendel Manderly,3
Gates,3
Lord Slynt,3
Bryce Caron,3
Jalabhar Xho,3
Pyke,3
Lord Piper,3
Karyl,3
Great Rider,3
Masha,3
Colemon,3
Moon Boy,3
Hill,3
Vance,3
Jen,3
Lord Jason,3
Tyrion the Imp,3
War,3
Dawn Age,3
Stevron Frey,3
Wendel,3
Lord of Casterly Rock,3
Wardens,3
Eastern Market,3
Wheel Tower,3
Danwell,3
Baelor,3
Ser Perwyn,3
Gods,3
Maegor the Cruel,3
Silver Lady,3
Aegon Targaryen,3
Lord Cerwyn,3
Dawn,3
Oldtown,3
Varys the Spider,3
Isle,3
Defender,3
Late Lord Frey,3
Gerold,3
Randyll,3
Water Tower,3
Broken,3
Prince Aemon,3
Dondarrion,3
Khal Rhaggat,3
Steel,3
Gatehouse Tower,3
Wendish Town,3
First Ranger,3
Malleon,3
Blackwater,3
Willis,3
Lord Protector,3
Cotter Pyke,3
Redfort,3
Mance,3
Storm Dancer,3
Lord Randyll,3
Nestor Royce,3
Lord Lefford,3
Doom,3
Bracken,3
Cart King,2
Lord Nestor,2
Tyrells,2
Joffrey Baratheon,2
Mychel Redfort,2
Dragon,2
Ashara Dayne,2
Rickard Stark,2
Light,2
Bottom,2
Lord Brax,2
Horror,2
White,2
Lord Blackwood,2
Underfoot,2
Quorin Halfhand,2
Finger Hobb,2
Mandon Moore,2
Wylis Manderly,2
Sunset Lands,2
Patrek Mallister,2
Ser Hobber,2
Jaehaerys,2
Catelyn Tully Stark,2
Faces,2
Crossing,2
Perwyn,2
Endrew,2
Merchant Captain Byan Votyris,2
Raymun,2
Maester Aethelmure,2
Master Mott,2
Lord of Highgarden,2
Jogos Nhai,2
Khal Jommo,2
Umber,2
Rykker,2
Ser Arys,2
Ryam Redwyne,2
Stone Head,2
Janos,2
Rickard,2
Arya Underfoot,2
Jafer,2
Lady Tanda,2
Black Dread,2
Lady Frey,2
Sunset,2
Battle,2
Great Summer,2
Kevan Lannister,2
Jommo,2
Flement Brax,2
Stone Hedge,2
Mad King Aerys,2
Derik,2
True Warden,2
Bran the Broken,2
Queen Naerys,2
Tanda,2
Prince Joff,2
Ser Oswell,2
Sansa Stark,2
Willem Darry,2
Lord Tyrell,2
Ser Edmure,2
Ser Willem,2
Viserys Targaryen,2
Sunset Sea,2
Galbart,2
Pono,2
Harys Swyft,2
Princess Daenerys,2
Lyn,2
Iron Lord,2
Dance,2
Lord Hornwood,2
Ser Arthur,2
Lord Bracken,2
Gate of the Gods,2
Lord Hand,2
King Mern,2
Tobho,2
Ser Piggy,2
White Knife,2
Field,2
Oswell Whent,2
Ser Flement,2
Ser Dontos,2
Randyll Tarly,2
Smoking Log,2
Ser Donnel,2
Florian the Fool,2
High Steward,2
Commander of the City,2
Mychel,2
Maege,2
Brune,2
Hosteen,2
Alyssa Arryn,2
Sorefoot King,2
Bronze Yohn Royce,2
Othell Yarwyck,2
Lord of Ham,2
Aegon the Dragon,2
Donnel Waynwood,2
Vargo Hoat,2
Gods Eye,2
Lord Manderly,2
Histories,2
Princess of Dragonstone,2
Dothrak,2
Harrion Karstark,2
Lothor Brune,2
Swyft,2
Grey,2
Late,2
Lord Vance,2
Ser Horas,2
Flement,2
Martyn Cassel,2
Ko Jhaqo,2
Lord of Light,2
Descriptions,2
Cerwyn,2
Arya Horseface,2
Ser Marq,2
Horse,2
Jared,2
Lady Piggy,2
Lord of the Crossing,2
Andar Royce,2
Andal,2
Jared Frey,2
Dornish Marches,2
Water,1
Shield,1
Lord Jonos,1
Hosteen Frey,1
Prince of Dorne,1
Jorah the Andal,1
Gowen Baratheon,1
East,1
Rodrik Stark,1
Lord of the Dreadfort,1
Ser Wylis,1
Ser Sandor,1
Tytos Brax,1
Gregor the Mountain,1
Lady Maege,1
Payne,1
Dan Ares,1
Brax,1
Iron,1
Lord Tyrion,1
Blue Fork,1
Mark Ryswell,1
Ser Preston,1
Shella Whent,1
Great Yard,1
Lord Wyman,1
Bowen Marsh the Lord Steward,1
Dreadfort,1
Hornwood,1
Queen Regent,1
Horse Gate,1
Lann the Clever,1
Podrick Payne,1
Brandon the Shipwright,1
Rainbow Knight,1
Flint,1
Serrett,1
Eel Alley,1
Forley Prester,1
Olyvar Frey,1
Ser Danwell,1
Bronze Yohn,1
Grace the King,1
King of the Iron Islands,1
Mallor the Dornishman,1
Horn,1
True,1
Moreo Tumitis,1
Martyn Rivers,1
