Sansa-Stark,Sansa Stark,0,538,House Stark,Northmen
Arya-Stark,Arya Stark,0,428,House Stark,Northmen
Joffrey-Baratheon,Joffrey Baratheon,0,397,House Lannister,Westerlands
Mordane,Mordane,0,140,House Stark,Northmen
Sandor-Clegane,Sandor Clegane,0,132,House Clegane,Westerlands
Bran-Stark,Bran Stark,1,517,House Stark,Northmen
Catelyn-Stark,Catelyn Stark,1,517,House Tully,Rivermen
Robb-Stark,Robb Stark,1,514,House Stark,Northmen
Luwin,Luwin,1,164,House Stark,Westeros
Lysa-Arryn,Lysa Arryn,1,138,House Tully,Rivermen
Theon-Greyjoy,Theon Greyjoy,1,130,House Greyjoy,Ironmen
Rickon-Stark,Rickon Stark,1,97,House Stark,Northmen
Tyrion-Lannister,Tyrion Lannister,2,644,House Lannister,Westerlands
Jaime-Lannister,Jaime Lannister,2,240,House Lannister,Westerlands
Tywin-Lannister,Tywin Lannister,2,179,House Lannister,Westerlands
Rodrik-Cassel,Rodrik Cassel,2,124,House Cassel,Northmen
Bronn,Bronn,2,109,House Stokeworth,Crownlands
Daenerys-Targaryen,Daenerys Targaryen,3,417,House Targaryen,Valyrian
Drogo,Drogo,3,250,Dothraki,Dothraki
Jorah-Mormont,Jorah Mormont,3,141,House Mormont,Northmen
Viserys-Targaryen,Viserys Targaryen,3,105,House Targaryen,Valyrian
Eddard-Stark,Eddard Stark,5,1278,House Stark,Northmen
Robert-Baratheon,Robert Baratheon,5,934,House Baratheon,Stormlands
Cersei-Lannister,Cersei Lannister,5,407,House Lannister,Westerlands
Petyr-Baelish,Petyr Baelish,5,311,House Baelish of the Fingers,Valemen
Varys,Varys,5,230,Varys,Westeros
Renly-Baratheon,Renly Baratheon,5,186,House Baratheon,Stormlands
Jon-Arryn,Jon Arryn,5,168,House Arryn,Valemen
Jory-Cassel,Jory Cassel,5,152,House Cassel,Northmen
Pycelle,Pycelle,5,144,House Lannister,Westeros
Barristan-Selmy,Barristan Selmy,5,143,House Selmy,Westeros
Stannis-Baratheon,Stannis Baratheon,5,105,House Baratheon,Stormlands
Jon-Snow,Jon Snow,6,775,House Stark,Northmen
Jeor-Mormont,Jeor Mormont,6,178,House Mormont,Northmen
Samwell-Tarly,Samwell Tarly,6,147,Night's Watch,Westeros
Pypar,Pypar,6,107,Night's Watch,Westeros
Benjen-Stark,Benjen Stark,6,102,House Stark,Northmen
