Jon,696
Tyrion,622
Jaime,530
Sansa,460
Arya,459
But,399
Sam,371
Dany,335
Robb,335
Wall,300
If,282
Bran,272
Davos,261
Catelyn,256
Joffrey,242
When,217
Cersei,212
How,211
Brienne,178
Winterfell,171
Stannis,167
Hound,165
Hodor,143
In,142
Robert,135
Watch,134
Ygritte,133
Lannister,133
Yes,126
Landing,125
Riverrun,125
Gendry,124
As,119
Mance,117
Grenn,112
Do,110
Lord Tywin,110
Jon Snow,109
Meera,106
Is,104
Lem,104
Edmure,103
Jojen,101
Tell,97
Harrenhal,94
Craster,93
Stark,92
Unsullied,92
Night,92
Clegane,89
Petyr,88
Margaery,88
Melisandre,86
Hand,86
Bronn,85
Varys,83
Kingsguard,82
Gilly,81
Joff,79
Castle Black,77
Oh,77
Tywin,76
Thoros,76
Lord Beric,75
Mance Rayder,74
Lysa,72
Bolton,71
Shae,70
Astapor,69
Mormont,68
Chett,67
Tom,66
Are,64
Kingslayer,64
Lord Commander,64
Imp,64
Lannisters,63
Trident,63
Tyrell,63
Old Bear,62
Pyp,62
Jorah,62
Snow,61
Casterly Rock,61
Merrett,60
Ser Jorah,60
Tormund,58
Aerys,58
Let,57
Ned,57
At,56
Some,56
Harwin,56
Come,55
Renly,55
Anguy,53
Frey,53
Tommen,52
Magnar,52
Seven Kingdoms,52
Thenns,51
Mountain,51
Westeros,51
Littlefinger,50
Oberyn,50
Lord Walder,49
Jarl,49
Others,48
Fist,48
Hot Pie,47
Freys,47
Yunkai,47
Ghost,47
Twins,46
Maester Aemon,46
Meereen,46
Belwas,45
Dragonstone,44
Noye,43
Greatjon,43
Satin,43
Highgarden,43
Jeyne,42
Sandor Clegane,42
Rattleshirt,41
Salladhor Saan,41
Once,41
Walder,41
Qyburn,40
Aemon,40
Gregor,40
Roose Bolton,40
Whitebeard,39
Cleos,39
Missandei,39
Shadow Tower,39
Iron Throne,39
Pod,39
Storm,38
Donal Noye,38
Dorne,37
Rhaegar,37
Well,37
Polliver,36
Here,36
More,36
Styr,36
Loras,35
Mace Tyrell,35
Arstan,35
Prince Oberyn,34
To,34
Viserys,34
Now,34
Ser Loras,34
Paul,34
Drogon,34
Robb Stark,33
Eyrie,33
Slynt,33
Aegon,33
Have,33
Rickon,33
Kraznys,33
Give,33
Dontos,32
Irri,32
Blackwater,32
Tickler,32
Halfhand,32
Ser Axell,31
Cotter Pyke,31
Be,31
Roslin,31
Khaleesi,31
Kevan,31
Old Nan,30
Tyrells,30
Go,30
End,30
Bowen Marsh,30
Gods,30
Eastwatch,30
Greenbeard,30
Pie,30
Valyrian,30
Elia,29
Other,29
Beric,29
Lady Catelyn,29
Lord Bolton,28
Dolorous Edd,28
Dornishmen,28
Jhiqui,28
Tom Sevenstrings,28
High Septon,28
Sandor,28
Daario,28
Stranger,28
Sansa Stark,28
Before,28
King Joffrey,28
Strong Belwas,27
Vargo Hoat,27
Val,27
Pyke,27
Oldtown,27
Clydas,27
Steelshanks,27
Brave Companions,26
Aye,26
Lothar,26
Qhorin Halfhand,26
Marillion,26
Ser Cleos,26
Ser Kevan,26
Red Viper,26
Smallwood,26
Lord of Light,26
North,26
Tarly,25
Starks,25
Lord Hoster,25
Lady Lysa,25
Red Keep,25
Willas,24
Alayne,24
Rorge,24
Stannis Baratheon,24
Pycelle,24
Never,24
Sworn,23
Targaryen,23
Walder Frey,23
Tully,23
Ser Gregor,23
King-beyond-the-Wall,23
Neck,23
Bannen,23
Urswyck,22
Myrish,22
Blackfish,22
Lord Tyrell,22
Nightfort,22
Devan,22
Duskendale,22
King Robert,22
Gregor Clegane,22
Small Paul,21
Theon Greyjoy,21
Pylos,21
Edric Storm,21
Ned Stark,21
Mummers,21
Theon,20
Janos Slynt,20
Dondarrion,20
Grazdan,20
Jack-Be-Lucky,20
Greyjoy,20
Baratheon,20
Viserion,19
Hoat,19
Jaime Lannister,19
Me,19
Tarth,19
Arstan Whitebeard,19
Lord Snow,19
Lollys,19
Shall,19
Tansy,19
Rayder,19
Marsh,18
Brandon,18
Jinglebell,18
Young Wolf,18
Jon Arryn,18
Qarth,18
Butterbumps,18
Balerion,18
Axell,18
Lyseni,18
Moat Cailin,18
Lame Lothar,18
Stormcrows,18
Could,17
Cat,17
Podrick Payne,17
Grey Wind,17
Husband,17
Owen,17
Arya Stark,17
King Stannis,17
Lord Mormont,17
Myrcella,17
Giant,17
Glover,16
Usurper,16
Longclaw,16
Ser Alliser,16
Kraznys mo Nakloz,16
Where,16
An,16
Dywen,16
Harma,16
Above,16
Lem Lemoncloak,16
Tyrion Lannister,16
Knight of Flowers,16
Mycah,16
Green Fork,16
Jorah Mormont,16
Tywin Lannister,16
Dalla,16
Frostfangs,16
Town,16
Dirk,15
Fist of the First,15
Grey Worm,15
Wind,15
Lark,15
Walton,15
Balon,15
Mero,15
Karstarks,15
Crag,15
Queen of Thorns,15
Lord Eddard,15
Mole,15
Edd,15
Eddard Stark,15
White Harbor,15
Ser Jaime,15
Martell,15
Karstark,15
Samwell Tarly,15
Milkwater,15
Drogo,15
Warrior,15
Kegs,15
Lord of the Dreadfort,14
Prince Rhaegar,14
Dragons,14
Three-Finger Hobb,14
Horn of Winter,14
Horse,14
Daario Naharis,14
Saan,14
Qhorin,14
Pentos,14
Ser Barristan,14
Lord of Winterfell,14
Alliser,14
Salla,14
Gift,14
Red Fork,14
Lady Sansa,13
Symon,13
Varamyr,13
Arbor,13
Hoster,13
Arryn,13
Sunspear,13
Balon Greyjoy,13
Ryman,13
Whispering Wood,13
Tyroshi,13
Common,13
Lord Janos,13
Redwyne,13
Water,13
Lord Renly,13
Valyria,13
Addam,13
Titan,13
Westerlings,13
Mallister,13
Margaery Tyrell,13
Sevenstrings,13
Othell Yarwyck,13
Tysha,13
Petyr Pimple,13
Lord of Bones,13
Edric,12
Maegor,12
Rossart,12
Lady Smallwood,12
Slayer,12
Squab,12
Harma Dogshead,12
Last,12
Dreadfort,12
Porridge,12
Lord Robert,12
Citadel,12
Lys,12
Florent,12
Davos Seaworth,12
Whitetree,12
Lord Petyr,12
Targaryens,12
Notch,12
Commander Mormont,12
Har,12
Brown Ben,12
Ser Garlan,12
Reeds,12
Archer,12
Gendel,11
Free Cities,11
Thenn,11
Ghiscari,11
Any,11
Oswell,11
Lord Commander of the Kingsguard,11
Errok,11
Hobb,11
Lysa Arryn,11
