Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,King-Aegon-I,Aegon-I-Targaryen,first-Aegon,,,,,,,
Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,,,,,
Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,King-Aegon-the-Third,third-Aegon,,,,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,Aegon-the-Fourth,king-Unworthy,King-Aegon-IV,,,,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Prince-Aegon,Young-Griff,Prince-Aegon,Prince-Aegon-Targaryen,,,,,,,,,,,
Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,King-Aegon-V,fifth-Aegon,Egg,,,,,,,,,
Aegor-Rivers,Ser-Aegor-Rivers,Aegor-Rivers,Bittersteel,Aegor,,,,,,,,,,,
Aemon-Targaryen-(Dragonknight),Prince-Aemon-the-Dragonknight,Aemon-Targaryen,Maester-Aemon,Dragonknight,Aemon,Aemon-the-Dragonknight,,,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,,,,
Aenys-Frey,Ser-Aenys-Frey,Aenys-Frey,Ser-Aenys,Aenys,,,,,,,,,,,
Aeron-Greyjoy,Aeron-Damphair,Damphair,Aeron-Greyjoy,Aeron,,,,,,,,,,,
Aerys-II-Targaryen,Aerys-Targaryen,Mad-King-Aerys,Prince-Aerys,King-Aerys,Mad-Aerys,Mad-King,Aerys,king-Aerys,,,,,,,
Aggo,Aggo,,,,,,,,,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,,,,,,,,,,,
Alyn,Red-Alyn-of-the-Rosewood,Sour-Alyn,Alyn,,,,,,,,,,,,
Alys-Karstark,Alys-Karstark,Lady-Alys,Alys,,,,,,,,,,,,
Alysane-Mormont,Aly-Mormont,Aly,Alysane-Mormont,Alysane-of-House-Mormont,She-Bear,Alysane,,,,,,,,,
Archibald-Yronwood,Ser-Archibald-Yronwood,Archibald-Yronwood,Ser-Archibald,Archibald,Greenguts,the-big-man,,,,,,,,,
Areo-Hotah,Areo-Hotah,Hotah,Areo,,,,,,,,,,,,
Arianne-Martell,Princess-Arianne,Arianne-Martell,Arianne,,,,,,,,,,,,
Arnolf-Karstark,Arnolf-Karstark,Lord-of-Karhold,Lord-Arnolf,Arnolf,castellan-of-Karhold,,,,,,,,,,
Arthur-Dayne,Arthur-Dayne,Sword-of-the-Morning,,,,,,,,,,,,,
Arya-Stark,Cat-of-the-Canals,Arya-Underfoot,Arya-Horseface,Arya-Stark,Lady-Arya,Arya,Arry,Cat,Salty,Squab,Weasel,Arya-of-House-Stark,blind-girl,Blind-Beth,Beth
Arys-Oakheart,Ser-Arys-Oakheart,Arys-Oakheart,Ser-Arys,Arys,,,,,,,,,,,
Asha-Greyjoy,Asha-Greyjoy,Lady-Asha,Asha,queen-Asha,,,,,,,,,,,
Ashara-Dayne,Ashara-Dayne,Ashara,,,,,,,,,,,,,
Axell-Florent,Ser-Axell-Florent,Axell-Florent,Ser-Axell,Axell,,,,,,,,,,,
Baelor-Blacktyde,Baelor-Blacktyde,Lord-Baelor,,,,,,,,,,,,,
Baelor-I-Targaryen,Baelor-the-Befuddled,Baelor-the-Blessed,Baelor-the-Beloved,Blessed-Baelor,King-Baelor,Baelor,,,,,,,,,
Balon-Greyjoy,Balon-Greyjoy,Lord-Balon,,,,,,,,,,,,,
Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,,,,,,
Barba-Bracken,Barba-Bracken,Barba,,,,,,,,,,,,,
Barbrey-Dustin,Lady-Barbrey-Dustin,Lady-of-Barrowton,Barbrey-Dustin,Lady-Barbrey,Lady-Dustin,Barbrey,,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Barristan-the-Bold,Barristan-the-Old,Ser-Grandfather,Barristan-Selmy,Ser-Barristan,Barristan,Old-Ser,,,,,,,
Barsena,Barsena-Blackhair,Blackhair,Barsena,,,,,,,,,,,,
Barth,Septon-Barth,Barth,,,,,,,,,,,,,
Bartimus,Ser-Bartimus,Bartimus,,,,,,,,,,,,,
Belaquo,Belaquo-Bonebreaker,Bonebreaker,Belaquo,,,,,,,,,,,,
Belwas,Strong-Belwas,Belwas,eunuch-Belwas,,,,,,,,,,,,
Ben-Bones,Ben-Bones,Ben-Bones,,,,,,,,,,,,,
Ben-Plumm,Brown-Ben-Plumm,Ben-Plumm,Brown-Ben,Ben-Plumm,,,,,,,,,,,
Benerro,Benerro,red-priest,,,,,,,,,,,,,
Benjen-Stark,Benjen-Stark,Benjen,,,,,,,,,,,,,
Beron-Blacktyde,Blind-Beron-Blacktyde,Beron,,,,,,,,,,,,,
Beron-Stark,Lord-Beron-Stark,Beron-Stark,,,,,,,,,,,,,
Black-Balaq,Black-Balaq,Balaq,,,,,,,,,,,,,
Bloodbeard,Bloodbeard,,,,,,,,,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-Blount,Ser-Boros,Boros,,,,,,,,,,,
Bowen-Marsh,Lord-Steward,Bowen-Marsh,Lord-Bowen,Bowen,Marsh,,,,,,,,,,
Bran-Stark,Brandon-Stark,Bran-Stark,Bran,,,,,,,,,,,,
Brus-Buckler,Ser-Brus-Buckler,Brus-Buckler,Ser-Brus,Brus,,,,,,,,,,,
Brynden-Tully,Brynden-Blackfish,Brynden-Tully,Lord-Brynden,Ser-Brynden,Blackfish,Brynden,,,,,,,,,
Bump,Bump,,,,,,,,,,,,,,
Byron-Swann,Byron-Swann,Ser-Byron,Swann,,,,,,,,,,,,
Caggo,Caggo-Corpsekiller,Corpsekiller,Caggo,,,,,,,,,,,,
Caleotte,Maester-Caleotte,Caleotte,,,,,,,,,,,,,
Catelyn-Stark,Catelyn-Tully,Lady-Catelyn,Catelyn-Stark,Catelyn,,,,,,,,,,,
Cellador,Septon-Cellador,Cellador,,,,,,,,,,,,,
Cersei-Lannister,Cersei-Lannister,Queen-Dowager,Queen-Regent,Queen-Cersei,Dowager,Cersei,the-queen,The-queen,queen-Cersei,,,,,,
Clayton-Suggs,Ser-Clayton-Suggs,Clayton-Suggs,Ser-Clayton,Clayton,,,,,,,,,,,
Cleon,Cleon-the-Great,Butcher-King,Great-Cleon,King-Cleon,Cleon,,,,,,,,,,
Cleon-the-Second,Cleon-the-Second,second-King-Cleon,,,,,,,,,,,,,
Cletus-Yronwood,Cletus-Yronwood,Cletus,,,,,,,,,,,,,
Coldhands,Coldhands,,,,,,,,,,,,,,
Corliss-Penny,Ser-Corliss-Penny,Corliss-Penny,Ser-Corliss,Corliss,,,,,,,,,,,
Cotter-Pyke,Cotter-Pyke,Cotter,Cotter-Pyke,,,,,,,,,,,,
Craster,Craster,,,,,,,,,,,,,,
Cregan-Karstark,Cregan-Karstark,Cregan,,,,,,,,,,,,,
Cromm,Cromm,,,,,,,,,,,,,,
Daario-Naharis,Daario-Naharis,Lord-Daario,Naharis,Daario,,,,,,,,,,,
Daemon-Blackfyre,Daemon-Blackfyre,Daemon,,,,,,,,,,,,,
Daenerys-Targaryen,Khaleesi-of-Great-Grass-Sea,Daenerys-Stormborn,Daenerys-Targaryen,Queen-Daenerys,Khaleesi,Daenerys,Dany,dragon-queen,Mother-of-Dragons,Queen-of-Meereen,silver-queen,Mhysa,the-queen-Dany,Her-Magnificence-the-Queen,queen-Dany
Daeron-I-Targaryen,Daeron-the-Dragon,King-Daeron-I,Daeron-I,Young-Dragon,the-boy-king-Daeron,,,,,,,,,,
Daeron-II-Targaryen,King-Daeron-the-Good,Daeron-the-Second,King-Daeron-II,Daeron-II,,,,,,,,,,,
Dagmer,Dagmer-Cleftjaw,Cleftjaw,Dagmer,,,,,,,,,,,,
Dagon-Codd,Dagon-Codd,,,,,,,,,,,,,,
Dagon-Greyjoy,Dagon-I-Greyjoy,Lord-Dagon-I,Dagon-I,Dagon-Greyjoy,Lord-of-Pyke,,,,,,,,,,
Dagon-Greyjoy-(Drunkard),Dagon-the-Drunkard,,,,,,,,,,,,,,
Damon-Dance-for-Me,Damon-Dance-for-Me,Dance-for-Me,Damon,,,,,,,,,,,,
Davos-Seaworth,Davos-Seaworth,Lord-Seaworth,Onion-Knight,Onion-Lord,Lord-Davos,Ser-Davos,Davos,onion-lord,Kings-Hand-Davos,Hand-of-the-King-Davos,,,,,
Denys-Mallister,Ser-Denys-Mallister,Denys-Mallister,Ser-Denys,Denys,,,,,,,,,,,
Devan-Seaworth,Devan-Seaworth,Devan,,,,,,,,,,,,,
Dick-Straw,Dick-Straw,Straw,Dick,,,,,,,,,,,,
