Addam-Marbrand,Set-Addam-Marbrand,Ser-Addam,Addam-Marbrand,Addam,,,,,,,,,,,
Aegon-I-Targaryen,Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,,,,,
Aegon-II-Targaryen,Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,,,,
Aegon-III-Targaryen,Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,,,,,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,,,,,,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Aegon-son-of-Rhaegar,Prince-Aegon,,,,,,,,,,,,,
Aegon-V-Targaryen,Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,,,,,,,,,,,
Aemon-Targaryen-(Dragonknight),Dragonknight,Prince-Aemon,PrinceAemon,,,,,,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,maester-Aemon,,,,,,,,,,,
Aenys-Frey,Ser-Aenys-Frey,Aenys-Frey,Ser-Aenys,Aenys,Aenyth-Frey,,,,,,,,,,
Aenys-Targaryen,Aenys-Targaryen,,,,,,,,,,,,,,
Aerion-Targaryen,Aerion-the-Monstrous,Aerion-Brightflame,Prince-Aerion,Aerion-Targaryen,Aerion,,,,,,,,,,
Aeron-Greyjoy,Aeron-Greyjoy,Aeron-Damphair,Aeron,Damphair,priest-Aeron,,,,,,,,,,
Aerys-I-Targaryen,Aerys-the-First,AerystheFirst,,,,,,,,,,,,,
Aerys-II-Targaryen,Mad-King-Aerys,Mad-King,King-Aerys,Aerys-Targaryen,Aerys,kingAerys,,,,,,,,,
Aggar,Aggar,,,,,,,,,,,,,,
Aggo,Aggo,,,,,,,,,,,,,,
Alannys-Greyjoy,Alannys-Greyjoy,Lady-Greyjoy,Lady-Alannys-Greyjoy,Alannys-Harlaw,,,,,,,,,,,
Alayaya,Alayaya,,,,,,,,,,,,,,
Alebelly,Alebelly,,,,,,,,,,,,,,
Alesander-Staedmon,Lord-Staedmon,Staedmon,,,,,,,,,,,,,
Alester-Florent,Lord-Alester-Florent,Alester-Florent,Lord-Florent,Lord-Alester,Alester,Lord-of-Brightwater,,,,,,,,,
Alfyn,Alfyn,Alfyn-Crowkiller,Crowkiller,,,,,,,,,,,,
All-for-Joffrey,All-for-Joffrey,,,,,,,,,,,,,,
Allar-Deem,Allar-Deem,,,,,,,,,,,,,,
Allard-Seaworth,Allard-Seaworth,Allard,,,,,,,,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,Thorne,,,,,,,,,,
Alyn,Alyn,,,,,,,,,,,,,,
Alyn-Stackspear,Alyn-Stackspear,Stackspear,,,,,,,,,,,,,
Alysanne,Queen-Alysanne,Alysanne,,,,,,,,,,,,,
Amabel,Goodwife-Amabel,Amabel,,,,,,,,,,,,,
Ambrode,Ambrode,,,,,,,,,,,,,,
Amory-Lorch,Ser-Amory-Lorch,Ser-Amory,Amory-Lorch,Amory,Lorch,,,,,,,,,,
Andrik,Andrik-the-Unsmiling,Andrik,The-Unsmiling,,,,,,,,,,,,
Andros-Brax,Lord-Andros-Brax,Andros-Brax,Lord-Brax,Brax,,,,,,,,,,,
Antario-Jast,Lord-Antario-Jast,Antario-Jast,Lord-Jast,Jast,,,,,,,,,,,
Ardrian-Celtigar,Ardrian-Celtigar,Lord-Celtigar,Celtigar,Lord-Celtigar-Red-Crab,Red-Crab,,,,,,,,,,
Arneld,Ser-Arneld,Arneld,,,,,,,,,,,,,
Arnell,Ser-Arnell,Arnell,,,,,,,,,,,,,
Aron-Santagar,Ser-Aron-Santagar,Ser-Aron,Aron-Santagar,Aron,Santagar,,,,,,,,,,
Arryk-Cargyll,Ser-Arryk,Arryk-Cargyll,Arryk,,,,,,,,,,,,
