Cleos-Frey,Ser-Cleos-Frey,Cleos-Frey,Ser-Cleos,Cleos,,,,,,,,
Cley-Cerwyn,Cley-Cerwyn,Lord-Cerwyn,Cley,,,,,,,,,
Clydas,Clydas,,,,,,,,,,,
Colemon,Maester-Colemon,Colemon,,,,,,,,,,
Collio-Quaynis,Collio-Quaynis-of-Tyrosh,Collio-Quaynis,Collio,,,,,,,,,
Cotter-Pyke,Cotter-Pyke-of-Eastwatch-by-the-Sea,Cotter-Pyke,Cotter,,,,,,,,,
Craster,Craster,,,,,,,,,,,
Cressen,Maester-Cressen,Master-Cressen,Cressen,,,,,,,,,
Daario,Daario-Naharis,Naharis,Daario,,,,,,,,,
Dacey-Mormont,Dacey-Mormont,Dacey,,,,,,,,,,
Daenerys-Targaryen,Daenerys-the-Conqueror,Daenerys-Stormborn,Daenerys-Targaryen,Stormborn,Khaleesi,Daenerys,Dany,queen-Dany,Queen-of-Westeros,,,
Daeron-I-Targaryen,Daeron-I-Targaryen,King-Daeron-the-First,Daeron-the-Young-Dragon,Young-Dragon,King-Daeron,Daeron,,,,,,
Daeron-II-Targaryen,Daeron-II-Targaryen,Daeron-the-Good,,,,,,,,,,
Dalla,Dalla,,,,,,,,,,,
Danwell-Frey,Ser-Danwell-Frey,Danwell-Frey,Ser-Danwell,Danwell,,,,,,,,
Daven-Lannister,Ser-Daven-Lannister,Daven-Lannister,Ser-Daven,Daven,,,,,,,,
Davos-Seaworth,Ser-Davos-Seaworth,Davos-Seaworth,Onion-Knight,Onion-Lord,Ser-Onions,Lord-Davos,Ser-Davos,Onions,Davos,Onion,,
Denys-Mallister,Ser-Denys-Mallister-of-the-Shadow-Tower,Ser-Denys-Mallister,Denys-Mallister,Ser-Denys,Denys,,,,,,,
Desmond-Grell,Ser-Desmond-Grell,Desmond-Grell,Ser-Desmond,Desmond,,,,,,,,
Dick-Follard,Dick-Follard,,,,,,,,,,,
Dirk,Dirk,,,,,,,,,,,
Donal-Noye,Donal-Noye,Donal,Noye,,,,,,,,,
Donnel-Hill,Sweet-Donnel,Donnel-Hill,,,,,,,,,,
Dontos-Hollard,Ser-Dontos-Hollard,Dontos-the-Fool,Dontos-the-Red,Dontos-Hollard,Ser-Dontos,Ser-Fool,Dontos,,,,,
Doran-Martell,Doran-Martell,Prince-Doran,Doran,,,,,,,,,
Drogo,Khal-Drogo,Drogo,,,,,,,,,,
Duncan-Targaryen,Prince-Duncan-the-Small,Duncan-Targaryen,Prince-of-Dragonflies,,,,,,,,,
Duncan,Ser-Duncan-the-Tall,Duncan,Lord-Commander-of-the-Kingsguard-Duncan,,,,,,,,,
Duram-Bar-Emmon,Duram-Bar-Emmon,Lord-Bar-Emmon,Bar-Emmon,,,,,,,,,
Dywen,Dywen,,,,,,,,,,,
Edd-Tollett,Dolorous-Edd-Tollett,Dolorous-Edd,Edd-Tollett,Dolorous,Tollett,Edd,,,,,,
Eddard-Stark,Lord-Eddard-Stark,Eddard-Stark,Lord-Eddard,Ned-Stark,Eddard,Ned,,,,,,
Edmure-Tully,Lord-Edmure-Tully,Edmure-Tully,Lord-Edmure,Ser-Edmure,Edmure,,,,,,,
Edric-Storm,Edric-Storm,Edric,,,,,,,,,,
Edwyn-Frey,Edwyn-Frey,Edwyn,,,,,,,,,,
Elia-Martell,Princess-Elia,Elia-of-Dorne,Elia-Martell,Elia,,,,,,,,
Elinor-Tyrell,Elinor-Tyrell,Elinor,,,,,,,,,,
Ellaria-Sand,Ellaria-Sand,Ellaria,,,,,,,,,,
Emmett,Iron-Emmett,Emmett,,,,,,,,,,
Emmon-Cuy,Ser-Emmon-Cuy,Emmon-Cuy,,,,,,,,,,
Emmon-Frey,Ser-Emmon-Frey,Emmon-Frey,,,,,,,,,,
Errok,Errok,,,,,,,,,,,
Florian,Florian-the-Fool,Florian,,,,,,,,,,
Frenken,Maester-Frenken,Frenken,,,,,,,,,,
Galbart-Glover,Galbart-Glover,Galbart,,,,,,,,,,
Garlan-Tyrell,Garlan-the-Greensick,Garlan-the-Gargoyle,Garlan-the-Gallant,Garlan-the-Galling,Ser-Garlan-Tyrell,Garlan-Tyrell,Ser-Garlan,Garlan,Lord-Renlys-ghost,Renlys-ghost,King-Renlys-shade,Renlys-shade
Gawen-Westerling,Lord-Gawen-Westerling-of-the-Crag,Lord-Gawen-Westerling,Gawen-Westerling,Lord-Gawen,Gawen,,,,,,,
Gendel,Gendel,,,,,,,,,,,
Gendry,Ser-Gendry,Gendry,,,,,,,,,,
Genna,Lady-Genna,Genna,,,,,,,,,,
Gerald-Gower,Ser-Gerald-Gower,Gerald-Gower,Ser-Gerald,Gerald,,,,,,,,
Gerold-Hightower,Lord-Commander-Ser-Gerold-Hightower,White-Bull-Gerold-Hightower,Ser-Gerold-Hightower,Gerold-Hightower,White-Bull,Ser-Gerold,Gerold,,,,,
Gilly,Gilly,,,,,,,,,,,
Grazdan-mo-Eraz,Grazdan-mo-Eraz,,,,,,,,,,,
Grazdan-mo-Ullhor,Grazdan-mo-Ullhor,,,,,,,,,,,
Greatjon-Umber,Greatjon-Umber,Lord-Umber,Greatjon,,,,,,,,,
Greenbeard,Pello-of-Tyrosh,Greenbeard,Pello,,,,,,,,,
Gregor-Clegane,Ser-Gregor-the-Mountain,Gregor-the-Mountain,Ser-Gregor-Clegane,Gregor-Clegane,Ser-Gregor,the-Mountain-That-Rides,the-Mountain,The-Mountain,Gregor,,,
Grenn,Grenn,,,,,,,,,,,
Grey-Worm,Grey-Worm,eunuch-Grey-Worm,,,,,,,,,,
Grigg,Grigg-the-Goat,Grigg,,,,,,,,,,
Groleo,Captain-Groleo,Groleo,,,,,,,,,,
Guncer-Sunglass,Guncer-Sunglass,Lord-Sunglass,Lord-Guncer,Sunglass,Guncer,,,,,,,
Gyles,Gyles-of-Rosby,Lord-Gyles,Gyles,,,,,,,,,
Harma,Harma-the-Dogshead,Harma-Dogshead,Dogshead,Harma,,,,,,,,
Harrion-Karstark,Harrion-Karstark,Harrion,,,,,,,,,,
Harwin,Harwin,,,,,,,,,,,
High-Septon,High-Septon,,,,,,,,,,,
Hobb,Three-Finger-Hobb,Three-Finger,Hobb,,,,,,,,,
Hodor,Hodor,,,,,,,,,,,
Hosteen-Frey,Ser-Hosteen-Frey,Hosteen-Frey,Ser-Hosteen,Hosteen,,,,,,,,
Hoster-Tully,Lord-Hoster-Tully,Lord-of-Riverrun,Hoster-Tully,Lord-Hoster,Lord-Tully,Hoster,,,,,,
Hot-Pie,Hot-Pie,Pie,,,,,,,,,,
Illyrio-Mopatis,Magister-Illyrio,Illyrio-Mopatis,Illyrio,Mopatis,,,,,,,,
Ilyn-Payne,Ser-Ilyn-Payne,Ilyn-Payne,Ser-Ilyn,Ilyn,Kings-Justice,,,,,,,
Irri,Irri,,,,,,,,,,,
Jacelyn-Bywater,Ser-Jacelyn-Bywater,Jacelyn-Bywater,Ser-Jacelyn,Jacelyn,,,,,,,,
Jack-Bulwer,Black-Jack-Bulwer,Jack-Bulwer,Jack,,,,,,,,,
Jack-Be-Lucky,Jack-Be-Lucky,,,,,,,,,,,
Jaehaerys,King-Jaehaerys-the-Conciliator,Jaehaerys-the-Conciliator,Conciliator,Jaehaerys,,,,,,,,
Jaime-Lannister,Jaime-Lannister,Kingslayer,Ser-Jaime,Jaime,Lord-Commander-of-the-Kingsguard,Lord-Commander-Jaime,,,,,,
Janos-Slynt,Lord-Janos-Slynt,Janos-Slynt,Lord-Slynt,Lord-Janos,Janos,,,,,,,
Jaqen,Jaqen,,,,,,,,,,,
Jarl,Jarl,,,,,,,,,,,
Jason-Mallister,Lord-Jason-Mallister,Jason-Mallister,Lord-of-Seagard,Lord-Mallister,Lord-Jason,Jason,,,,,,
Jeor-Mormont,Lord-Commander-Mormont,Commander-Mormont,Lord-Mormont,Jeor-Mormont,Old-Bear,Jeor,Lord-Crow,Lord-Commander-Jeor,,,,
Jeyne-Westerling,Jeyne-Westerling,Queen-Jeyne,Jeyne,queen-Jeyne,,,,,,,,
Jeyne-Poole,Jeyne-Poole,,,,,,,,,,,
Jhiqui,Jhiqui,,,,,,,,,,,
Jhogo,Jhogo,,,,,,,,,,,
Jinglebell-Frey,Jinglebell-Frey,Jinglebell,Aegon-Frey,,,,,,,,,
Joanna,Lady-Joanna-of-Casterly-Rock,Lady-Joanna,Joanna,,,,,,,,,
Joffrey-Baratheon,King-Joffrey-Baratheon,Joffrey-Baratheon,Robert-the-Second,Prince-Joffrey,King-Joffrey,King-Joff,Joffrey,Joff,Aerys-the-Third,the-king,The-king,
Jojen-Reed,Jojen-Reed,Jojen,,,,,,,,,,
Jon-Arryn,Lord-Arryn,Jon-Arryn,,,,,,,,,,
Jon-Snow,Lord-Snow,Jon-Stark,Jon-Snow,Jon,,,,,,,,
Jonos-Bracken,Lord-Jonos-Bracken-of-Stone-Hedge,Jonos-Bracken,Lord-Bracken,Jonos,,,,,,,,
Jonothor-Darry,Ser-Jonothor-Darry,Jonothor-Darry,Jon-Darry,Jonothor,,,,,,,,
Jorah-Mormont,Ser-Jorah-Mormont,Jorah-Mormont,Ser-Jorah,Jorah,,,,,,,,
Karl,Clubfoot-Karl,Clubfoot,Karl,,,,,,,,,
Kegs,Kegs,,,,,,,,,,,
Kevan-Lannister,Ser-Kevan-Lannister,Kevan-Lannister,Ser-Kevan,Kevan,,,,,,,,
Khorane-Sathmantes,Khorane-Sathmantes,Captain-Khorane,Sathmantes,Khorane,,,,,,,,
Kraznys-mo-Nakloz,Good-Master-Kraznys,Kraznys-mo-Nakloz,Master-Kraznys,Kraznys,Good-Master,,,,,,,
Kyle-Condon,Ser-Kyle-Condon,Kyle-Condon,Kyle,,,,,,,,,
Lancel,Ser-Lancel-Lannister,Lancel-Lannister,Ser-Lancel,Lancel,,,,,,,,
Lark,Lark-the-Sisterman,Sisterman,Lark,,,,,,,,,
Larra-Blackmont,Lady-Larra-Blackmont,Larra-Blackmont,Lady-Blackmont,Larra,,,,,,,,
Lem,Lem-Lemoncloak,Lemoncloak,Lem,Lemon,,,,,,,,
Leonette,Lady-Leonette,Leonette,,,,,,,,,,
Lewyn-Martell,Prince-Lewyn-of-Dorne,Lewyn-Martell,Prince-Lewyn,Lewyn,,,,,,,,
Leyton-Hightower,Lord-Leyton-Hightower,Leyton-Hightower,Lord-Hightower,Lord-Leyton,Leyton,,,,,,,
Lollys-Stokeworth,Lollys-Stokeworth,Lady-Lollys,Lollys,,,,,,,,,
Loras-Tyrell,Knight-of-Flowers,Ser-Loras-Tyrell,Loras-Tyrell,Ser-Loras,Loras,,,,,,,
Lothar-Frey,Lame-Lothar-Frey,Lame-Lothar,Lothar-Frey,Lothar,,,,,,,,
Lothar-Mallery,Lord-Lothar-Mallery,Lothar-Mallery,Lord-Mallery,Mallery,,,,,,,,
Lothor-Brune,Ser-Lothor-Brune,Lothor-Brune,Ser-Lothor,Lothor,,,,,,,,
Luwin,Maester-Luwin,Luwin,,,,,,,,,,
Lynesse-Hightower,Lynesse-Hightower,Lady-Lynesse,Lynesse,,,,,,,,,
Lysa-Arryn,Lady-of-the-Eyrie,Lady-Lysa-Arryn,Lady-Arryn,Lysa-Tully,Lysa-Arryn,Lady-Lysa,Lysa,,,,,
Mace-Tyrell,Puff-Fish-of-Highgarden,Lord-Mace-Tyrell,Lord-Puff-Fish,Mace-Tyrell,Lord-Tyrell,Lord-Mace,Puff-Fish,Mace,Lord-of-Highgarden,,,
Maege-Mormont,Maege-Mormont,Lady-Maege-Mormont,Lady-Mormont,Lady-Maege,Maege,,,,,,,
Maegor,Maegor-the-Cruel,King-Maegor,Maegor,,,,,,,,,
Mag,Mag-Mar-Tun-Doh-Weg,Mag-the-Mighty,king-of-the-giants,,,,,,,,,
Mallador-Locke,Ser-Mallador-Locke,Mallador-Locke,Ser-Mallador,Mallador,,,,,,,,
Mance-Rayder,King-beyond-the-Wall,Mance-Raydar,Mance-Rayder,The-Mance,Raydar,Rayder,Mance,king-Mance,,,,
Mandon-Moore,Ser-Mandon-Moore,Mandon-Moore,Ser-Mandon,Mandon,,,,,,,,
Margaery-Tyrell,Margaery-Tyrell,Queen-Margaery,Lady-Margaery,Margaery,queen-Margaery,,,,,,,
Marillion,Marillion,,,,,,,,,,,
