Addam-Marbrand,Ser-Addam-Marbrand,Addam-Marbrand,Ser-Addam,Addam,,,,,,,,
Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,,,
Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,,
Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,King-Aegon-the-Third,,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,,king-Unworthy,,,,,,,,
Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,,,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Prince-Aegon,,,,,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,
Aemon-Steelsong,Aemon-Steelsong,Aemon-Battleborn,,,,,,,,,,
Aemon-Targaryen-(Dragonknight),Prince-Aemon-the-Dragonknight,Aemon-the-Dragonknight,Dragonknight,Prince-Aemon,,,,,,,,
Aeron-Greyjoy,Aeron-Damphair,Aeron-Greyjoy,Damphair-King,Aeron-King,Damphair,Aeron,,,,,,
Aerys-II-Targaryen,Aerys-Targaryen,Mad-King-Aerys,King-Aerys,Mad-King,Aerys,king-Aerys,,,,,,
Alannys-Harlaw,Alannys-Harlaw,Lady-Alannys,Alannys,,,,,,,,,
Albar-Royce,Ser-Albar-Royce,Albar-Royce,Ser-Albar,Albar,,,,,,,,
Alerie-Hightower,Lady-Alerie,Alerie,Lady-Tyrell,,,,,,,,,
Alla-Tyrell,Alla-Tyrell,Alla,,,,,,,,,,
Alleras,Alleras-the-Sphinx,Alleras,Sphinx,,,,,,,,,
Alysanne-Bulwer,Alysanne-Bulwer,Lady-Bulwer,,,,,,,,,,
Alysanne-Targaryen,Queen-Alysanne,Alysanne-Targaryen,,,,,,,,,,
Amerei Frey,Lady-Amerei,Amerei,Gatehouse Ami,,,,,,,,,
Amory-Lorch,Ser-Amory-Lorch,Amory-Lorch,Amory,,,,,,,,,
Anders-Yronwood,Lord-of-Yronwood,Anders-Yronwood,Lord-Yronwood,Lord-Anders,Anders,,,,,,,
Andrey-Dalt,Ser-Andrey-Dalt,Andrey-Dalt,Ser-Andrey,Andrey,Drey,,,,,,,
Anya-Waynwood,Lady-of-Ironoaks,Lady-Waynwood,Anya-Waynwood,Lady-Anya,Anya,,,,,,,
Areo-Hotah,Areo-Hotah,Hotah,Areo,,,,,,,,,
Arianne-Martell,Princess-Arianne-Martell,Princess-Arianne,Arianne-Martell,Arianne,,,,,,,,
Armen,Armen-the-Acolyte,Armen,Armen,,,,,,,,,
Arthur-Dayne,Sword-of-the-Morning,Ser-Arthur-Dayne,Arthur-Dayne,Ser-Arthur,Arthur,,,,,,,
Arya-Stark,Arya-of-Winterfell,Cat-of-the-Canals,Arya-Underfoot,Arya-Horseface,Arya-Stark,,,Salty,Squab,Arya,Arry,Cat
Arys-Oakheart,Ser-Arys-of-the-Kingsguard,Ser-Arys-the-Unworthy,Ser-Arys-Oakheart,Arys-Oakheart,Ser-Arys,Arys,,,,,,
Asha-Greyjoy,Princess-Asha,Asha-Greyjoy,Asha,,,,,,,,,
Aurane-Waters,Aurane-Waters,Lord-Aurane,Lord-Waters,Aurane,,,,,,,,
Baelor-Blacktyde,Lord-Baelor-Blacktyde,Baelor-Blacktyde,Lord-Blacktyde,Lord-Baelor,,,,,,,,
Baelor-I-Targaryen,King-Baelor-the-Blessed,Baelor-the-Blessed,Baelor-the-Beloved,Blessed-Baelor,Beloved-Baelor,King-Baelor,Baelor,,,,,
Baelor-Hightower,Baelor-Hightower,Baelor-Brightsmile,,,,,,,,,,
Balman-Byrch,Ser-Balman-Byrch,Balman-Byrch,Ser-Balman,Balman,,,,,,,,
Balon-Greyjoy,Balon-the-Widowmaker,Balon-Twice-Crowned,Balon-the-Blessed,Balon-the-Brave,Balon-the-Bold,Balon-Greyjoy,King-Balon,King-Balon,Lord-Balon,Balon,king-Balon,
Balon-Swann,Ser-Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Barristan-the-Bold,Barristan-Selmy,Ser-Barristan,Barristan,,,,,,,
Jon-Bettley,Beardless-Jon-Bettley,,,,,,,,,,,
Beric-Dondarrion,Beric-Dondarrion,Lord-Beric,Dondarrion,Beric,,,,,,,,
Biter,Biter,,,,,,,,,,,
Blue-Bard,Blue-Bard,Wat,,,,,,,,,,
Bonifer-Hasty,Ser-Bonifer-the-Good,Ser-Bonifer-Hasty,Baelor-Butthole,Bonifer-Hasty,Ser-Bonifer,Bonifer,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-the-Belly,Boros-Blount,Ser-Boros,Boros,,,,,,,
Bran-Stark,Bran-Stark,Bran,,,,,,,,,,
Brea,Brea,,,,,,,,,,,
Brienne-of-Tarth,Brienne-the-Beauty,Brienne-of-Tarth,Lady-Brienne,Brienne,,,,,,,,
Bronn,Ser-Bronn-of-the-Blackwater,Ser-Bronn,Bronn,,,,,,,,,
Brusco,Brusco,,,,,,,,,,,
Brynden-Tully,Brynden-Blackfish,Ser-Brynden-Tully,Brynden-Tully,Ser-Brynden,Blackfish,Brynden,,,,,,
Brynden-Rivers,Brynden-Rivers,Bloodraven,,,,,,,,,,
Caleotte,Maester-Caleotte,Caleotte,,,,,,,,,,
Catelyn-Stark,Catelyn-Stark,Catelyn-Tully,Lady-Catelyn,Lady-Stark,Catelyn,Cat-Stark,Lady-Stoneheart,Stoneheart,,,,
Cedra,Cedra,,,,,,,,,,,
Cedric-Payne,Ser-Cedric-Payne,Cedric-Payne,Ser-Cedric,Cedric,,,,,,,,
Cersei-Lannister,Lady-of-Casterly-Rock,Cersei-Lannister,Queen-Regent,Queen-Cersei,Cersei,the-queen,queen-Cersei,The-queen,,,,
Clarence-Crabb,Clarence-the-Short,Ser-Clarence-Crabb,Clarence-Crabb,Ser-Clarence,Clarence,,,,,,,
Clement-Piper,Clement-Piper,Lord-Piper,Clement,,,,,,,,,
Cleos-Frey,Ser-Cleos-Frey,Cleos-Frey,Ser-Cleos,Cleos,,,,,,,,
Clydas,Clydas,,,,,,,,,,,
Colemon,Maester-Colemon,Colemon,,,,,,,,,,
Craster,Craster,,,,,,,,,,,
Creighton-Longbough,Ser-Creighton-Longbough,Creighton-Longbough,Ser-Creighton,Creighton,,,,,,,,
Criston-Cole,Criston-the-Kingmaker,Criston-Cole,Ser-Criston,Kingmaker,Criston,Cole,,,,,,
Daemon-Sand,Ser-Daemon-Sand,Daemon-Sand,Ser-Daemon,Daemon,Bastard-of-Godsgrace,,,,,,,
