,Joffrey B Encounters:,,,
,Sansa S (Sansa), Joffrey B (Joff),90519," ""not too late. I have a son. You have a daughter. My Joff and your Sansa"""
,Lyanna (Lyanna), Joffrey B (Joff),90552," ""son. You have a daughter. My Joff and your Sansa shall join our houses; as Lyanna"""
,Joffrey B (Joffrey), Sansa S (Sansa),94884," ""whose white-blond hair was longer than hers. Sansa; two years older; drew the crown prince; Joffrey"""
,Jon S (Jon), Joffrey B (Joffrey Baratheon),94927," ""Sansa; two years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon"""
,Robb S (Robb), Joffrey B (Joffrey Baratheon),94935," ""years older; drew the crown prince; Joffrey Baratheon. He was twelve; younger than Jon or Robb"""
,Joffrey B (Prince Joffrey), Jon S (Jon),94997," ""twelve; younger than Jon or Robb; but taller than either; to Jon's vast dismay. Prince Joffrey"""
,Joffrey B (Prince Joffrey), Robb S (Robb),94997," ""twelve; younger than Jon or Robb; but taller than either; to Jon's vast dismay. Prince Joffrey"""
,Joffrey B (Joffrey), Jon S (Jon),95219," ""velvet collar. Sansa looked radiant as she walked beside him; but Jon did not like Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),95219," ""velvet collar. Sansa looked radiant as she walked beside him; but Jon did not like Joffrey"""
,Joffrey B (Joffrey), Catelyn S (Catelyn),112162," ""is so wrong with that?""  ""Gods; Catelyn; Sansa is only eleven;"" Ned said. ""And Joffrey"""
,Joffrey B (Joffrey), Eddard S (Ned),112162," ""is so wrong with that?""  ""Gods; Catelyn; Sansa is only eleven;"" Ned said. ""And Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),112162," ""is so wrong with that?""  ""Gods; Catelyn; Sansa is only eleven;"" Ned said. ""And Joffrey"""
,Joffrey B (Joffrey), Catelyn S (Catelyn),121078," ""could not bear it;"" Catelyn said; trembling.  ""You must;"" he said. ""Sansa must wed Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),121078," ""could not bear it;"" Catelyn said; trembling.  ""You must;"" he said. ""Sansa must wed Joffrey"""
,Joffrey B (Prince Joffrey), Eddard S (Ned),121714," ""Eyrie;"" Ned said. ""Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Robb S (Robb),121714," ""Eyrie;"" Ned said. ""Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Rodrik C (Ser Rodrik),121714," ""Eyrie;"" Ned said. ""Ser Rodrik tells me there is bad feeling between Robb and Prince Joffrey"""
,Brandon S (Bran), Joffrey B (Prince Joffrey),121741," ""tells me there is bad feeling between Robb and Prince Joffrey. That is not healthy. Bran"""
,Joffrey B (Joffrey), Arya S (Arya),129404," ""Sansa said; her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),129404," ""Sansa said; her voice soft as a kiss.  Arya knew which prince she meant: Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),129446," ""kiss.  Arya knew which prince she meant: Joffrey; of course. The tall; handsome one. Sansa"""
,Joffrey B (Joffrey), Arya S (Arya),129542," ""him at the feast. Arya had to sit with the little fat one. Naturally.  ""Joffrey"""
,Jeyne P (Jeyne), Joffrey B (Joffrey),129568," ""Arya had to sit with the little fat one. Naturally.  ""Joffrey likes your sister;"" Jeyne"""
,Joffrey B (Prince Joff), Arya S (Arya),130162," ""harshness out of her words. She looked at Arya. ""What did you think of Prince Joff"""
,Jon S (Jon), Joffrey B (Prince Joff),130214," """"What did you think of Prince Joff; sister? He's very gallant; don't you think?""  ""Jon"""
,Joffrey B (Prince Joff), Sansa S (Sansa),133121," ""Sansa had never had much of a head for figures. If she did marry Prince Joff"""
,Arya S (Arya), Joffrey B (Prince Joff),133127," ""had never had much of a head for figures. If she did marry Prince Joff; Arya"""
,Joffrey B (Prince Joffrey), Robb S (Robb),134283," ""boys were at practice in the yard. She wanted to see Robb put gallant Prince Joffrey"""
,Joffrey B (Prince Joffrey), Brandon S (Bran),137352," ""her hair again. They watched Bran and Tommen circle each other.  ""You see Prince Joffrey"""
,Joffrey B (Prince Joffrey), Tommen (Tommen),137352," ""her hair again. They watched Bran and Tommen circle each other.  ""You see Prince Joffrey"""
,Jon S (Jon), Joffrey B (Prince Joffrey),137358," ""hair again. They watched Bran and Tommen circle each other.  ""You see Prince Joffrey?"" Jon"""
,Robb S (Robb), Joffrey B (Prince Joffrey),139065," """"Well fought. Lew; Donnis; help them out of their armor."" He looked around. ""Prince Joffrey; Robb"""
,Joffrey B (Joffrey), Robb S (Robb),139180," ""another round?""  Robb; already sweaty from a previous bout; moved forward eagerly. ""Gladly.""  Joffrey"""
,Rodrik C (Rodrik), Joffrey B (Joffrey),139226," ""previous bout; moved forward eagerly. ""Gladly.""  Joffrey moved into the sunlight in response to Rodrik"""
,Joffrey B (Joffrey), Robb S (Robb),139447," ""bark of laughter. ""You are children;"" he said derisively.  ""Robb may be a child;"" Joffrey"""
,Robb S (Robb), Joffrey B (Joff),139576," ""at Starks with a play sword.""  ""You got more swats than you gave; Joff;"" Robb"""
,Joffrey B (Prince Joffrey), Robb S (Robb),139616," """"You got more swats than you gave; Joff;"" Robb said. ""Are you afraid?""  Prince Joffrey"""
,Joffrey B (Joffrey), Jon S (Jon),139769," ""of the Lannister men laughed.  Jon looked down on the scene with a frown. ""Joffrey"""
,Arya S (Arya), Joffrey B (Joffrey),139807," ""down on the scene with a frown. ""Joffrey is truly a little shit;"" he told Arya"""
,Rodrik C (Ser Rodrik), Joffrey B (Joffrey),139820," ""scene with a frown. ""Joffrey is truly a little shit;"" he told Arya.  Ser Rodrik"""
,Arya S (Arya), Joffrey B (Joffrey),140168," ""you tourney swords; with blunted edges.""  Joffrey said nothing; but a man strange to Arya"""
,Joffrey B (Joffrey), Rodrik C (Ser Rodrik),140983," ""can beat him.""  ""Beat him with a tourney blade; then;"" Ser Rodrik said.  Joffrey"""
,Joffrey B (Joffrey), Rodrik C (Ser Rodrik),141294," ""keep him away from the prince. Ser Rodrik tugged at his whiskers in dismay.  Joffrey"""
,Tommen (Tommen), Joffrey B (Joffrey),141358," ""whiskers in dismay.  Joffrey feigned a yawn and turned to his younger brother. ""Come; Tommen"""
,Robb S (Robb), Joffrey B (Prince Joffrey),142835," ""king wanted wild boar at the feast tonight. Prince Joffrey rode with his father; so Robb"""
,Joffrey B (Joff), Robert B (Robert),158804," ""I don't deny he's loyal to Robert; that's obvious. What happens when Robert dies and Joff"""
,Joffrey B (Joffrey), Sandor C (Hound),165033," ""be quicker about it.""  Tyrion glanced down and saw the Hound standing with young Joffrey"""
,Joffrey B (Joffrey), Tyrion L (Tyrion),165033," ""be quicker about it.""  Tyrion glanced down and saw the Hound standing with young Joffrey"""
,Sandor C (Sandor), Joffrey B (Joffrey),165919," ""name.""  Joffrey had the grace at least to blush.  ""A voice from nowhere;"" Sandor"""
,Joffrey B (Joffrey), Tyrion L (Tyrion),166360," "" ""I am in no mood for your insolence today."" Tyrion turned to his nephew. ""Joffrey"""
,Eddard S (Eddard), Joffrey B (Joffrey),166403," ""today."" Tyrion turned to his nephew. ""Joffrey; it is past time you called on Lord Eddard"""
,Joffrey B (Joffrey), Eddard S (Eddard),166455," ""time you called on Lord Eddard and his lady; to offer them your comfort.""  Joffrey"""
,Tyrion L (Tyrion), Joffrey B (Joffrey),166718," ""boy is nothing to me;"" Joffrey said. ""I cannot abide the wailing of women.""  Tyrion"""
,Joffrey B (Joffrey), Tyrion L (Tyrion),166908," ""word;"" Tyrion said; ""and I will hit you again.""  ""I'm going to tell Mother!"" Joffrey"""
,Tyrion L (Tyrion), Joffrey B (Joffrey),166927," """"and I will hit you again.""  ""I'm going to tell Mother!"" Joffrey exclaimed.  Tyrion"""
,Joffrey B (Prince Joffrey), Cersei L (the queen),265256," ""a week. It was a great honor to ride with the queen; and besides; Prince Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),265437," ""though they were not to marry for years and years. Sansa did not really know Joffrey"""
,Joffrey B (Joffrey), Cersei L (the queen),277916," ""was frightened again; and ashamed. Tears filled her eyes.  She heard the queen say; ""Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),280171," ""stiffened beside her. ""Have a care how you address my betrothed.""  ""I can answer;"" Sansa"""
,Joffrey B (Joffrey), Renly B (Renly),281508," ""been feeling talkative these past fourteen years;"" Lord Renly commented with a sly smile.  Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),281564," ""a sly smile.  Joffrey gave his uncle a look of pure loathing; then took Sansa"""
,Joffrey B (Joffrey), Myrcella (Myrcella),282007," ""shall have to postpone your day with Myrcella. Please give your sweet sister my apologies. Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),282279," ""wheelhouse; and Sansa's spirits took flight. A whole day with her prince! She gazed at Joffrey"""
,Joffrey B (Joffrey), Dragonknight (Dragonknight),282627," ""the Dragonknight championing Queen Naerys's honor against evil Ser Morgil's slanders.  The touch of Joffrey"""
,Joffrey B (Joffrey), Morgil (Morgil),282627," ""the Dragonknight championing Queen Naerys's honor against evil Ser Morgil's slanders.  The touch of Joffrey"""
,Joffrey B (Joffrey), Naerys (Queen Naerys),282627," ""the Dragonknight championing Queen Naerys's honor against evil Ser Morgil's slanders.  The touch of Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),282797," ""with you; Sansa thought; but she said; ""Whatever you'd like to do; my prince.""  Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),282867," ""prince.""  Joffrey reflected a moment. ""We could go riding.""  ""Oh; I love riding;"" Sansa"""
,Joffrey B (Joffrey), Sansa S (Sansa),282882," ""reflected a moment. ""We could go riding.""  ""Oh; I love riding;"" Sansa said.  Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),283931," ""a leather grip and a lion's-head pommel in gold. Sansa exclaimed over it admiringly; and Joffrey"""
,Joffrey B (Prince Joffrey), Sansa S (Sansa),284325," ""woods here had a gentle beauty that Sansa had never seen in the north. Prince Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),285106," ""eaten. Joffrey sang for her as they rode; his voice high and sweet and pure. Sansa"""
,Joffrey B (Joffrey), Rhaegar T (Rhaegar Targaryen),285395," ""killed Rhaegar Targaryen; you know. He smashed in his chest; crunch; right through the armor."" Joffrey"""
,Jaime L (Jaime), Joffrey B (Joffrey),285474," ""Joffrey swung an imaginary warhammer to show her how it was done. ""Then my uncle Jaime"""
