,Joffrey B Encounters:,,,
,Sansa S (Sansa), Joffrey B (Joffrey),285810," ""see what it is."" Joffrey turned his horse in the direction of the sounds; and Sansa"""
,Arya S (Arya), Joffrey B (Joffrey),287289," ""in her eyes. ""What are you doing here? Leave us alone.""  Joffrey glanced from Arya"""
,Sansa S (Sansa), Joffrey B (Joffrey),287298," ""eyes. ""What are you doing here? Leave us alone.""  Joffrey glanced from Arya to Sansa"""
,Joffrey B (Joffrey), Arya S (Arya),287359," "" Joffrey glanced from Arya to Sansa and back again. ""Your sister?"" She nodded; blushing. Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),287359," "" Joffrey glanced from Arya to Sansa and back again. ""Your sister?"" She nodded; blushing. Joffrey"""
,Mycah ( butcher's boy), Joffrey B (Joffrey),287888," ""it?"" Joffrey swung down from his mount; sword in hand. ""Pick up your sword; butcher's boy"""
,Joffrey B (Joffrey), Mycah (Mycah),288009," """"Let us see how good you are.""  Mycah stood there; frozen with fear.  Joffrey"""
,Mycah (Mycah), Joffrey B (Joffrey),288553," ""a butcher's boy; and no knight."" Joffrey lifted Lion's Tooth and laid its point on Mycah"""
,Joffrey B (Prince Joffrey), Arya S (Arya),288957," ""afraid. ""Arya; you stay out of this.""  ""I won't hurt him •À_ much;"" Prince Joffrey"""
,Arya S (Arya), Joffrey B (Prince Joffrey),288967," ""you stay out of this.""  ""I won't hurt him •À_ much;"" Prince Joffrey told Arya"""
,Joffrey B (Joffrey), Sansa S (Sansa),289265," ""back of the prince's head; and then everything happened at once before Sansa's horrified eyes. Joffrey"""
,Mycah (Mycah), Joffrey B (Joffrey),289317," ""everything happened at once before Sansa's horrified eyes. Joffrey staggered and whirled around; roaring curses. Mycah"""
,Joffrey B (Joffrey), Arya S (Arya),289425," ""as his legs would take him. Arya swung at the prince again; but this time Joffrey"""
,Joffrey B (Joffrey), Arya S (Arya),289725," ""it;"" but no one was listening. Arya scooped up a rock and hurled it at Joffrey"""
,Joffrey B (Joffrey), Mycah (Mycah),289872," ""bay reared and went galloping off after Mycah. ""Stop it; don't; stop it!"" Sansa screamed. Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),289872," ""bay reared and went galloping off after Mycah. ""Stop it; don't; stop it!"" Sansa screamed. Joffrey"""
,Arya S (Arya), Joffrey B (Joffrey),289888," ""went galloping off after Mycah. ""Stop it; don't; stop it!"" Sansa screamed. Joffrey slashed at Arya"""
,Joffrey B (Joffrey), Arya S (Arya),290003," ""with his sword; screaming obscenities; terrible words; filthy words. Arya darted back; frightened now; but Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),290081," ""now; but Joffrey followed; hounding her toward the woods; backing her up against a tree. Sansa"""
,Joffrey B (Joffrey), Arya S (Arya),290563," ""off!""  Arya's voice cracked like a whip. ""Nymeria!""  The direwolf let go of Joffrey"""
,Arya S (Arya), Joffrey B (Joffrey),290581," ""cracked like a whip. ""Nymeria!""  The direwolf let go of Joffrey and moved to Arya"""
,Arya S (Arya), Joffrey B (Joffrey),291226," ""out over the river. It hit the water and vanished with a splash. Joffrey moaned. Arya"""
,Joffrey B (Prince Joffrey), Sansa S (Sansa),291328," ""horse; Nymeria loping at her heels.  After they had gone; Sansa went to Prince Joffrey"""
,Sansa S (Sansa), Joffrey B (Prince Joffrey),291384," ""gone; Sansa went to Prince Joffrey. His eyes were closed in pain; his breath ragged. Sansa"""
,Joffrey B (Joffrey), Sansa S (Sansa),291411," ""Prince Joffrey. His eyes were closed in pain; his breath ragged. Sansa knelt beside him. ""Joffrey"""
,Joffrey B (Joffrey), Cersei L (Cersei Lannister),294047," ""sullen. Cersei Lannister and her son stood beside him. The queen had her hand on Joffrey"""
,Arya S (Arya), Joffrey B (Joffrey),294116," ""had her hand on Joffrey's shoulder. Thick silken bandages still covered the boy's arm.  Arya"""
,Joffrey B (Joff), Arya S (Arya),296004," ""true;"" Arya said loudly. ""She just bit him a little. He was hurting Mycah.""  ""Joff"""
,Joffrey B (Joff), Mycah (Mycah),296004," ""true;"" Arya said loudly. ""She just bit him a little. He was hurting Mycah.""  ""Joff"""
,Cersei L (the queen), Joffrey B (Joff),296038," ""bit him a little. He was hurting Mycah.""  ""Joff told us what happened;"" the queen"""
,Joffrey B (Prince Joffrey), Eddard S (Ned),296242," ""to tears again. Ned put a hand on her shoulder.  ""Yes it is!"" Prince Joffrey"""
,Eddard S (Ned), Joffrey B (Prince Joffrey),296321," ""Prince Joffrey insisted. ""They all attacked me; and she threw Lion's Tooth in the river!"" Ned"""
,Joffrey B (Joffrey), Arya S (Arya),297029," ""of the hall as Arya spoke. When she got to the part where she threw Joffrey"""
,Renly B (Renly), Joffrey B (Joffrey),297075," ""got to the part where she threw Joffrey's sword into the middle of the Trident; Renly"""
,Joffrey B (Prince Joffrey), Eddard S (Ned),297561," ""shut behind him; Ned heard him say; ""Lion's Tooth;"" and guffaw once more.  Prince Joffrey"""
,Robert B (Robert), Joffrey B (Joff),299149," ""queen was furious. ""Joff will carry those scars for the rest of his life.""  Robert"""
,Joffrey B (Prince Joffrey), Cersei L (Cersei Lannister),302109," """"Where is the direwolf?"" Cersei Lannister asked when her husband was gone. Beside her; Prince Joffrey"""
,Barristan S (Barristan), Joffrey B (Prince Joffrey),302198," ""Joffrey was smiling.  ""The beast is chained up outside the gatehouse; Your Grace;"" Ser Barristan"""
,Joffrey B (Prince Joffrey), Petyr B (Petyr),334815," ""made no sense. Petyr had not been at Winterfell.  ""Until the tourney on Prince Joffrey"""
,Eddard S (Ned), Joffrey B (Prince Joffrey),365392," ""candles for Prince Joffrey. I pray for his recovery."" His hand left powder stains on Ned"""
,Joffrey B (Prince Joffrey), Arya S (Arya),415033," ""of you.""  ""I don't care about their stupid tourney;"" Arya said. She knew Prince Joffrey"""
,Sansa S (Sansa), Joffrey B (Prince Joffrey),415086," ""Arya said. She knew Prince Joffrey would be there; and she hated Prince Joffrey.  Sansa"""
,Joffrey B (Prince Joffrey), Sansa S (Sansa),422269," ""tower; run away from this horrible place; away from Sansa and Septa Mordane and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Septa M (Septa Mordane),422269," ""tower; run away from this horrible place; away from Sansa and Septa Mordane and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Arya S (Arya),426351," ""them;"" Arya confided; red-faced; sniffling. ""The Hound and the queen and the king and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Cersei L (the queen),426351," ""them;"" Arya confided; red-faced; sniffling. ""The Hound and the queen and the king and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Robert B (the king),426351," ""them;"" Arya confided; red-faced; sniffling. ""The Hound and the queen and the king and Prince Joffrey"""
,Joffrey B (Prince Joffrey), Sandor C (Hound),426351," ""them;"" Arya confided; red-faced; sniffling. ""The Hound and the queen and the king and Prince Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),426426," ""I hate all of them. Joffrey lied; it wasn't the way he said. I hate Sansa"""
,Joffrey B (Joffrey), Sansa S (Sansa),426474," ""the way he said. I hate Sansa too. She did remember; she just lied so Joffrey"""
,Joffrey B (Prince Joffrey), Tywin L (Tywin),490541," ""father. Lord Tywin had brought a retinue to the city for the tourney on Prince Joffrey"""
,Jaime L (Jaime), Joffrey B (Prince Joffrey),490590," ""for the tourney on Prince Joffrey's name day; no doubt hoping to see his son Jaime"""
,Joffrey B (Prince Joffrey), Robert B (the king),577682," ""left of the raised dais where the king himself sat beside his queen. When Prince Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),577997," ""after Sansa had wept her eyes dry; she told herself that it had not been Joffrey"""
,Joffrey B (Joffrey), Arya S (Arya),578156," ""and Arya. Nothing bad would have happened except for Arya.  She could not hate Joffrey"""
,Joffrey B (Joffrey), Loras T (Loras),578848," ""is a true knight. Do you think he will win tomorrow; my lord?""  ""No;"" Joffrey"""
,Jaime L (Jaime), Joffrey B (Joffrey),578905," ""lord?""  ""No;"" Joffrey said. ""My dog will do for him; or perhaps my uncle Jaime"""
,Joffrey B (Joffrey), Septa M (Septa Mordane),579141," ""of iced summerwine; and poured her a cup. She looked anxiously at Septa Mordane; until Joffrey"""
,Septa M (septa), Joffrey B (Joffrey),579174," ""a cup. She looked anxiously at Septa Mordane; until Joffrey leaned over and filled the septa"""
,Joffrey B (Joffrey), High S (High Septon),580019," ""about the High Septon; she laughed so hard she spilled wine on herself.  And Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),580064," ""spilled wine on herself.  And Joffrey was the soul of courtesy. He talked to Sansa"""
,Joffrey B (Joffrey), Sansa S (Sansa),580527," ""sprinkled with crushed nuts. Snails in honey and garlic. Sansa had never eaten snails before; Joffrey"""
,Joffrey B (Joffrey), Robert B (Robert),582956," ""spilled your wine; Robert. Let me bring you a fresh goblet.""  Sansa started as Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),582956," ""spilled your wine; Robert. Let me bring you a fresh goblet.""  Sansa started as Joffrey"""
,Sandor C (Sandor), Joffrey B (Joffrey),583440," ""so dark. I should be glad for some protection.""  Joffrey called out; ""Dog!""  Sandor"""
,Sansa S (Sansa), Joffrey B (Joffrey),583888," ""brusquely. And without even a word of farewell; Joffrey strode off; leaving her there.  Sansa"""
,Sandor C (Hound), Joffrey B (Joffrey),583909," ""a word of farewell; Joffrey strode off; leaving her there.  Sansa could feel the Hound"""
,Joffrey B (Joff), Sandor C (Hound),583943," ""off; leaving her there.  Sansa could feel the Hound watching her. ""Did you think Joff"""
,Joffrey B (Joff), Sansa S (Sansa),583943," ""off; leaving her there.  Sansa could feel the Hound watching her. ""Did you think Joff"""
,Sansa S (Sansa), Joffrey B (Joffrey),590789," ""tell Joffrey •À_ your sister; your father •À_ any of them •À_""  ""I won't;"" Sansa"""
,Cersei L (Cersei), Joffrey B (Joffrey),601487," ""love me. You know what stops me? The thought of Joffrey on the throne; with Cersei"""
,Joffrey B (Prince Joffrey), Eddard S (Ned),601662," ""Ned?""  ""He's only a boy;"" Ned said awkwardly. He had small liking for Prince Joffrey"""
,Robert B (Robert), Joffrey B (Prince Joffrey),601700," ""awkwardly. He had small liking for Prince Joffrey; but he could hear the pain in Robert"""
,Varys (eunuch), Joffrey B (King Joffrey),624601," ""kiss of forgiveness. Good King Joffrey would have no choice but to pardon him."" The eunuch"""
,Jaime L (Jaime), Joffrey B (Prince Joffrey),646234," ""in a wager; during the tourney on Prince Joffrey's name day.""  ""When my brother Jaime"""
,Loras T (Knight of Flowers), Joffrey B (Prince Joffrey),646272," ""Prince Joffrey's name day.""  ""When my brother Jaime was unhorsed by the Knight of Flowers"""
,Joffrey B (Prince Joffrey), Barristan S (Barristan),906124," ""Lord Renly and Ser Barristan had joined the king to hunt it; along with Prince Joffrey"""
,Joffrey B (Prince Joffrey), Renly B (Renly),906124," ""Lord Renly and Ser Barristan had joined the king to hunt it; along with Prince Joffrey"""
,Joffrey B (Prince Joffrey), Robert B (the king),906124," ""Lord Renly and Ser Barristan had joined the king to hunt it; along with Prince Joffrey"""
,Sandor C (Sandor), Joffrey B (Prince Joffrey),906132," ""Renly and Ser Barristan had joined the king to hunt it; along with Prince Joffrey; Sandor"""
,Balon S (Balon Swann), Joffrey B (Prince Joffrey),906153," ""Barristan had joined the king to hunt it; along with Prince Joffrey; Sandor Clegane; Balon Swann"""
,Eddard S (Ned), Joffrey B (Prince Joffrey),906181," ""hunt it; along with Prince Joffrey; Sandor Clegane; Balon Swann; and half the court. So Ned"""
,Joffrey B (Joffrey), Sansa S (Sansa),927454," ""Sansa took a sip of milk and changed the subject. ""I had a dream that Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),928165," ""no harm; but she knew Joffrey liked hunting; especially the killing part. Only animals; though. Sansa"""
changes,Arya S (Arya), Joffrey B (Joff),928429," ""it wasn't fair to blame Joff. That would be like blaming her for something that Arya"""
,Joffrey B (Joffrey), Sandor C (Hound),932192," ""Somebody should have beheaded them.""  ""It's not the same;"" Sansa said. ""The Hound is Joffrey"""
,Joffrey B (Joffrey), Sansa S (Sansa),932192," ""Somebody should have beheaded them.""  ""It's not the same;"" Sansa said. ""The Hound is Joffrey"""
,Arya S (Arya), Joffrey B (Joffrey),932263," ""said. ""The Hound is Joffrey's sworn shield. Your butcher's boy attacked the prince.""  ""Liar;"" Arya"""
,Joffrey B (Joffrey), Sansa S (Sansa),932462," ""all the names you want;"" Sansa said airily. ""You won't dare when I'm married to Joffrey"""
,Joffrey B (Prince Joffrey), Cersei L (Cersei),935377," ""the ivory silk; the one Queen Cersei gave me when I was betrothed to Prince Joffrey"""
,Aemon T (Aemon), Joffrey B (Joffrey),938135," ""and strong. This match with Joffrey was a terrible mistake. That boy is no Prince Aemon"""
,Joffrey B (Joffrey), Arya S (Arya),938498," ""the wolf and as proud as the lion.""  Arya made a face. ""Not if Joffrey"""
,Balon S (Ser Balon), Joffrey B (Prince Joffrey),944207," ""do but he must have it. Prince Joffrey returned this morning; with the Royces; Ser Balon"""
,Joffrey B (Joffrey), Jaime L (Jaime),944489," ""that Ser Jaime had fled the city to join his father.  ""Oh; returned with Joffrey"""
,Cersei L (the queen), Joffrey B (Joffrey),944521," ""city to join his father.  ""Oh; returned with Joffrey; and went straight to the queen"""
,Petyr B (Littlefinger), Joffrey B (Joffrey),944536," ""to join his father.  ""Oh; returned with Joffrey; and went straight to the queen."" Littlefinger"""
,Robert B (Robert), Joffrey B (Joffrey),988674," ""my •À_ in my stead; until my son Joffrey does come of age •À_""  ""Robert"""
,Joffrey B (Joffrey), Robert B (Robert),988685," ""in my stead; until my son Joffrey does come of age •À_""  ""Robert •À_"" Joffrey"""
,Joffrey B (Joffrey), Eddard S (Ned),988910," ""So Ned bent his head and wrote; but where the king had said ""my son Joffrey"""
,Joffrey B (Joffrey), Robert B (the king),988910," ""So Ned bent his head and wrote; but where the king had said ""my son Joffrey"""
,Joffrey B (Joffrey), Boros B (Boros),996671," ""at Ser Boros again and dropped his voice to an urgent whisper. ""We must get Joffrey"""
,Eddard S (Ned), Joffrey B (Joffrey),996962," ""us. The council will confirm you as Lord Protector and make Joffrey your ward.""  Ned"""
,Robert B (Robert), Joffrey B (Joffrey),996991," ""confirm you as Lord Protector and make Joffrey your ward.""  Ned regarded him coldly. ""Robert"""
,Joffrey B (Joffrey), Jon A (Jon Arryn),1002663," ""secret Jon Arryn was murdered to protect. Robert will leave no trueborn son behind him. Joffrey"""
delete,Joffrey B (Joffrey), Jon S (Jon),1002663," ""secret Jon Arryn was murdered to protect. Robert will leave no trueborn son behind him. Joffrey"""
,Joffrey B (Joffrey), Robert B (Robert),1002663," ""secret Jon Arryn was murdered to protect. Robert will leave no trueborn son behind him. Joffrey"""
,Tommen (Tommen), Joffrey B (Joffrey),1002674," ""Arryn was murdered to protect. Robert will leave no trueborn son behind him. Joffrey and Tommen"""
,Jaime L (Jaime), Joffrey B (Joffrey),1002684," ""murdered to protect. Robert will leave no trueborn son behind him. Joffrey and Tommen are Jaime"""
,Cersei L (the queen), Joffrey B (Joffrey),1002750," ""him. Joffrey and Tommen are Jaime Lannister's bastards; born of his incestuous union with the queen"""
,Eddard S (Ned), Joffrey B (Joffrey),1003298," ""take the throne without your help. If you're wise; you'll make certain Joffrey succeeds.""  Ned"""
,Robert B (Robert), Joffrey B (Joffrey),1004399," "" ""Now look at the other side of the coin. Joffrey is but twelve; and Robert"""
,Eddard S (HandoftheKing), Joffrey B (Joffrey),1004456," ""Joffrey is but twelve; and Robert gave you the regency; my lord. You are the HandoftheKing"""
,Joffrey B (Joffrey), Tyrion L (Imp),1004624," ""reach out and take it. Make your peace with the Lannisters. Release the Imp. Wed Joffrey"""
,Sansa S (Sansa), Joffrey B (Joffrey),1004638," ""take it. Make your peace with the Lannisters. Release the Imp. Wed Joffrey to your Sansa"""
,Tommen (Tommen), Joffrey B (Joffrey),1004678," ""Lannisters. Release the Imp. Wed Joffrey to your Sansa. Wed your younger girl to Prince Tommen"""
,Myrcella (Myrcella), Joffrey B (Joffrey),1004705," ""Joffrey to your Sansa. Wed your younger girl to Prince Tommen; and your heir to Myrcella"""
,Joffrey B (Joffrey), Myrcella (Myrcella),1004743," ""girl to Prince Tommen; and your heir to Myrcella. It will be four years before Joffrey"""
,Joffrey B (Joffrey), Tommen (Tommen),1004743," ""girl to Prince Tommen; and your heir to Myrcella. It will be four years before Joffrey"""
,Joffrey B (Joffrey), Stannis B (Lord Stannis),1004927," ""a good long while; my lord. Long enough to dispose of Lord Stannis. Then; should Joffrey"""
,Renly B (Renly), Joffrey B (Joffrey),1004997," ""Stannis. Then; should Joffrey prove troublesome; we can reveal his little secret and put Lord Renly"""
,Joffrey B (Joffrey), Robert B (Robert),1006204," ""us. Robert has named me Protector; true enough; but in the eyes of the world; Joffrey"""
,Eddard S (Eddard), Joffrey B (Prince Joffrey),1025778," ""let me say farewell to Prince Joffrey?""  ""I would gladly go with her; Lord Eddard"""
,Septa M (Septa), Joffrey B (Prince Joffrey),1025786," ""me say farewell to Prince Joffrey?""  ""I would gladly go with her; Lord Eddard;"" Septa"""
,Sansa S (Sansa), Joffrey B (Joffrey),1025922," ""ship.""  ""It would not be wise for you to go to Joffrey right now; Sansa"""
