,Brandon S Encounters:,,,
,Robert B (Robert), Brandon S (Brandon),77893," ""the end; with Father and Brandon.""  He led the way between the pillars and Robert"""
,Aerys T (Mad), Brandon S (Brandon),79704," ""his children.  Brandon had been twenty when he died; strangled by order of the Mad"""
,Brandon S (Brandon), Eddard S (Ned),80697," ""when she died;"" Ned reminded the king. ""She wanted to come home; to rest beside Brandon"""
,Brandon S (Brandon), Robert B (the king),80697," ""when she died;"" Ned reminded the king. ""She wanted to come home; to rest beside Brandon"""
,Brandon S (Bran), Robb S (Robb),102798," ""Robb would someday inherit Winterfell; would command great armies as the Warden of the North. Bran"""
,Rickon S (Rickon), Brandon S (Bran),102809," ""someday inherit Winterfell; would command great armies as the Warden of the North. Bran and Rickon"""
,Robb S (Robb), Brandon S (Bran),102823," ""would command great armies as the Warden of the North. Bran and Rickon would be Robb"""
,Eddard S (Ned), Brandon S (Brandon),112358," ""my father promised me to your brother Brandon.""  That brought a bitter twist to Ned"""
,Brandon S (Brandon), Eddard S (Ned),112376," ""promised me to your brother Brandon.""  That brought a bitter twist to Ned's mouth. ""Brandon"""
,Eddard S (KingsHand), Brandon S (Brandon),112517," ""It was all meant for Brandon. You; Winterfell; everything. He was born to be a KingsHand"""
,Brandon S (Brandon), Catelyn S (Catelyn),112627," ""never asked for this cup to pass to me.""  ""Perhaps not;"" Catelyn said; ""but Brandon"""
,Brandon S (Brandon), Catelyn S (Catelyn),112948," ""wall.  Catelyn softened then; to see his pain. Eddard Stark had married her in Brandon"""
,Brandon S (Brandon), Eddard S (Eddard Stark),112948," ""wall.  Catelyn softened then; to see his pain. Eddard Stark had married her in Brandon"""
,Brandon S (Bran), Arya S (Arya),121439," ""that Arya needed refinement. Reluctantly; she let go of them in her heart. But not Bran"""
,Eddard S (Ned), Brandon S (Bran),121486," ""of them in her heart. But not Bran. Never Bran. ""Yes;"" she said; ""but please; Ned"""
,Brandon S (Bran), Eddard S (Ned),121522," ""Never Bran. ""Yes;"" she said; ""but please; Ned; for the love you bear me; let Bran"""
,Brandon S (Bran), Joffrey B (Prince Joffrey),121741," ""tells me there is bad feeling between Robb and Prince Joffrey. That is not healthy. Bran"""
,Brandon S (Bran), Robb S (Robb),121741," ""tells me there is bad feeling between Robb and Prince Joffrey. That is not healthy. Bran"""
,Brandon S (Bran), Eddard S (Ned),122108," ""would lose all four of them; then: Ned; and both girls; and her sweet; loving Bran"""
,Robb S (Robb), Brandon S (Bran),122119," ""all four of them; then: Ned; and both girls; and her sweet; loving Bran. Only Robb"""
,Rickon S (Rickon), Brandon S (Bran),122137," ""them; then: Ned; and both girls; and her sweet; loving Bran. Only Robb and little Rickon"""
,Eddard S (Ned), Brandon S (Bran),122309," ""off the walls; then;"" she said bravely. ""You know how Bran loves to climb.""  Ned"""
,Brandon S (Bran), Robb S (Robb),136250," ""their father's face; as she did. They were the only ones. Robb and Sansa and Bran"""
,Brandon S (Bran), Sansa S (Sansa),136250," ""their father's face; as she did. They were the only ones. Robb and Sansa and Bran"""
,Rickon S (Rickon), Brandon S (Bran),136273," ""she did. They were the only ones. Robb and Sansa and Bran and even little Rickon"""
,Brandon S (Bran), Tommen (Tommen),136920," ""She watched her little brother whack at Tommen. ""I could do just as good as Bran"""
,Jon S (Jon), Brandon S (Bran),136966," ""could do just as good as Bran;"" she said. ""He's only seven. I'm nine.""  Jon"""
,Brandon S (Bran), Jon S (Jon),137297," ""back her arm and glared at him. Jon messed up her hair again. They watched Bran"""
,Tommen (Tommen), Brandon S (Bran),137308," ""arm and glared at him. Jon messed up her hair again. They watched Bran and Tommen"""
,Joffrey B (Prince Joffrey), Brandon S (Bran),137352," ""her hair again. They watched Bran and Tommen circle each other.  ""You see Prince Joffrey"""
,Jon S (Jon), Brandon S (Bran),137358," ""hair again. They watched Bran and Tommen circle each other.  ""You see Prince Joffrey?"" Jon"""
,Jon S (Jon), Brandon S (Bran),143108," ""On the morrow they left for the south.  Bran had been left behind with Jon"""
,Rickon S (Rickon), Brandon S (Bran),143133," ""for the south.  Bran had been left behind with Jon and the girls and Rickon"""
,Brandon S (Bran), Jon S (Jon),143243," ""the girls were only girls and Jon and his wolf were nowhere to be found. Bran"""
,Jon S (Jon), Brandon S (Bran),143290," ""were nowhere to be found. Bran did not look for him very hard. He thought Jon"""
,Brandon S (Bran), Jon S (Jon),143360," ""thought Jon was angry at him. Jon seemed to be angry at everyone these days. Bran"""
,Benjen S (Ben), Brandon S (Bran),143406," ""angry at everyone these days. Bran did not know why. He was going with Uncle Ben"""
,Brandon S (Bran), Jon S (Jon),143568," ""the king. Robb was the one they were leaving behind; not Jon.  For days; Bran"""
,Brandon S (Bran), Robb S (Robb),143568," ""the king. Robb was the one they were leaving behind; not Jon.  For days; Bran"""
,Brandon S (Bran), Robert B (the king),143568," ""the king. Robb was the one they were leaving behind; not Jon.  For days; Bran"""
,Brandon S (Bran), Robert B (the king),144125," ""would be with him; and the king with all his knights and sworn swords.  Bran"""
,Nan (Old Nan), Brandon S (Bran),144198," "" Bran was going to be a knight himself someday; one of the Kingsguard. Old Nan"""
,Brandon S (Bran), Robert B (the king),144375," ""white armor and had no wives or children; but lived only to serve the king. Bran"""
,Brandon S (Bran), Barristan S (Barristan the Bold),144848," ""Morning. Barristan the Bold.  Two of the Kingsguard had come north with King Robert. Bran"""
,Brandon S (Bran), Robert B (Robert),144848," ""Morning. Barristan the Bold.  Two of the Kingsguard had come north with King Robert. Bran"""
,Boros B (Boros), Brandon S (Bran),144930," ""Robert. Bran had watched them with fascination; never quite daring to speak to them. Ser Boros"""
,Brandon S (Bran), Barristan S (Barristan),145406," ""Father had promised that they would meet Ser Barristan when they reached King's Landing; and Bran"""
,Hodor (Hodor), Brandon S (Bran),146396," ""sudden Bran just wanted to sit down and cry. He turned and ran off before Hodor"""
,Brandon S (Bran), Rickon S (Rickon),147034," ""after some old witch queen in the songs; and little Rickon called his Shaggydog; which Bran"""
,Jon S (Jon), Brandon S (Bran),147087," ""Rickon called his Shaggydog; which Bran thought was a pretty stupid name for a direwolf. Jon"""
,Brandon S (Bran), Jon S (Jon),147126," ""was a pretty stupid name for a direwolf. Jon's wolf; the white one; was Ghost. Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),150428," ""with a hundred feet of wall looming over you. Even Maester Luwin didn't know that; Bran"""
,Brandon S (Bran), Eddard S (Eddard),150972," ""Eddard ordered him to the godswood to cleanse himself. Guards were posted to see that Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),152065," ""his eyes.  Later; Maester Luwin built a little pottery boy and dressed him in Bran"""
,Jory C (Jory), Brandon S (Bran),152581," ""always won. None of the guards could climb half so well as Bran; not even Jory"""
,Brandon S (Bran), Lysa A (Lysa),157218," ""sister. It's a wonder Lysa was not here to greet us with her accusations.""  Bran"""
,Brandon S (Bran), Lyanna (Lyanna),159120," ""sixteen-year-old. How long till he decides to put me aside for some new Lyanna?""  Bran"""
,Brandon S (Bran), Tommen (Tommen),169957," ""thought too dreadful to contemplate.  Prince Tommen spoke up. ""Do you have news of Bran"""
,Tyrion L (Tyrion), Brandon S (Bran),170014," """"Do you have news of Bran; Uncle?""  ""I stopped by the sickroom last night;"" Tyrion"""
,Tommen (Tommen), Brandon S (Brandon),170128," ""change. The maester thought that a hopeful sign.""  ""I don't want Brandon to die;"" Tommen"""
,Brandon S (Brandon), Eddard S (Eddard),170305," ""somewhat less than peas in a pod themselves.  ""Lord Eddard had a brother named Brandon"""
,Jaime L (Jaime), Brandon S (Brandon),170321," ""peas in a pod themselves.  ""Lord Eddard had a brother named Brandon as well;"" Jaime"""
,Myrcella (Myrcella), Brandon S (Bran),171369," ""It has been four days with no change.""  ""Will Bran get better; Uncle?"" little Myrcella"""
,Jon S (Jon), Brandon S (Bran),175899," ""she asked in a voice strangely flat and emotionless.  ""I came to see Bran;"" Jon"""
,Brandon S (Bran), Jon S (Jon),177425," ""He could feel the tears rolling down his cheeks. Jon no longer cared. ""Don't die; Bran"""
,Robb S (Robb), Brandon S (Bran),177484," ""cared. ""Don't die; Bran. Please. We're all waiting for you to wake up. Me and Robb"""
,Brandon S (Bran), Jon S (Jon),177659," ""Jon took that for acceptance. Outside the window; the direwolf howled again. The wolf that Bran"""
,Jon S (Jon), Brandon S (Bran),177710," ""wolf that Bran had not had time to name.  ""I have to go now;"" Jon"""
,Benjen S (Benjen), Brandon S (Bran),177730," ""had not had time to name.  ""I have to go now;"" Jon said. ""Uncle Benjen"""
,Brandon S (Bran), Jon S (Jon),178720," ""none of your absolution; bastard.""  Jon lowered his eyes. She was cradling one of Bran"""
,Jon S (Jon), Brandon S (Bran),179193," ""turned back to Bran and began to weep; her whole body shaking with the sobs. Jon"""
,Brandon S (Bran), Jon S (Jon),180644," ""him fiercely. ""Farewell; Snow.""  Jon hugged him back. ""And you; Stark. Take care of Bran"""
,Benjen S (Benjen), Brandon S (Bran),180724," ""of Bran.""  ""I will."" They broke apart and looked at each other awkwardly. ""Uncle Benjen"""
,Brandon S (Brandon), Aerys T (Aerys),213775," ""vile •À_ unspeakable •À_""  ""Unspeakable?"" the king roared. ""What Aerys did to your brother Brandon"""
,Brandon S (Brandon), Robert B (the king),213775," ""vile •À_ unspeakable •À_""  ""Unspeakable?"" the king roared. ""What Aerys did to your brother Brandon"""
,Rhaegar T (Rhaegar), Brandon S (Brandon),213857," ""your brother Brandon was unspeakable. The way your lord father died; that was unspeakable. And Rhaegar"""
,Brandon S (Bran), Catelyn S (Catelyn),223489," ""change that. He belonged in Winterfell. He belonged with Catelyn in her grief; and with Bran"""
,Eddard S (Eddard), Brandon S (Bran),223561," ""and with Bran.  A man could not always be where he belonged; though. Resigned; Eddard"""
,Brandon S (Bran), Luwin (Maester Luwin),243029," ""the girls were eight days gone when Maester Luwin came to her one night in Bran"""
,Brandon S (Bran), Catelyn S (Catelyn),243238," """"You'll want to know how much this royal visit cost us.""  Catelyn looked at Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),243464," ""need to look at figures; Maester Luwin;"" she told him; never taking her eyes from Bran"""
,Robert B (the king), Brandon S (Bran),243539," """"I know what the visit cost us. Take the books away.""  ""My lady; the king"""
,Brandon S (Bran), Catelyn S (Catelyn),243933," ""establish Lord Eddard's household at King's Landing.""  Catelyn nodded absently. ""Oh; yes. I remember."" Bran"""
,Brandon S (Bran), Eddard S (Eddard),243933," ""establish Lord Eddard's household at King's Landing.""  Catelyn nodded absently. ""Oh; yes. I remember."" Bran"""
,Brandon S (Bran), Catelyn S (Catelyn),245811," """"Mother; what are you doing?""  Catelyn had always thought Robb looked like her; like Bran"""
,Brandon S (Bran), Robb S (Robb),245811," """"Mother; what are you doing?""  Catelyn had always thought Robb looked like her; like Bran"""
,Rickon S (Rickon), Brandon S (Bran),245822," ""are you doing?""  Catelyn had always thought Robb looked like her; like Bran and Rickon"""
,Sansa S (Sansa), Brandon S (Bran),245832," ""doing?""  Catelyn had always thought Robb looked like her; like Bran and Rickon and Sansa"""
,Brandon S (Bran), Luwin (Maester Luwin),247057," ""of greatest danger has passed.""  ""And what if Maester Luwin is wrong? What if Bran"""
,Rickon S (Rickon), Brandon S (Bran),247094," ""if Maester Luwin is wrong? What if Bran needs me and I'm not here?""  ""Rickon"""
,Robb S (Robb), Brandon S (Bran),247111," ""is wrong? What if Bran needs me and I'm not here?""  ""Rickon needs you;"" Robb"""
,Brandon S (Bran), Catelyn S (Catelyn),247749," ""Outside the tower; a wolf began to howl. Catelyn trembled; just for a second.  ""Bran"""
,Robb S (Robb), Brandon S (Bran),247758," ""the tower; a wolf began to howl. Catelyn trembled; just for a second.  ""Bran's."" Robb"""
,Robb S (Robb), Brandon S (Bran),248002," ""she told him. ""Bran needs to stay warm.""  ""He needs to hear them sing;"" Robb"""
,Brandon S (Bran), Luwin (Maester Luwin),249169," """"Close your eyes;"" he said gently. ""Rest. Maester Luwin tells me you've hardly slept since Bran"""
,Robb S (Robb), Brandon S (Bran),249223," ""me you've hardly slept since Bran's fall.""  ""I can't;"" she wept. ""Gods forgive me; Robb"""
,Robb S (Robb), Brandon S (Bran),249883," ""and then; Bran! ""Help me;"" she said urgently; sitting up. ""Help me with Bran.""  Robb"""
,Brandon S (Bran), Catelyn S (Catelyn),251494," ""there was a dagger in his hand.  Catelyn looked at the knife; then at Bran"""
,Catelyn S (Catelyn), Brandon S (Bran),253524," ""the dark room. It was Bran's wolf; she realized. Of course it was. ""Thank you;"" Catelyn"""
,Catelyn S (Catelyn), Brandon S (Bran),253824," ""it turned away silently and jumped up on Bran's bed and lay down beside him. Catelyn"""
,Catelyn S (Catelyn), Brandon S (Bran),256917," ""to kill your boy?""  Greyjoy was doubtful. ""That's madness.""  ""He came for Bran;"" Catelyn"""
,Robb S (Robb), Brandon S (Bran),257170," ""half-mad with grief; it would have worked.""  ""Why would anyone want to kill Bran?"" Robb"""
,Catelyn S (Catelyn), Brandon S (Bran),257238," ""to kill Bran?"" Robb said. ""Gods; he's only a little boy; helpless; sleeping •À_""  Catelyn"""
,Brandon S (Bran), Robb S (Robb),258115," ""and looked back to Robb. ""Do you have the answer yet?""  ""Someone is afraid Bran"""
,Robb S (Robb), Brandon S (Bran),258136," ""Robb. ""Do you have the answer yet?""  ""Someone is afraid Bran might wake up;"" Robb"""
,Brandon S (Bran), Jaime L (Jaime Lannister),260206," ""them. ""It comes to me that Jaime Lannister did not join the hunt the day Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),262603," """"is that wise? Surely the Lannisters would greet your arrival with suspicion.""  ""What about Bran"""
,Robb S (Robb), Brandon S (Bran),262610," ""that wise? Surely the Lannisters would greet your arrival with suspicion.""  ""What about Bran?"" Robb"""
,Luwin (Maester Luwin), Brandon S (Bran),304533," ""did not know how to fly; so all he could do was fall.  Maester Luwin"""
,Rodrik C (Ser Rodrik), Brandon S (Bran),315068," ""dexterous. Yet that was a small enough price to pay for Bran's life.  Ser Rodrik"""
,Petyr B (Petyr), Brandon S (Brandon Stark),317991," ""•À_ more than brotherly. When it was announced that I was to wed Brandon Stark; Petyr"""
,Brandon S (Brandon), Petyr B (Petyr),318052," ""to wed Brandon Stark; Petyr challenged for the right to my hand. It was madness. Brandon"""
,Petyr B (Petyr), Brandon S (Brandon),318070," ""Stark; Petyr challenged for the right to my hand. It was madness. Brandon was twenty; Petyr"""
,Brandon S (Brandon), Petyr B (Petyr),318109," ""my hand. It was madness. Brandon was twenty; Petyr scarcely fifteen. I had to beg Brandon"""
,Petyr B (Petyr), Brandon S (Brandon),318124," ""was madness. Brandon was twenty; Petyr scarcely fifteen. I had to beg Brandon to spare Petyr"""
,Eddard S (Ned), Brandon S (Brandon),318418," ""after Brandon was killed; but I burned the letter unread. By then I knew that Ned"""
,Luwin (Maester Luwin), Brandon S (Bran),331933," ""only the word; and I will send for one for your dear Bran.""  ""Maester Luwin"""
,Brandon S (Bran), Luwin (Maester Luwin),331972," ""for your dear Bran.""  ""Maester Luwin is doing all that can be done for Bran"""
,Petyr B (Littlefinger), Brandon S (Bran),332072," ""him. She would not speak of Bran; not here; not with these men. She trusted Littlefinger"""
,Varys (Varys), Brandon S (Bran),332097," ""of Bran; not here; not with these men. She trusted Littlefinger only a little; and Varys"""
,Brandon S (Bran), Robb S (Robb),342055," ""as he begged for a sweet; Robb; his rival and best friend and constant companion; Bran"""
,Jon S (Jon), Brandon S (Bran),342128," ""and constant companion; Bran; stubborn and curious; always wanting to follow and join in whatever Jon"""
,Robb S (Robb), Brandon S (Bran),342137," ""companion; Bran; stubborn and curious; always wanting to follow and join in whatever Jon and Robb"""
,Jon S (Jon), Brandon S (Bran),359644," ""with a message that concerns his brother."" He corrected himself. ""His half brother.""  ""Bran;"" Jon"""
,Brandon S (Bran), Jon S (Jon),359708," ""himself. ""His half brother.""  ""Bran;"" Jon breathed; scrambling to his feet. ""Something's happened to Bran"""
,Tyrion L (Tyrion), Brandon S (Bran),359718," ""half brother.""  ""Bran;"" Jon breathed; scrambling to his feet. ""Something's happened to Bran.""  Tyrion"""
,Jon S (Jon), Brandon S (Bran),359757," ""his feet. ""Something's happened to Bran.""  Tyrion Lannister laid a hand on his arm. ""Jon"""
,Brandon S (Bran), Jon S (Jon),360177," ""presence of the Lord Commander; his boots were soaked and Jon was wild-eyed and panting. ""Bran"""
,Jeor M (Jeor), Brandon S (Bran),360225," ""Jon was wild-eyed and panting. ""Bran;"" he said. ""What does it say about Bran?""  Jeor"""
,Jon S (Jon), Brandon S (Bran),361745," ""him around in a circle. ""Bran is going to live!"" he whooped. Lannister looked startled. Jon"""
,Renly B (Renly), Brandon S (Brandon),366988," ""of the comment rankled him. ""I understand you knew my brother Brandon as well.""  Renly"""
,Varys (Varys), Brandon S (Brandon),367013," ""rankled him. ""I understand you knew my brother Brandon as well.""  Renly Baratheon laughed. Varys"""
,Petyr B (Littlefinger), Brandon S (Brandon),367071," ""as well.""  Renly Baratheon laughed. Varys shuffled over to listen.  ""Rather too well;"" Littlefinger"""
,Brandon S (Brandon), Petyr B (Littlefinger),367127," "" ""Rather too well;"" Littlefinger said. ""I still carry a token of his esteem. Did Brandon"""
,Eddard S (Ned), Brandon S (Brandon),367179," ""of his esteem. Did Brandon speak of me too?""  ""Often; and with some heat;"" Ned"""
,Brandon S (Brandon), Petyr B (Littlefinger),377579," ""a brothel.""  ""Your wife is inside;"" Littlefinger said.  It was the final insult. ""Brandon"""
,Eddard S (Ned), Brandon S (Brandon),377605," ""inside;"" Littlefinger said.  It was the final insult. ""Brandon was too kind to you;"" Ned"""
,Brandon S (Bran), Eddard S (Ned),379473," ""What are you doing in King's Landing? What's happened?"" Ned asked his wife. ""Is it Bran"""
,Catelyn S (Catelyn), Brandon S (Bran),379594," ""but he could not say it.  ""It is Bran; but not as you think;"" Catelyn"""
,Eddard S (Ned), Brandon S (Bran),379605," ""not say it.  ""It is Bran; but not as you think;"" Catelyn said.  Ned"""
,Eddard S (Ned), Brandon S (Bran),380466," ""hand. ""This blade was sent to open Bran's throat and spill his life's blood.""  Ned"""
,Brandon S (Bran), Eddard S (Eddard Stark),380819," ""she was done; Eddard Stark sat dazed beside the table; the dagger in his hand. Bran"""
,Brandon S (Bran), Tyrion L (Tyrion Lannister),381436," ""felt it bite into the wood. It stood mocking him. ""Why should Tyrion Lannister want Bran"""
,Brandon S (Bran), Jon A (Jon Arryn),385740," ""and quiet. He was thinking of the boy Mycah; of Jon Arryn's sudden death; of Bran"""
,Brandon S (Bran), Jon S (Jon),385740," ""and quiet. He was thinking of the boy Mycah; of Jon Arryn's sudden death; of Bran"""
,Brandon S (Bran), Mycah (Mycah),385740," ""and quiet. He was thinking of the boy Mycah; of Jon Arryn's sudden death; of Bran"""
,Aerys T (Aerys), Brandon S (Bran),385765," ""of the boy Mycah; of Jon Arryn's sudden death; of Bran's fall; of old mad Aerys"""
,Brandon S (Bran), Rickon S (Rickon),409266," """"You could put all this in a letter; you know.""  ""Rickon can't read yet. Bran"""
,Tyrion L (Tyrion), Brandon S (Bran),409351," ""•À_"" He stopped suddenly. ""I don't know what message to send to Bran. Help him; Tyrion"""
,Brandon S (Bran), Jon S (Jon Snow),409592," ""said.  ""I gave you nothing;"" Tyrion said. ""Words.""  ""Then give your words to Bran"""
,Brandon S (Bran), Tyrion L (Tyrion),409592," ""said.  ""I gave you nothing;"" Tyrion said. ""Words.""  ""Then give your words to Bran"""
,Tyrion L (Tyrion), Brandon S (Bran),409666," ""Bran too.""  ""You're asking a lame man to teach a cripple how to dance;"" Tyrion"""
,Brandon S (Bran), Jon S (Lord Snow),409811," ""Still; I know what it is to love a brother; Lord Snow. I will give Bran"""
,Brandon S (Bran), Arya S (Arya),416531," ""her and Sansa. That was when Arya missed her brothers most. She wanted to tease Bran"""
,Brandon S (Bran), Sansa S (Sansa),416531," ""her and Sansa. That was when Arya missed her brothers most. She wanted to tease Bran"""
,Rickon S (Rickon), Brandon S (Bran),416557," ""when Arya missed her brothers most. She wanted to tease Bran and play with baby Rickon"""
,Robb S (Robb), Brandon S (Bran),416571," ""her brothers most. She wanted to tease Bran and play with baby Rickon and have Robb"""
,Jon S (Jon), Brandon S (Bran),416600," ""tease Bran and play with baby Rickon and have Robb smile at her. She wanted Jon"""
,Brandon S (Brandon), Lyanna (Lyanna),424759," ""my father used to call it. Lyanna had a touch of it; and my brother Brandon"""
,Arya S (Arya), Brandon S (Brandon),424824," ""my brother Brandon more than a touch. It brought them both to an early grave."" Arya"""
,Brandon S (Bran), Rickon S (Rickon),456015," ""  BRAN   In the yard below; Rickon ran with the wolves.  Bran"""
,Nan (Old Nan), Brandon S (Bran),457228," """"I don't want any more stories;"" Bran snapped; his voice petulant. He had liked Old Nan"""
,Brandon S (Brandon), Nan (Nan),458039," ""the Seven Kingdoms. Nan had come to the castle as a wet nurse for a Brandon"""
,Rickard K (Lord Rickard), Brandon S (Brandon Stark),458126," ""Stark whose mother had died birthing him. He had been an older brother of Lord Rickard"""
,Brandon S (Bran), Rickard K (Lord Rickard),458132," ""whose mother had died birthing him. He had been an older brother of Lord Rickard; Bran"""
,Rickard K (Lord Rickard), Brandon S (Bran),458206," ""of Lord Rickard; Bran's grandfather; or perhaps a younger brother; or a brother to Lord Rickard"""
,Jory C (Jory), Brandon S (Bran),460138," ""while he had slept •À_ or perhaps Bran had died; and they had forgotten him. Jory"""
,Rodrik C (Ser Rodrik), Brandon S (Bran),460153," ""slept •À_ or perhaps Bran had died; and they had forgotten him. Jory and Ser Rodrik"""
,Vayon P (Vayon), Brandon S (Bran),460163," ""or perhaps Bran had died; and they had forgotten him. Jory and Ser Rodrik and Vayon"""
,Luwin (Maester Luwin), Brandon S (Bran),460598," ""steel as Bran watched forlornly from his window. At night he closeted himself with Maester Luwin"""
,Brandon S (Bran), Rickon S (Rickon),460811," ""distant holdfasts. Whenever he was away more than a day; Rickon would cry and ask Bran"""
,Robb S (Robb), Brandon S (Bran),460819," ""Whenever he was away more than a day; Rickon would cry and ask Bran if Robb"""
,Brandon S (Brandon), Theon G (Theon Greyjoy),461031," ""than he ever did for his brothers.  ""I could tell you the story about Brandon"""
delete,Nan (Old Nan), Brandon S (Brandon),461053," ""for his brothers.  ""I could tell you the story about Brandon the Builder;"" Old Nan"""
,Brandon S (Brandon), Nan (Old Nan),461139," ""Old Nan said. ""That was always your favorite.""  Thousands and thousands of years ago; Brandon"""
,Brandon S (Brandon), Nan (Nan),461367," ""had liked that story. Sometimes Nan would talk to him as if he were her Brandon"""
,Aerys T (Mad), Brandon S (Brandon),461494," ""ago; and sometimes she confused him with his uncle Brandon; who was killed by the Mad"""
