,Brandon S Encounters:,,,
,Brandon S (Bran), Robert B (the king),21200," ""the king's justice done. It was the ninth year of summer; and the seventh of Bran"""
,Robb S (Robb), Brandon S (Bran),21276," ""Bran's life.  The man had been taken outside a small holdfast in the hills. Robb"""
,Brandon S (Bran), Mance R (Rayder),21375," ""thought he was a wildling; his sword sworn to Mance Rayder; the King-beyond-the-Wall. It made Bran"""
,Nan (Old Nan), Brandon S (Bran),21445," ""It made Bran's skin prickle to think of it. He remembered the hearth tales Old Nan"""
,Brandon S (Bran), Jon S (Jon),22257," ""and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"""
,Brandon S (Bran), Robb S (Robb),22257," ""and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"""
,Jon S (Jon), Brandon S (Bran),24118," ""you to die."" He lifted the greatsword high above his head.  Bran's bastard brother Jon"""
,Brandon S (Bran), Jon S (Jon),24883," """"Ass;"" Jon muttered; low enough so Greyjoy did not hear. He put a hand on Bran"""
,Jon S (Jon), Brandon S (Bran),24960," ""hand on Bran's shoulder; and Bran looked over at his bastard brother. ""You did well;"" Jon"""
,Brandon S (Bran), Jon S (Jon),26840," ""but Jon says he was afraid.""  ""What do you think?"" his father asked.  Bran"""
,Robert B (Robert), Brandon S (Bran),27499," ""die; but why I must do it.""  Bran had no answer for that. ""King Robert"""
,Robb S (Robb), Brandon S (Bran),28008," ""perhaps the man does not deserve to die.  ""One day; Bran; you will be Robb"""
,Robb S (Robb), Brandon S (Bran),28420," ""before them. He waved and shouted down at them. ""Father; Bran; come quickly; see what Robb"""
,Jory C (Jory), Brandon S (Bran),28462," """"Father; Bran; come quickly; see what Robb has found!"" Then he was gone again.  Jory"""
,Brandon S (Bran), Jory C (Jory),28651," ""my sons have rooted out now."" He sent his horse into a trot. Jory and Bran"""
,Robb S (Robb), Brandon S (Bran),28693," ""horse into a trot. Jory and Bran and the rest came after.  They found Robb"""
,Brandon S (Bran), Jory C (Jory),29550," ""the bundle in his arms. ""She can't hurt you;"" he said. ""She's dead; Jory.""  Bran"""
,Jon S (Jon), Brandon S (Bran),29735," ""beside the bridge and approach on foot. Bran jumped off and ran.  By then Jon"""
,Jory C (Jory), Brandon S (Bran),29741," ""the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory"""
,Theon G (Theon), Brandon S (Bran),29752," ""and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon"""
,Brandon S (Bran), Robb S (Robb),29925," ""Robb told him.  ""A freak;"" Greyjoy said. ""Look at the size of it.""  Bran"""
,Brandon S (Bran), Jon S (Jon),30652," ""of the Wall in two hundred years.""  ""I see one now;"" Jon replied.  Bran"""
,Robb S (Robb), Brandon S (Bran),31026," ""among his leathers; making a sad little whimpery sound. Bran reached out hesitantly. ""Go on;"" Robb"""
,Brandon S (Bran), Robb S (Robb),31063," ""sound. Bran reached out hesitantly. ""Go on;"" Robb told him. ""You can touch him.""  Bran"""
,Jon S (Jon), Brandon S (Bran),31119," ""can touch him.""  Bran gave the pup a quick nervous stroke; then turned as Jon"""
,Brandon S (Bran), Hullen (Hullen),32521," ""in. ""Worse luck.""  ""No matter;"" said Hullen. ""They be dead soon enough too.""  Bran"""
,Theon G (Theon), Brandon S (Bran),32584," ""enough too.""  Bran gave a wordless cry of dismay.  ""The sooner the better;"" Theon"""
,Brandon S (Bran), Theon G (Theon Greyjoy),32646," """"The sooner the better;"" Theon Greyjoy agreed. He drew his sword. ""Give the beast here; Bran"""
,Robb S (Robb), Brandon S (Bran),32801," ""and understood. ""No!"" Bran cried out fiercely. ""It's mine.""  ""Put away your sword; Greyjoy;"" Robb"""
,Brandon S (Bran), Harwin (Harwin),33037," ""who was Hullen's son.  ""It be a mercy to kill them;"" Hullen said.  Bran"""
,Brandon S (Bran), Hullen (Hullen),33037," ""who was Hullen's son.  ""It be a mercy to kill them;"" Hullen said.  Bran"""
,Brandon S (Bran), Jon S (Jon),33611," """"Lord Stark;"" Jon said. It was strange to hear him call Father that; so formal. Bran"""
,Jon S (Jon), Brandon S (Bran),33986," "" Bran saw his father's face change; saw the other men exchange glances. He loved Jon"""
,Brandon S (Bran), Jon S (Jon),34041," ""exchange glances. He loved Jon with all his heart at that moment. Even at seven; Bran"""
,Jon S (Jon), Brandon S (Bran),34121," ""seven; Bran understood what his brother had done. The count had come right only because Jon"""
,Robb S (Robb), Brandon S (Bran),35542," ""a rat. Are you sure you want this?""  ""Yes; Father;"" Bran said.  ""Yes;"" Robb"""
,Jon S (Jon), Brandon S (Bran),36033," ""long ride home. Bran was wondering what to name him.  Halfway across the bridge; Jon"""
,Brandon S (Bran), Jon S (Jon),36126," "" ""What is it; Jon?"" their lord father asked.  ""Can't you hear it?""  Bran"""
,Catelyn S (Catelyn), Brandon S (Bran),41763," ""sake. You would have been proud of Bran.""  ""I am always proud of Bran;"" Catelyn"""
,Brandon S (Bran), Tommen (Tommen),47735," ""five by now?""  ""Prince Tommen is seven;"" she told him. ""The same age as Bran"""
,Eddard S (Ned), Brandon S (Bran),47748," ""now?""  ""Prince Tommen is seven;"" she told him. ""The same age as Bran. Please; Ned"""
