char 1, char2, index, text
Aemon T (Aemon), Jon S (Jon Snow), 677, "Wall, tending the bloody ravens and making fires for old Maester Aemon. It was the bastard Jon Snow"
Jon S (Jon Snow), Samwell T (Sam), 733, "It was the bastard Jon Snow who had taken that from him, him and his fat friend Sam"
Lark (Lark), Paul (Paul), 1563, "�Bugger this bear, he�s not worth freezing over.�  �We can�t go back emptyhand, Lark,� rumbled Small Paul"
Jeor M (Old Bear), Lark (Sisterman), 1867, "glove clenched tight around the shaft of a spear.  �Bugger that Old Bear too,� said the Sisterman"
Paul (Paul), Chett (Chett), 2065, "Who cares what he likes?�  Small Paul blinked his black little eyes. Maybe he had forgotten, Chett"
Paul (Paul), Lark (Lark), 2395, " �No,� said Small Paul. �I don�t want that. I don�t.�  �So you�ll kill him?� said Lark"
Lark (Sisterman), Chett (Chett), 2571, "will. He shouldn�t hunt us.�  The Sisterman took his hands from his armpits and turned to Chett"
Chett (Chett), Jeor M (Old Bear), 2679, "the officers, I say.�  Chett was sick of hearing it. �We been over this. The Old Bear"
Dywen (Dywen), Bannen (Bannen), 2800, "the Shadow Tower. Grubbs and Aethan as well, their ill luck for drawing the watch, Dywen and Bannen"
Bannen (Bannen), Samwell T (Piggy), 2834, "as well, their ill luck for drawing the watch, Dywen and Bannen for their tracking, and Ser Piggy"
Dywen (Dywen), Samwell T (Piggy), 2834, "as well, their ill luck for drawing the watch, Dywen and Bannen for their tracking, and Ser Piggy"
Mance R (Mance Rayder), Thoren S (Thoren Smallwood), 4469, "of the Frostfangs. And now Mance Rayder and his wildlings were flowing down the same way. Thoren Smallwood"
Thoren S (Thoren Smallwood), Jeor M (Old Bear), 4545, "way. Thoren Smallwood had returned in a lather three days past. While he was telling the Old Bear"
Thoren S (Thoren Smallwood), Donnel H (Sweet Donnel), 6398, "they stayed here, they would be engulfed and overwhelmed.  And Thoren Smallwood wanted to attack. Sweet Donnel"
Donnel H (Donnel Hill), Mallador L (Mallador Locke), 6436, "and overwhelmed.  And Thoren Smallwood wanted to attack. Sweet Donnel Hill was squire to Ser Mallador Locke"
Thoren S (Thoren Smallwood), Mallador L (Mallador Locke), 6436, "and overwhelmed.  And Thoren Smallwood wanted to attack. Sweet Donnel Hill was squire to Ser Mallador Locke"
Mallador L (Mallador), Ottyn W (Ottyn Wythers), 6563, "had come to Locke�s tent. Ser Mallador had been of the same mind as old Ser Ottyn Wythers"
Ottyn W (Ottyn Wythers), Mance R (King-beyond-the-Wall), 6669, "Ser Ottyn Wythers, urging a retreat on the Wall, but Smallwood wanted to convince him otherwise. �This King-beyond-the-Wall"
Mance R (King-beyond-the-Wall), Donnel H (Sweet Donnel), 6720, "Smallwood wanted to convince him otherwise. �This King-beyond-the-Wall will never look for us so far north,� Sweet Donnel"
Chett (Chett), Mallador L (Mallador), 7092, "hundred against thirty thousand. Chett called that rank madness, and what was madder still was that Ser Mallador"
Ottyn W (Wythers), Jeor M (Lord Mormont), 7665, "his foe, not cringing behind a shield.�  Neither Smallwood nor Wythers had the command, though. Lord Mormont"
Qhorin H (Qhorin Halfhand), Jon S (Jon Snow), 7818, "for Jarman Buckwell and the men who�d climbed the Giant�s Stair, and for Qhorin Halfhand and Jon Snow"
Jon S (Jon Snow), Qhorin H (Halfhand), 7884, "and for Qhorin Halfhand and Jon Snow, who�d gone to probe the Skirling Pass. Buckwell and the Halfhand"
Qhorin H (Halfhand), Chett (Chett), 7939, "to probe the Skirling Pass. Buckwell and the Halfhand were late in returning, though. Dead, most like. Chett"
Chett (Chett), Jon S (Jon Snow), 7957, "Skirling Pass. Buckwell and the Halfhand were late in returning, though. Dead, most like. Chett pictured Jon Snow"
Qhorin H (Halfhand), Jon S (Jon Snow), 7957, "Skirling Pass. Buckwell and the Halfhand were late in returning, though. Dead, most like. Chett pictured Jon Snow"
Donnel H (Donnel Hill), Karl (Clubfoot), 8553, "off into the dark, he�d turn them loose among the horse lines, after Sweet Donnel Hill and Clubfoot"
Chett (Chett), Paul (Paul), 9174, "not so many that they couldn�t keep the secret. Chett had recruited most of them himself. Small Paul"
Chett (Chett), Aemon T (Aemon), 9635, "them.  The plan was Chett�s. He was the clever one; he�d been steward to old Maester Aemon"
Aemon T (Aemon), Jon S (Jon Snow), 9684, "clever one; he�d been steward to old Maester Aemon for four good years before that bastard Jon Snow"
Samwell T (Sam), Jon S (Lord Snow), 9840, "a friend. When he killed Sam Tarly tonight, he planned to whisper, �Give my love to Lord Snow"
Jon S (Lord Snow), Samwell T (Piggy), 9886, "planned to whisper, �Give my love to Lord Snow,� right in his ear before he sliced Ser Piggy"
Paul (Paul), Jeor M (Old Bear), 10351, "the birds away, so no messages reached the Wall. Softfoot and Small Paul would kill the Old Bear"
Jeor M (Old Bear), Dirk (Dirk), 10357, "birds away, so no messages reached the Wall. Softfoot and Small Paul would kill the Old Bear, Dirk"
Paul (Paul), Dirk (Dirk), 10357, "birds away, so no messages reached the Wall. Softfoot and Small Paul would kill the Old Bear, Dirk"
Dirk (Dirk), Lark (Lark), 10382, "reached the Wall. Softfoot and Small Paul would kill the Old Bear, Dirk would do Blane, and Lark"
Jeor M (Old Bear), Lark (Lark), 10382, "reached the Wall. Softfoot and Small Paul would kill the Old Bear, Dirk would do Blane, and Lark"
Paul (Paul), Lark (Lark), 10382, "reached the Wall. Softfoot and Small Paul would kill the Old Bear, Dirk would do Blane, and Lark"
Dirk (Dirk), Bannen (Bannen), 10419, "Paul would kill the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen"
Jeor M (Old Bear), Bannen (Bannen), 10419, "Paul would kill the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen"
Lark (Lark), Bannen (Bannen), 10419, "Paul would kill the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen"
Bannen (Bannen), Dywen (Dywen), 10433, "the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen and old Dywen"
Dirk (Dirk), Dywen (Dywen), 10433, "the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen and old Dywen"
Jeor M (Old Bear), Dywen (Dywen), 10433, "the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen and old Dywen"
Lark (Lark), Dywen (Dywen), 10433, "the Old Bear, Dirk would do Blane, and Lark and his cousins would silence Bannen and old Dywen"
Donnel H (Sweet Donnel), Karl (Clubfoot), 10552, "them from sniffing after their trail. They�d been caching food for a fortnight, and Sweet Donnel and Clubfoot"
Karl (Karl), Ottyn W (Ottyn Wythers), 10645, "and Clubfoot Karl would have the horses ready. With Mormont dead, command would pass to Ser Ottyn Wythers"
Lark (Lark), Chett (Chett), 12473, "at twelve-for-a-penny.  Lark could go home if he liked, and the damn Tyroshi too, but not Chett"
Craster (Craster), Chett (Chett), 13120, "Half them wives were as old and ugly as Craster, but that didn�t matter. The old ones Chett"
Craster (Craster), Paul (Paul), 13307, "while the young ones warmed his bed and bore his children. Craster wouldn�t object, not once Small Paul"
Craster (Craster), Chett (Chett), 13345, "his children. Craster wouldn�t object, not once Small Paul gave him a hug.  The only women Chett"
Paul (Paul), Chett (Chett), 13345, "his children. Craster wouldn�t object, not once Small Paul gave him a hug.  The only women Chett"
Walder R (Walder Rivers), Chett (Chett), 14189, "to do the judging. He�d sent one of his bastards, that Walder Rivers, and the next thing Chett"
Ottyn W (Wythers), Thoren S (Thoren Smallwood), 14872, "Wall. He won�t bother with us, not Wythers, all he�ll want is to get back whole. Thoren Smallwood"
Thoren S (Thoren Smallwood), Ottyn W (Ottyn), 14930, "to get back whole. Thoren Smallwood now, he�d want to press on with the attack, but Ser Ottyn"
Ottyn W (Ottyn), Mallador L (Mallador Locke), 15304, "for a moment it tempted him. But they would need to kill Ser Ottyn and Ser Mallador Locke"
Chett (Chett), Paul (Paul), 15449, "them were well-attended day and night � no, the risk was too great.  �Chett,� said Small Paul"
Jeor M (Old Bear), Paul (Paul), 15680, "he needed now was some mutton-head going on about a bird.  �The Old Bear�s raven,� Small Paul"
Lark (Sisterman), Paul (Paul), 15942, "that�s a talking bird. What if it tells what we did?�  Lark the Sisterman laughed. �Small Paul"
Paul (Paul), Chett (Chett), 16054, "castle wall,� he mocked.  �You shut up with that,� said Small Paul dangerously.  �Paul,� said Chett"
Lark (Lark), Paul (Paul), 16450, "shut him up.  �We can always eat him if we get hungry,� offered Lark.  Small Paul"
Paul (Paul), Lark (Lark), 16504, "get hungry,� offered Lark.  Small Paul clouded up again. �Best not try and eat my bird, Lark"
Lark (Lark), Chett (Chett), 16523, " Small Paul clouded up again. �Best not try and eat my bird, Lark. Best not.�  Chett"
Paul (Paul), Chett (Chett), 16523, " Small Paul clouded up again. �Best not try and eat my bird, Lark. Best not.�  Chett"
Lark (Lark), Samwell T (Piggy), 16973, "them. �Look,� said Lark. �A pig with a bow.�  Sure enough, the nearest bowman was Ser Piggy"
Samwell T (Piggy), Aemon T (Aemon), 17038, "the nearest bowman was Ser Piggy himself, the fat boy who had stolen his place with Maester Aemon"
Aemon T (Aemon), Samwell T (Samwell Tarly), 17071, "himself, the fat boy who had stolen his place with Maester Aemon. Just the sight of Samwell Tarly"
Samwell T (Samwell Tarly), Aemon T (Aemon), 17123, "place with Maester Aemon. Just the sight of Samwell Tarly filled him with anger. Stewarding for Maester Aemon"
Clydas (Clydas), Chett (Chett), 17263, "The old blind man was undemanding, and Clydas had taken care of most of his wants anyway. Chett"
Grenn (Grenn), Jon S (Lord Snow), 18517, "snowing, what did they expect?�  �The wind took that one,� said Grenn, another friend of Lord Snow"
Grenn (Grenn), Samwell T (Sam), 18553, "wind took that one,� said Grenn, another friend of Lord Snow�s. �Try to hold the bow steady, Sam"
Jon S (Lord Snow), Samwell T (Sam), 18553, "wind took that one,� said Grenn, another friend of Lord Snow�s. �Try to hold the bow steady, Sam"
Samwell T (Piggy), Chett (Chett), 19035, "my tongue is freezing to the roof of my mouth.�  Ser Piggy lowered the bow, and Chett"
Chett (Chett), Notch (Notch), 19099, "Piggy lowered the bow, and Chett thought he was going to start bawling. �It�s too hard.�  �Notch"
Notch (Notch), Grenn (Grenn), 19129, "Chett thought he was going to start bawling. �It�s too hard.�  �Notch, draw, and loose,� said Grenn"
Samwell T (Piggy), Grenn (Grenn), 19470, "the charcoal outline low in the chest and hung quivering. �I hit him.� Ser Piggy sounded shocked. �Grenn"
Grenn (Grenn), Edd T (Edd), 19488, "in the chest and hung quivering. �I hit him.� Ser Piggy sounded shocked. �Grenn, did you see? Edd"
Samwell T (Piggy), Edd T (Edd), 19488, "in the chest and hung quivering. �I hit him.� Ser Piggy sounded shocked. �Grenn, did you see? Edd"
Edd T (Edd), Grenn (Grenn), 19555, "did you see? Edd, look, I hit him!�  �Put it between his ribs, I�d say,� said Grenn"
Grenn (Grenn), Edd T (Tollett), 19612, "ribs, I�d say,� said Grenn.  �Did I kill him?� the fat boy wanted to know.  Tollett"
Chett (Chett), Mance R (Mance Rayder), 20023, "died squeaking.  �You hit a tree,� Chett said. �Let�s see how you shoot when it�s Mance Rayder"
Grenn (Grenn), Samwell T (Samwell Tarly), 20740, "on the ground and your dogs ate them?�  The big lout Grenn laughed, and even Samwell Tarly"
Grenn (Grenn), Chett (Chett), 20775, "ate them?�  The big lout Grenn laughed, and even Samwell Tarly managed a weak little smile. Chett"
Samwell T (Samwell Tarly), Chett (Chett), 20775, "ate them?�  The big lout Grenn laughed, and even Samwell Tarly managed a weak little smile. Chett"
Samwell T (Piggy), Edd T (Tollett), 20953, "you want, Ser Piggy. We�ll see who laughs tonight. He only wished he had time to kill Tollett"
Chett (Chett), Jeor M (Old Bear), 21840, "We could cook the bloody dogs, Chett thought, but he kept his mouth shut until the Old Bear"
Lark (Lark), Jeor M (Old Bear), 23032, "and returned to the dogs, he found Lark waiting for him. �The officers are in the Old Bear"
Jeor M (Old Bear), Chett (Chett), 23108, "officers are in the Old Bear�s tent again, talking something fierce.�  �That�s what they do,� said Chett"
Chett (Chett), Lark (Lark), 23191, "do,� said Chett. �They�re highborn, all but Blane, they get drunk on words instead of wine.�  Lark"
Chett (Chett), Lark (Lark), 23429, "cached any seed for the damn thing.�  �It�s a raven,� said Chett. �It eats corpses.�  Lark"
Lark (Lark), Chett (Chett), 23485, "said Chett. �It eats corpses.�  Lark grinned. �His, might be?�  Or yours. It seemed to Chett"
Chett (Chett), Lark (Lark), 23541, " Or yours. It seemed to Chett that they needed the big man more than they needed Lark"
Lark (Lark), Paul (Paul), 23574, "to Chett that they needed the big man more than they needed Lark. �Stop fretting about Small Paul"
Dywen (Dywen), Chett (Chett), 24113, "own feast.� By then he could smell supper.  Dywen was holding forth at the cookfire as Chett"
Chett (Chett), Donnel H (Sweet Donnel), 25080, "he was at that. Chett had no use for pretty boys, nor for bastards neither, but Sweet Donnel"
Chett (Chett), Jeor M (Old Bear), 25862, "at the central fire!�  Frowning, Chett finished his soup and followed the rest.  The Old Bear"
Jeor M (Old Bear), Ottyn W (Wythers), 25915, "his soup and followed the rest.  The Old Bear stood before the fire with Smallwood, Locke, Wythers"
Chett (Chett), Qhorin H (Qhorin Halfhand), 27296, "pray.�  They know, thought Chett. You bloody old pus bag, they know, certain as sunrise. Qhorin Halfhand"
Lark (Lark), Donnel H (Sweet Donnel), 29569, "breath, and firelight glinted off the steel. He was pleased to see Lark and Softfoot and Sweet Donnel"
Jeor M (Old Bear), Chett (Chett), 29970, "sudden quiet the Old Bear�s raven cawed loudly and once again said, �Die.�  Clever bird, thought Chett"
Dywen (Dywen), Bannen (Bannen), 31543, "in the snow, or the game trail they meant to follow east? They won�t need Dywen nor Bannen"
Chett (Chett), Qhorin H (Qhorin), 33601, "Fist, to give warning of any approach. Jarman Buckwell�s back from the Giant�s Stair, Chett figured, or Qhorin"
Qhorin H (Halfhand), Jon S (Jon Snow), 33721, "Skirling Pass. A single blast of the horn meant brothers returning. If it was the Halfhand, Jon Snow"
Jon S (Jon Snow), Samwell T (Sam), 33752, "horn meant brothers returning. If it was the Halfhand, Jon Snow might be with him, alive.  Sam"
Qhorin H (Halfhand), Samwell T (Sam), 33752, "horn meant brothers returning. If it was the Halfhand, Jon Snow might be with him, alive.  Sam"
Harma (Harma), Mance R (Mance Rayder), 34778, "moon face made him want to laugh. �Bugger them all to seven hells. Bloody Harma. Bloody Mance Rayder"
Jaime L (Jaime), Cersei L (Cersei), 36251, "Not that Jaime had ever seen her smiling. He amused himself by picturing her in one of Cersei"
Brienne (Brienne), Jaime L (Jaime), 38511, "to King�s Landing, wench?�  �You will call me Brienne. Not wench.�  �My name is Ser Jaime"
Cleos F (Cleos), Genna (Genna), 38879, "�Cousin, remember your courtesies.�  The Lannister blood runs thin in this one. Cleos was his Aunt Genna"
Cleos F (Cleos), Emmon F (Emmon Frey), 38912, "Lannister blood runs thin in this one. Cleos was his Aunt Genna�s son by that dullard Emmon Frey"
Genna (Genna), Emmon F (Emmon Frey), 38912, "Lannister blood runs thin in this one. Cleos was his Aunt Genna�s son by that dullard Emmon Frey"
Emmon F (Emmon Frey), Tywin L (Tywin Lannister), 38961, "his Aunt Genna�s son by that dullard Emmon Frey, who had lived in terror of Lord Tywin Lannister"
Tywin L (Tywin Lannister), Walder F (Lord Walder), 39011, "had lived in terror of Lord Tywin Lannister since the day he wed his sister. When Lord Walder"
Walder F (Walder Frey), Emmon F (Emmon), 39086, "When Lord Walder Frey had brought the Twins into the war on the side of Riverrun, Ser Emmon"
Jaime L (Jaime), Cleos F (Cleos), 39210, "his wife�s allegiance over his father�s. Casterly Rock got the worst of that bargain, Jaime reflected. Ser Cleos"
Catelyn S (Lady Stark), Tyrion L (Tyrion), 39375, "of an especially brave ewe. Lady Stark had promised him release if he delivered her message to Tyrion"
Catelyn S (Lady Stark), Cleos F (Cleos), 39390, "brave ewe. Lady Stark had promised him release if he delivered her message to Tyrion, and Ser Cleos"
Tyrion L (Tyrion), Cleos F (Cleos), 39390, "brave ewe. Lady Stark had promised him release if he delivered her message to Tyrion, and Ser Cleos"
Jaime L (Jaime), Catelyn S (Catelyn), 39513, "all done a deal of vowing back in that cell, Jaime most of all. That was Lady Catelyn"
Selwyn (Lord of Evenfall), Jaime L (Jaime), 41247, "Tarth, by the grace of the gods Lord of Evenfall.� Even that was given grudgingly.  �Tarth,� Jaime"
Robb S (Robb), Catelyn S (Catelyn), 41412, "sworn to Storm�s End. How is it that you serve Robb of Winterfell?�  �It is Lady Catelyn"
Catelyn S (Catelyn), Tyrion L (Tyrion), 41485, "�It is Lady Catelyn I serve. And she commanded me to deliver you safe to your brother Tyrion"
Cleos F (Cleos), Jaime L (Jaime), 41653, "bellyful of silence, woman.�  �Talk with Ser Cleos then. I have no words for monsters.�  Jaime"
Jaime L (Jaime), Cersei L (Cersei), 42002, "Innocent? The wretched boy was spying on us. All Jaime had wanted was an hour alone with Cersei"
Robert B (Robert), Tyrion L (Tyrion), 42199, "touch her, knowing that Robert stumbled drunkenly into her bed every night in that great creaking wheelhouse. Tyrion"
Cersei L (Cersei), Brienne (Brienne), 42361, "been enough. �You will be courteous as concerns Cersei, wench,� he warned her.  �My name is Brienne"
Brienne (Brienne), Jaime L (Jaime), 42532, "name is Brienne,� she repeated, dogged as a hound.  �Lady Brienne?� She looked so uncomfortable that Jaime"
Jaime L (Jaime), Brienne (Brienne), 42573, "a hound.  �Lady Brienne?� She looked so uncomfortable that Jaime sensed a weakness. �Or would Ser Brienne"
Jaime L (Jaime), Cleos F (Cleos), 42852, "her into battle.�  �Cousin Jaime, please, you ought not speak so roughly.� Under his cloak, Ser Cleos"
Jaime L (Jaime), Cleos F (Cleos), 43465, "mean to make me gag you.�  �She�s rude as well, isn�t she, coz?� Jaime asked Ser Cleos"
Cleos F (Cleos), Brienne (Brienne), 43674, "behind my back they speak freely enough, I have no doubt.  Ser Cleos coughed nervously. �Lady Brienne"
Brienne (Brienne), Catelyn S (Catelyn Stark), 43708, "enough, I have no doubt.  Ser Cleos coughed nervously. �Lady Brienne had those lies from Catelyn Stark"
Cleos F (Cleos), Catelyn S (Catelyn Stark), 43708, "enough, I have no doubt.  Ser Cleos coughed nervously. �Lady Brienne had those lies from Catelyn Stark"
Jaime L (Jaime), Bran (Brandon Stark), 44351, "the meaning of honor.�  Lickspittle. If truth be told, Jaime had come to rue heaving Brandon Stark"
Bran (Brandon Stark), Cersei L (Cersei), 44375, " Lickspittle. If truth be told, Jaime had come to rue heaving Brandon Stark out that window. Cersei"
Jaime L (Jaime), Cersei L (Cersei), 44375, " Lickspittle. If truth be told, Jaime had come to rue heaving Brandon Stark out that window. Cersei"
Eddard S (Ned), Robert B (Robert), 44884, "and should worse come to worst I�ll kill Ned Stark.�  �And then what do you imagine Robert"
Cersei L (Cersei), Jaime L (Jaime), 45022, "war with him if I must. The War for Cersei�s Cunt, the singers will call it.�  �Jaime"
Cersei L (Cersei), Catelyn S (Catelyn), 45443, "the Stark boy had been forgotten.  Had Cersei remembered him afterward and hired this man Lady Catelyn"
Brienne (Brienne), Jaime L (Jaime), 46469, "Lannister forces on the river, but it was the only sail they had. Brienne took the rudder. Jaime"
Jaime L (Jaime), Cleos F (Cleos), 46842, "King�s Landing. I will return with the girls or not at all.�  Jaime turned to Ser Cleos"
