Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,55,6,Catelyn II,Catelyn Tully,Ser Edmure Tully,Ser,Edmure,Tully,,,,M,A
A Game of Thrones,56,6,Catelyn II,Catelyn Tully,Brandon Stark; Brother of Eddard,,Brandon,Stark,,Brother of Eddard,,M,D
A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Ser Arthur Dayne; Sword of the Morning,Ser,Arthur,Dayne,,Sword of the Morning,,M,D
A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Lady Ashara Dayne,Lady,Ashara,Dayne,,,,F,D
A Game of Thrones,64,7,Arya I,Arya Stark,Septa Mordane,Septa,Mordane,,,,,F,D
A Game of Thrones,64,7,Arya I,Arya Stark,Beth Cassel,,Beth,Cassel,,,,F,A
A Game of Thrones,69,7,Arya I,Arya Stark,Lew,,Lew,,,,,M,U
A Game of Thrones,69,7,Arya I,Arya Stark,Donnis,,Donnis,,,,,M,U
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Serwyn; Of the Mirror Shield,Ser,Serwyn,,,Of the Mirror Shield,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Ryam Redwyne,Ser,Ryam,Redwyne,,,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Prince Aemon Targaryen; The Dragonknight,Prince,Aemon,Targaryen,,The Dragonknight,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Erryk Cargyll,Ser,Erryk,Cargyll,,,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Arryk Cargyll,Ser,Arryk,Cargyll,,,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Gerold Hightower; The White Bull,Ser,Gerold,Hightower,,The White Bull,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Barristan Selmy,Ser,Barristan,Selmy,,,,M,A
A Game of Thrones,73,8,Bran II,Bran Stark,Ser Boros Blount,Ser,Boros,Blount,,,,M,A
A Game of Thrones,73,8,Bran II,Bran Stark,Gage,,Gage,,,,,M,U
A Game of Thrones,73,8,Bran II,Bran Stark,Mikken,,Mikken,,,,,M,D
A Game of Thrones,73,8,Bran II,Bran Stark,Walder; Hodor,,Walder,,,Hodor,,M,A
A Game of Thrones,78,8,Bran II,Bran Stark,Stannis Baratheon,,Stannis,Baratheon,,,,M,U
A Game of Thrones,78,8,Bran II,Bran Stark,Renly Baratheon,,Renly,Baratheon,,,,M,D
A Game of Thrones,78,8,Bran II,Bran Stark,Lord Petyr Baelish; Littlefinger,Lord,Petyr,Baelish,,Littlefinger,,M,A
A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Grand Maester Aethelmure,Grand Maester,Aethelmure,,,,,M,D
A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Septon Chayle,Septon,Chayle,,,,,M,D
A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Ayrmidon,,Ayrmidon,,,,,M,D
A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Irri,,Irri,,,,,F,A
A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Jhiqui,,Jhiqui,,,,,F,A
A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Doreah,,Doreah,,,,,F,D
A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,Haggo,,Haggo,,,,,M,D
A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,Ko Cohollo,Ko,Cohollo,,,,,M,D
A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,Qotho,,Qotho,,,,,M,D
A Game of Thrones,104,12,Eddard II,Eddard Stark,Alyn; Guard at Winterfell,,Alyn,,,Guard at Winterfell,,M,D
A Game of Thrones,105,12,Eddard II,Eddard Stark,Wylla,,Wylla,,,,,F,U
A Game of Thrones,106,12,Eddard II,Eddard Stark,King Baelor I Targaryen; The Blessed,King,Baelor,Targaryen,,The Blessed,I,M,D
A Game of Thrones,106,12,Eddard II,Eddard Stark,Varys; The Spider,,Varys,,,The Spider,,M,A
A Game of Thrones,114,13,Tyrion II,Tyrion Lannister,Yoren,,Yoren,,,,,M,D
A Game of Thrones,117,13,Tyrion II,Tyrion Lannister,King Loren; Of the Rock,King,Loren,,,Of the Rock,,M,D
