Barristan-Selmy,Barristan Selmy,A Game of Thrones,Ser Barristan Selmy,,,
Barth-Stark,Barth Stark,A Clash of Kings,Lord Barth Stark,,,
Bedwyck,Bedwyck,A Clash of Kings,"Bedwyck, Giant",,Giant,
Belwas,Belwas,A Clash of Kings,"Belwas, Strong Belwas",,Strong Belwas,
Ben,Ben,A Clash of Kings,"Ben, Blackthumb",,Blackthumb,
Benfred-Tallhart,Benfred Tallhart,A Clash of Kings,Benfred Tallhart,,,
Benjen-Stark,Benjen Stark,A Clash of Kings,"King Benjen Stark, The Sweet",,The Sweet,
Benjen-Stark,Benjen Stark,A Clash of Kings,"King Benjen Stark, The Bitter",,The Bitter,
Benjen-Stark,Benjen Stark,A Game of Thrones,Benjen Stark,,,
Beren-Tallhart,Beren Tallhart,A Clash of Kings,Beren Tallhart,,,
Beric-Dondarrion,Beric Dondarrion,A Game of Thrones,Lord Beric Dondarrion; The Lightning Lord,,The Lightning Lord,
Bernarr,Bernarr,A Clash of Kings,"Bernarr, Brown Bernarr",,Brown Bernarr,
Beron-Stark,Beron Stark,A Clash of Kings,Lord Beron Stark,,,
Beth-Cassel,Beth Cassel,A Game of Thrones,Beth Cassel,,,
Biter,Biter,A Clash of Kings,Biter,,,
Bluetooth,Bluetooth,A Clash of Kings,Bluetooth,,,
Bonifer-Hasty,Bonifer Hasty,A Clash of Kings,"Ser Bonifer Hasty, The Good",,The Good,
Boros-Blount,Boros Blount,A Game of Thrones,Ser Boros Blount,,,
Brandon-Stark,Brandon Stark,A Clash of Kings,"Lord Brandon Stark, The Daughterless",,The Daughterless,
Brandon-Stark,Brandon Stark,A Clash of Kings,"King Brandon Stark, The Bad",,The Bad,
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; Bran,,Bran,
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; The Builder,,The Builder,
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; Brother of Eddard,,Brother of Eddard,
Brandon-Stark,Brandon Stark,A Game of Thrones,King Brandon Stark; The Shipwright,,The Shipwright,
Brandon-Stark,Brandon Stark,A Game of Thrones,King Brandon Stark; The Burner,,The Burner,
Brienne-Tarth,Brienne Tarth,A Clash of Kings,"Brienne Tarth, The Beauty/The Blue/Of Tarth",,The Beauty/The Blue/Of Tarth,
Bronn,Bronn,A Game of Thrones,Bronn,,,
Bryan-Fossoway,Bryan Fossoway,A Clash of Kings,Ser Bryan Fossoway,,,
Bryce-Caron,Bryce Caron,A Game of Thrones,Lord Bryce Caron,,,
Bryen-Farring,Bryen Farring,A Clash of Kings,Bryen Farring,,,
Brynden-Tully,Brynden Tully,A Game of Thrones,Ser Brynden Tully; Blackfish,,Blackfish,
Burton-Crakehall,Burton Crakehall,A Clash of Kings,Ser Burton Crakehall,,,
Cadwyl,Cadwyl,A Clash of Kings,Cadwyl,,,
Cadwyn,Cadwyn,A Clash of Kings,Ser Cadwyn,,,
Calon,Calon,A Clash of Kings,Calon,,,
Calor,Calor,A Clash of Kings,Calor,,,
Cassana-Baratheon,Cassana Baratheon,A Clash of Kings,Lady Cassana Baratheon (Estermont),Estermont,,
Catelyn-Stark,Catelyn Stark,A Game of Thrones,Lady Catelyn Stark (Tully),Tully,,
Cayn,Cayn,A Game of Thrones,Cayn,,,
Cersei-Lannister,Cersei Lannister,A Game of Thrones,Queen Cersei Lannister,,,
Chataya,Chataya,A Game of Thrones,Chataya,,,
Chayle,Chayle,A Game of Thrones,Septon Chayle,,,
Chella,Chella,A Game of Thrones,Chella; Daughter of Cheyk,,Daughter of Cheyk,
Chett,Chett,A Game of Thrones,Chett,,,
Chiswyck,Chiswyck,A Clash of Kings,Chiswyck,,,
Cleos-Frey,Cleos Frey,A Game of Thrones,Ser Cleos Frey,,,
Cley-Cerwyn,Cley Cerwyn,A Clash of Kings,Cley Cerwyn,,,
Colemon,Colemon,A Game of Thrones,Maester Colemon,,,
Colen,Colen,A Clash of Kings,"Ser Colen, Of Greenpools",,Of Greenpools,
Conwy,Conwy,A Clash of Kings,Conwy,,,
Cortnay-Penrose,Cortnay Penrose,A Clash of Kings,Ser Cortnay Penrose,,,
Craster,Craster,A Clash of Kings,Craster,,,
Crawn,Crawn,A Clash of Kings,"Crawn, Son of Calor",,Son of Calor,
Cregan-Stark,Cregan Stark,A Game of Thrones,Lord Cregan Stark,,,
Cressen,Cressen,A Clash of Kings,Maester Cressen,,,
Cutjack,Cutjack,A Clash of Kings,Cutjack,,,
Daenerys-Targaryen,Daenerys Targaryen,A Game of Thrones,Princess Daenerys Targaryen; Stormborn,,Stormborn,
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,Prince Daeron Targaryen; The Drunken,,The Drunken,
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,King Daeron II Targaryen; The Good,,The Good,II
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,King Daeron I Targaryen; The Young Dragon/The Boy King,,The Young Dragon/The Boy King,I
Dagmer,Dagmer,A Clash of Kings,"Dagmer, Cleftjaw",,Cleftjaw,
Dalbridge,Dalbridge,A Clash of Kings,"Dalbridge, Squire Dalbridge",,Squire Dalbridge,
Dale-Seaworth,Dale Seaworth,A Clash of Kings,Dale Seaworth,,,
Dalla,Dalla,A Clash of Kings,Dalla,,,
Dancy,Dancy,A Clash of Kings,Dancy,,,
Daryn-Hornwood,Daryn Hornwood,A Game of Thrones,Daryn Hornwood,,,
Daven-Lannister,Daven Lannister,A Game of Thrones,Ser Daven Lannister,,,
Davos-Seaworth,Davos Seaworth,A Clash of Kings,"Ser Davos Seaworth, The Onion Knight",,The Onion Knight,
Delena-Norcross,Delena Norcross,A Clash of Kings,Delena Norcross (Florent),Florent,,
Delp,Delp,A Clash of Kings,Delp,,,
Denys-Mallister,Denys Mallister,A Game of Thrones,Ser Denys Mallister,,,
Dermot,Dermot,A Clash of Kings,"Ser Dermot, Of the Rainwood",,Of the Rainwood,
Desmond,Desmond,A Game of Thrones,Desmond,,,
Desmond-Grell,Desmond Grell,A Game of Thrones,Ser Desmond Grell,,,
Devan-Seaworth,Devan Seaworth,A Clash of Kings,Devan Seaworth,,,
Dobber,Dobber,A Clash of Kings,Dobber,,,
Dolf,Dolf,A Game of Thrones,Dolf,,,
Domeric-Bolton,Domeric Bolton,A Clash of Kings,Domeric Bolton,,,
Donal-Noye,Donal Noye,A Game of Thrones,Donal Noye,,,
Donella-Hornwood,Donella Hornwood,A Clash of Kings,Lady Donella Hornwood,,,
Donnel-Locke,Donnel Locke,A Clash of Kings,Ser Donnel Locke,,,
Donnel-Waynwood,Donnel Waynwood,A Game of Thrones,Ser Donnel Waynwood,,,
Donnor-Stark,Donnor Stark,A Clash of Kings,Lord Donnor Stark,,,
Dontos-Hollard,Dontos Hollard,A Game of Thrones,Ser Dontos Hollard,,,
Doran-Martell,Doran Martell,A Game of Thrones,Prince Doran Martell,,,
Doreah,Doreah,A Game of Thrones,Doreah,,,
Dorren-Stark,Dorren Stark,A Clash of Kings,King Dorren Stark,,,
Drennan,Drennan,A Clash of Kings,Drennan,,,
Drogo,Drogo,A Game of Thrones,Khal Drogo,,,
Dunaver,Dunaver,A Clash of Kings,Ser Dunaver,,,
Dunsen,Dunsen,A Clash of Kings,Dunsen,,,
Dunstan-Drumm,Dunstan Drumm,A Clash of Kings,Lord Dunstan Drumm,,,
Duram-Bar-Emmon,Duram Bar Emmon,A Clash of Kings,Lord Duram Bar Emmon,,,
Durran-Godsgrief,Durran Godsgrief,A Clash of Kings,King Durran Godsgrief,,,
Dykk-Harlaw,Dykk Harlaw,A Clash of Kings,Dykk Harlaw,,,
Dywen,Dywen,A Game of Thrones,Dywen,,,
Ebben,Ebben,A Clash of Kings,Ebben,,,
Eddard-Karstark,Eddard Karstark,A Game of Thrones,Eddard Karstark,,,
Eddard-Stark,Eddard Stark,A Game of Thrones,Lord Eddard Stark,,,
Edderion-Stark,Edderion Stark,A Clash of Kings,"King Edderion Stark, The Bridegroom",,The Bridegroom,
Eddison-Tollett,Eddison Tollett,A Clash of Kings,"Eddison Tollett, Dolorous Edd",,Dolorous Edd,
Edmure-Tully,Edmure Tully,A Game of Thrones,Ser Edmure Tully,,,
Edric-Dayne,Edric Dayne,A Game of Thrones,Lord Edric Dayne; Ned,,Ned,
Edric-Storm,Edric Storm,A Clash of Kings,Edric Storm,,,
Edrick-Stark,Edrick Stark,A Clash of Kings,"King Edrick Stark, Snowbeard",,Snowbeard,
Edwyd-Fossoway,Edwyd Fossoway,A Clash of Kings,Ser Edwyd Fossoway,,,
Edwyle-Stark,Edwyle Stark,A Clash of Kings,Lord Edwyle Stark,,,
Edwyn-Stark,Edwyn Stark,A Clash of Kings,"King Edwyn Stark, The Spring King",,The Spring King,
Eggon,Eggon,A Clash of Kings,Eggon,,,
Egon-Emeros,Egon Emeros,A Clash of Kings,"Egon Emeros, The Exquisite",,The Exquisite,
Elbert-Arryn,Elbert Arryn,A Clash of Kings,Elbert Arryn,,,
Eldiss,Eldiss,A Clash of Kings,Eldiss,,,
Eldon-Estermont,Eldon Estermont,A Clash of Kings,Lord Eldon Estermont,,,
Elenei,Elenei,A Clash of Kings,Elenei,,,
Elia-Martell,Elia Martell,A Game of Thrones,Princess Elia Martell,,,
Elmar-Frey,Elmar Frey,A Game of Thrones,Elmar Frey,,,
Elwood-Meadows,Elwood Meadows,A Clash of Kings,Lord Elwood Meadows,,,
Elyas-Willum,Elyas Willum,A Clash of Kings,Elyas Willum,,,
Emmon-Cuy,Emmon Cuy,A Clash of Kings,"Ser Emmon Cuy, The Yellow",,The Yellow,
Emmon-Frey,Emmon Frey,A Game of Thrones,Ser Emmon Frey,,,
Endehar,Endehar,A Clash of Kings,Endehar,,,
Endrew-Tarth,Endrew Tarth,A Game of Thrones,Ser Endrew Tarth,,,
Enger,Enger,A Clash of Kings,Enger,,,
Ermesande-Hayford,Ermesande Hayford,A Clash of Kings,Lady Ermesande Hayford,,,
Erren-Florent,Erren Florent,A Clash of Kings,Ser Erren Florent,,,
Erryk-Cargyll,Erryk Cargyll,A Game of Thrones,Ser Erryk Cargyll,,,
Esgred,Esgred,A Clash of Kings,Esgred,,,
Ethan-Glover,Ethan Glover,A Game of Thrones,Ethan Glover,,,
Euron-Greyjoy,Euron Greyjoy,A Game of Thrones,Euron Greyjoy; Crow's Eye,,Crow's Eye,
Eyron-Stark,Eyron Stark,A Clash of Kings,King Eyron Stark,,,
Falyse-Stokeworth,Falyse Stokeworth,A Clash of Kings,Falyse Stokeworth,,,
Farlen,Farlen,A Game of Thrones,Farlen,,,
Flement-Brax,Flement Brax,A Game of Thrones,Ser Flement Brax,,,
Florian,Florian,A Game of Thrones,Ser Florian; The Fool,,The Fool,
Frenken,Frenken,A Clash of Kings,Maester Frenken,,,
Gage,Gage,A Game of Thrones,Gage,,,
Galbart-Glover,Galbart Glover,A Game of Thrones,Lord Galbart Glover,,,
Gared,Gared,A Game of Thrones,Gared,,,
Garlan-Tyrell,Garlan Tyrell,A Game of Thrones,Ser Garlan Tyrell; The Gallant,,The Gallant,
Gawen-Westerling,Gawen Westerling,A Game of Thrones,Lord Gawen Westerling,,,
Gawen-Wylde,Gawen Wylde,A Clash of Kings,Ser Gawen Wylde,,,
Gendel,Gendel,A Clash of Kings,King Gendel,,,
Gendry,Gendry,A Game of Thrones,Gendry,,,
Genna-Frey,Genna Frey,A Game of Thrones,Genna Frey (Lannister),Lannister,,
Gerold-Hightower,Gerold Hightower,A Game of Thrones,Ser Gerold Hightower; The White Bull,,The White Bull,
Gerren,Gerren,A Clash of Kings,Gerren,,,
Gevin-Harlaw,Gevin Harlaw,A Clash of Kings,Gevin Harlaw,,,
Gilly,Gilly,A Clash of Kings,Gilly,,,
Gorne,Gorne,A Clash of Kings,King Gorne,,,
Gorold-Goodbrother,Gorold Goodbrother,A Clash of Kings,Lord Gorold Goodbrother,,,
Gregor-Clegane,Gregor Clegane,A Game of Thrones,Ser Gregor Clegane; The Mountain that Rides,,The Mountain that Rides,
Grenn,Grenn,A Game of Thrones,Grenn; Aurochs,,Aurochs,
Gulian-Swann,Gulian Swann,A Clash of Kings,Lord Gulian Swann,,,
Guncer-Sunglass,Guncer Sunglass,A Clash of Kings,Lord Guncer Sunglass,,,
Guyard-Morrigen,Guyard Morrigen,A Clash of Kings,"Ser Guyard Morrigen, The Green",,The Green,
Gyles-Rosby,Gyles Rosby,A Game of Thrones,Lord Gyles Rosby,,,
Gynir,Gynir,A Clash of Kings,"Gynir, Rednose",,Rednose,
Hake,Hake,A Game of Thrones,Hake,,,
Halder,Halder,A Game of Thrones,Halder; Stone Head,,Stone Head,
Hallis-Mollen,Hallis Mollen,A Game of Thrones,Hallis Mollen,,,
Hallyne,Hallyne,A Clash of Kings,"Wisdom Hallyne, The Pyromancer",,The Pyromancer,
Halys-Hornwood,Halys Hornwood,A Game of Thrones,Lord Halys Hornwood,,,
Harbert,Harbert,A Clash of Kings,Ser Harbert,,,
Harlen-Tyrell,Harlen Tyrell,A Game of Thrones,Lord Harlen Tyrell,,,
Harma,Harma,A Clash of Kings,"Harma, The Dogshead",,The Dogshead,
Harra,Harra,A Clash of Kings,Goodwife Harra,,,
Harrag-Sharp,Harrag Sharp,A Clash of Kings,"Harrag Sharp, Sheepstealer",,Sheepstealer,
Harren-Hoare,Harren Hoare,A Game of Thrones,King Harren Hoare; The Black,,The Black,
Harrion-Karstark,Harrion Karstark,A Game of Thrones,Harrion Karstark,,,
Harwin,Harwin,A Game of Thrones,Harwin,,,
Harys-Haigh,Harys Haigh,A Clash of Kings,Ser Harys Haigh,,,
Harys-Swyft,Harys Swyft,A Game of Thrones,Ser Harys Swyft,,,
Hayhead,Hayhead,A Clash of Kings,Hayhead,,,
Heke,Heke,A Clash of Kings,"Heke, Reek",,Reek,
Helman-Tallhart,Helman Tallhart,A Game of Thrones,Ser Helman Tallhart,,,
Helya,Helya,A Clash of Kings,Helya,,,
Hendry-Bracken,Hendry Bracken,A Clash of Kings,Hendry Bracken,,,
High-Septon,High Septon,A Game of Thrones,High Septon ; The Fat One,,The Fat One,
Hobb,Hobb,A Game of Thrones,Hobb; Three-finger,,Three-finger,
Hobber-Redwyne,Hobber Redwyne,A Game of Thrones,Ser Hobber Redwyne; Slobber,,Slobber,
Hod,Hod,A Clash of Kings,Hod,,,
Holger,Holger,A Clash of Kings,Holger,,,
Horas-Redwyne,Horas Redwyne,A Game of Thrones,Ser Horas Redwyne; Horror,,Horror,
Hosteen-Frey,Hosteen Frey,A Game of Thrones,Ser Hosteen Frey,,,
Hoster-Tully,Hoster Tully,A Game of Thrones,Lord Hoster Tully,,,
Hot-Pie,Hot Pie,A Clash of Kings,Hot Pie,,,
Hother-Umber,Hother Umber,A Clash of Kings,"Hother Umber, Whoresbane",,Whoresbane,
Howland-Reed,Howland Reed,A Game of Thrones,Lord Howland Reed,,,
Hubard-Rambton,Hubard Rambton,A Clash of Kings,Ser Hubard Rambton,,,
Hugh,Hugh,A Game of Thrones,Ser Hugh; Of the Vale,,Of the Vale,
Hullen,Hullen,A Game of Thrones,Hullen,,,
Illyrio-Mopatis,Illyrio Mopatis,A Game of Thrones,Magister Illyrio Mopatis,,,
Ilyn-Payne,Ilyn Payne,A Game of Thrones,Ser Ilyn Payne,,,
Imry-Florent,Imry Florent,A Clash of Kings,Ser Imry Florent,,,
Ironbelly,Ironbelly,A Clash of Kings,Ironbelly,,,
Irri,Irri,A Game of Thrones,Irri,,,
Jacelyn-Bywater,Jacelyn Bywater,A Clash of Kings,Ser Jacelyn Bywater,,,
Jaehaerys-Targaryen,Jaehaerys Targaryen,A Game of Thrones,King Jaehaerys II Targaryen,,,II
Jaehaerys-Targaryen,Jaehaerys Targaryen,A Game of Thrones,King Jaehaerys I Targaryen; The Old King/The Conciliator,,The Old King/The Conciliator,I
Jafer-Flowers,Jafer Flowers,A Game of Thrones,Jafer Flowers,,,
Jaime-Lannister,Jaime Lannister,A Game of Thrones,Ser Jaime Lannister; Kingslayer,,Kingslayer,
Jalabhar-Xho,Jalabhar Xho,A Game of Thrones,Jalabhar Xho,,,
Jammos-Frey,Jammos Frey,A Clash of Kings,Ser Jammos Frey,,,
Janos-Slynt,Janos Slynt,A Game of Thrones,Janos Slynt,,,
Jaqen-H'ghar,Jaqen H'ghar,A Clash of Kings,Jaqen H'ghar,,,
Jared-Frey,Jared Frey,A Game of Thrones,Ser Jared Frey,,,
Jaremy-Rykker,Jaremy Rykker,A Game of Thrones,Ser Jaremy Rykker,,,
Jarman-Buckwell,Jarman Buckwell,A Clash of Kings,Jarman Buckwell,,,
Jason-Mallister,Jason Mallister,A Game of Thrones,Lord Jason Mallister,,,
Jeffory-Mallister,Jeffory Mallister,A Clash of Kings,Jeffory Mallister,,,
Jeor-Mormont,Jeor Mormont,A Game of Thrones,Lord Commander Jeor Mormont; The Old Bear,,The Old Bear,
Jeyne-Arryn,Jeyne Arryn,A Game of Thrones,Lady Jeyne Arryn (Royce),Royce,,
Jeyne-Poole,Jeyne Poole,A Game of Thrones,Jeyne Poole,,,
Jhaqo,Jhaqo,A Game of Thrones,Ko Jhaqo,,,
Jhiqui,Jhiqui,A Game of Thrones,Jhiqui,,,
Jhogo,Jhogo,A Game of Thrones,Jhogo,,,
Jodge,Jodge,A Clash of Kings,Jodge,,,
Joffrey-Baratheon,Joffrey Baratheon,A Game of Thrones,Prince Joffrey Baratheon,,,
Jojen-Reed,Jojen Reed,A Clash of Kings,Jojen Reed,,,
Jommy,Jommy,A Clash of Kings,Jommy,,,
Jon-Arryn,Jon Arryn,A Game of Thrones,Lord Jon Arryn,,,
Jon-Fossoway,Jon Fossoway,A Game of Thrones,Ser Jon Fossoway,,,
Jon-Snow,Jon Snow,A Game of Thrones,Jon Snow,,,
Jon-Stark,Jon Stark,A Game of Thrones,King Jon Stark,,,
Jon-Umber,Jon Umber,A Game of Thrones,Lord Jon Umber; Greatjon,,Greatjon,
Jon-Umber,Jon Umber,A Game of Thrones,Jon Umber; Smalljon,,Smalljon,
Jonnel-Stark,Jonnel Stark,A Clash of Kings,Lord Jonnel Stark,,,
Jonos-Bracken,Jonos Bracken,A Game of Thrones,Lord Jonos Bracken,,,
Jonos-Stark,Jonos Stark,A Clash of Kings,King Jonos Stark,,,
Jonquil,Jonquil,A Game of Thrones,Jonquil,,,
Jorah-Mormont,Jorah Mormont,A Game of Thrones,Ser Jorah Mormont,,,
Jorah-Stark,Jorah Stark,A Clash of Kings,King Jorah Stark,,,
Joramun,Joramun,A Clash of Kings,Joramun,,,
Jory-Cassel,Jory Cassel,A Game of Thrones,Jory Cassel,,,
Joseth,Joseth,A Game of Thrones,Joseth,,,
Josmyn-Peckledon,Josmyn Peckledon,A Clash of Kings,"Josmyn Peckledon, Peck",,Peck,
Joss,Joss,A Game of Thrones,Joss,,,
Joss-Stilwood,Joss Stilwood,A Clash of Kings,Joss Stilwood,,,
Josua-Willum,Josua Willum,A Clash of Kings,Josua Willum,,,
Joy-Hill,Joy Hill,A Game of Thrones,Joy Hill,,,
Karyl-Vance,Karyl Vance,A Game of Thrones,Ser Karyl Vance,,,
Kenned,Kenned,A Clash of Kings,"Kenned, The Whale",,The Whale,
Kevan-Lannister,Kevan Lannister,A Game of Thrones,Ser Kevan Lannister,,,
Koss,Koss,A Clash of Kings,Koss,,,
Kromm,Kromm,A Clash of Kings,Kromm,,,
Kurz,Kurz,A Clash of Kings,Kurz,,,
Kyle-Royce,Kyle Royce,A Clash of Kings,Kyle Royce,,,
Kym,Kym,A Clash of Kings,Maester Kym,,,
Kyra,Kyra,A Game of Thrones,Kyra,,,
Lancel-Lannister,Lancel Lannister,A Game of Thrones,Lancel Lannister,,,
Lann,Lann,A Game of Thrones,Lann; The Clever,,The Clever,
Larence-Snow,Larence Snow,A Clash of Kings,Larence Snow,,,
Lark,Lark,A Clash of Kings,"Lark, The Sisterman",,The Sisterman,
Layna,Layna,A Clash of Kings,Layna,,,
Leo-Lefford,Leo Lefford,A Game of Thrones,Lord Leo Lefford,,,
Leobald-Tallhart,Leobald Tallhart,A Clash of Kings,Leobald Tallhart,,,
Lew,Lew,A Clash of Kings,"Lew, Long Lew",,Long Lew,
Lew,Lew,A Game of Thrones,Lew,,,
Lewys-Lydden,Lewys Lydden,A Game of Thrones,Lord Lewys Lydden,,,
Leyton-Hightower,Leyton Hightower,A Game of Thrones,Lord Leyton Hightower,,,
Lollys-Stokeworth,Lollys Stokeworth,A Clash of Kings,Lollys Stokeworth,,,
Lommy,Lommy,A Clash of Kings,"Lommy, Greenhands",,Greenhands,
Loras-Tyrell,Loras Tyrell,A Game of Thrones,Ser Loras Tyrell; Knight of Flowers,,Knight of Flowers,
Lord-Deremond,Lord Deremond,A Clash of Kings,Lord Deremond,,,
Lord-Willum,Lord Willum,A Clash of Kings,Lord Willum,,,
Lorent-Caswell,Lorent Caswell,A Clash of Kings,Lord Lorent Caswell,,,
Lorren,Lorren,A Clash of Kings,"Lorren, Black Lorren",,Black Lorren,
Lothor-Brune,Lothor Brune,A Game of Thrones,Lothor Brune,,,
Lucan,Lucan,A Clash of Kings,Lucan,,,
Lucas-Blackwood,Lucas Blackwood,A Clash of Kings,Lucas Blackwood,,,
Luwin,Luwin,A Game of Thrones,Maester Luwin,,,
Lyanna-Stark,Lyanna Stark,A Game of Thrones,Lyanna Stark,,,
Lyessa-Flint,Lyessa Flint,A Clash of Kings,Lady Lyessa Flint,,,
Lymond-Vikary,Lymond Vikary,A Clash of Kings,Ser Lymond Vikary,,,
Lyn-Corbray,Lyn Corbray,A Game of Thrones,Ser Lyn Corbray,,,
Lync,Lync,A Clash of Kings,Lync,,,
Lynesse-Mormont,Lynesse Mormont,A Clash of Kings,Lynesse Mormont (Hightower),Hightower,,
Lyonel,Lyonel,A Clash of Kings,Ser Lyonel,,,
Lysa-Arryn,Lysa Arryn,A Game of Thrones,Lady Lysa Arryn (Tully),Tully,,
Mace-Tyrell,Mace Tyrell,A Game of Thrones,Lord Mace Tyrell,,,
Maege-Mormont,Maege Mormont,A Game of Thrones,Lady Maege Mormont,,,
Maegor-Targaryen,Maegor Targaryen,A Game of Thrones,King Maegor I Targaryen; The Cruel,,The Cruel,I
Maekar-Targaryen,Maekar Targaryen,A Game of Thrones,King Maekar I Targaryen,,,I
Malcolm,Malcolm,A Clash of Kings,Ser Malcolm,,,
Mallador-Locke,Mallador Locke,A Clash of Kings,Ser Mallador Locke,,,
Malliard,Malliard,A Clash of Kings,Malliard,,,
Mance-Rayder,Mance Rayder,A Game of Thrones,King Mance Rayder; King-Beyond-the-Wall,,King-Beyond-the-Wall,
Mandon-Moore,Mandon Moore,A Game of Thrones,Ser Mandon Moore,,,
Marei,Marei,A Clash of Kings,Marei,,,
Margaery-Tyrell,Margaery Tyrell,A Game of Thrones,Lady Margaery Tyrell,,,
Maric-Seaworth,Maric Seaworth,A Clash of Kings,Maric Seaworth,,,
Marillion,Marillion,A Game of Thrones,Marillion,,,
Mark-Mullendore,Mark Mullendore,A Clash of Kings,Ser Mark Mullendore,,,
