Addam-Marbrand,Addam Marbrand,A Game of Thrones,Ser Addam Marbrand,,,
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon I Targaryen; The Conqueror/The Dragon,,The Conqueror/The Dragon,I
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon III Targaryen; Dragonbane/The Younger,,Dragonbane/The Younger,III
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon V Targaryen; The Fortunate/The Unlikely,,The Fortunate/The Unlikely,V
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,Prince Aegon Targaryen; Son of Rhaegar Targaryen,,Son of Rhaegar Targaryen,
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon II Targaryen; The Usurper,,The Usurper,II
Aemon,Aemon,A Game of Thrones,Maester Aemon (Targaryen),Targaryen,,
Aemon-Targaryen,Aemon Targaryen,A Game of Thrones,Prince Aemon Targaryen; The Dragonknight,,The Dragonknight,
Aenys-Frey,Aenys Frey,A Clash of Kings,Ser Aenys Frey,,,
Aenys-Targaryen,Aenys Targaryen,A Game of Thrones,Aenys Targaryen,,,
Aerion-Targaryen,Aerion Targaryen,A Clash of Kings,"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",,Brightflame/Aerion the Monstrous,
Aeron-Greyjoy,Aeron Greyjoy,A Game of Thrones,Aeron Greyjoy; Damphair,,Damphair,
Aerys-Targaryen,Aerys Targaryen,A Game of Thrones,King Aerys II Targaryen; The Mad King,,The Mad King,II
Aerys-Targaryen,Aerys Targaryen,A Game of Thrones,King Aerys I Targaryen,,,I
Aggar,Aggar,A Clash of Kings,Aggar,,,
Alannys-Greyjoy,Alannys Greyjoy,A Game of Thrones,Lady Alannys Greyjoy (Harlaw),Harlaw,,
Alayaya,Alayaya,A Clash of Kings,Alayaya,,,
Alebelly,Alebelly,A Clash of Kings,Alebelly,,,
Alester-Florent,Alester Florent,A Clash of Kings,Lord Alester Florent,,,
Alfyn,Alfyn,A Clash of Kings,"Alfyn, Crowkiller",,Crowkiller,
Allar-Deem,Allar Deem,A Clash of Kings,Allar Deem,,,
Allard-Seaworth,Allard Seaworth,A Clash of Kings,Allard Seaworth,,,
Alliser-Thorne,Alliser Thorne,A Game of Thrones,Ser Alliser Thorne,,,
Alyn,Alyn,A Game of Thrones,Alyn; Guard at Winterfell,,Guard at Winterfell,
Alyn-Stackspear,Alyn Stackspear,A Clash of Kings,Ser Alyn Stackspear,,,
Amabel,Amabel,A Clash of Kings,Goodwife Amabel,,,
Amory-Lorch,Amory Lorch,A Game of Thrones,Ser Amory Lorch,,,
Andrik,Andrik,A Clash of Kings,"Andrik, The Unsmiling",,The Unsmiling,
Andros-Brax,Andros Brax,A Game of Thrones,Lord Andros Brax,,,
Antario-Jast,Antario Jast,A Clash of Kings,Lord Antario Jast,,,
Ardrian-Celtigar,Ardrian Celtigar,A Clash of Kings,Lord Ardrian Celtigar,,,
Arneld,Arneld,A Clash of Kings,Ser Arneld,,,
Arnell,Arnell,A Clash of Kings,Ser Arnell,,,
Aron-Santagar,Aron Santagar,A Game of Thrones,Ser Aron Santagar,,,
Arryk-Cargyll,Arryk Cargyll,A Game of Thrones,Ser Arryk Cargyll,,,
Arthur-Dayne,Arthur Dayne,A Game of Thrones,Ser Arthur Dayne; Sword of the Morning,,Sword of the Morning,
Artos-Stark,Artos Stark,A Clash of Kings,"Artos Stark, The Implacable",,The Implacable,
Arwyn-Oakheart,Arwyn Oakheart,A Game of Thrones,Lady Arwyn Oakheart,,,
Arya-Stark,Arya Stark,A Game of Thrones,Arya Stark,,,
Arys-Oakheart,Arys Oakheart,A Game of Thrones,Ser Arys Oakheart,,,
Asha-Greyjoy,Asha Greyjoy,A Game of Thrones,Asha Greyjoy,,,
Ashara-Dayne,Ashara Dayne,A Game of Thrones,Lady Ashara Dayne,,,
Aurane-Waters,Aurane Waters,A Clash of Kings,"Aurane Waters, Bastard of Driftmark",,Bastard of Driftmark,
Axell-Florent,Axell Florent,A Clash of Kings,Ser Axell Florent,,,
Azor-Ahai,Azor Ahai,A Clash of Kings,Azor Ahai,,,
Bael,Bael,A Clash of Kings,"King Bael, The Bard",,The Bard,
Baelor-Targaryen,Baelor Targaryen,A Game of Thrones,King Baelor I Targaryen; The Blessed,,The Blessed,I
Ballabar,Ballabar,A Clash of Kings,Maester Ballabar,,,
Balon-Greyjoy,Balon Greyjoy,A Game of Thrones,Lord Balon Greyjoy,,,
Balon-Swann,Balon Swann,A Game of Thrones,Ser Balon Swann,,,
Bandy,Bandy,A Clash of Kings,Bandy,,,
Barra,Barra,A Game of Thrones,Barra,,,
Barre,Barre,A Clash of Kings,Septon Barre,,,
