Catelyn-Stark,Catelyn Stark,A Game of Thrones,19,2,Catelyn I,Catelyn Tully,Lady Catelyn Stark (Tully),Lady,Catelyn,Stark,Tully,,,F,D
Cayn,Cayn,A Game of Thrones,310,30,Eddard VII,Eddard Stark,Cayn,,Cayn,,,,,M,D
Cersei-Lannister,Cersei Lannister,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Queen Cersei Lannister,Queen,Cersei,Lannister,,,,F,A
Chataya,Chataya,A Game of Thrones,367,35,Eddard IX,Eddard Stark,Chataya,,Chataya,,,,,F,A
Chayle,Chayle,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Septon Chayle,Septon,Chayle,,,,,M,D
Chella,Chella,A Game of Thrones,586,56,Tyrion VII,Tyrion Lannister,Chella; Daughter of Cheyk,,Chella,,,Daughter of Cheyk,,F,A
Chett,Chett,A Game of Thrones,433,41,Jon V,Jon Snow,Chett,,Chett,,,,,M,D
Colemon,Colemon,A Game of Thrones,244,25,Eddard V,Eddard Stark,Maester Colemon,Maester,Colemon,,,,,M,A
Cregan-Stark,Cregan Stark,A Game of Thrones,709,66,Bran VII,Bran Stark,Lord Cregan Stark,Lord,Cregan,Stark,,,,M,D
Daenerys-Targaryen,Daenerys Targaryen,A Game of Thrones,25,3,Daenerys I,Daenerys Targaryen,Princess Daenerys Targaryen; Stormborn,Princess,Daenerys,Targaryen,,Stormborn,,F,A
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,51,5,Jon I,Jon Snow,Prince Daeron Targaryen; The Drunken,Prince,Daeron,Targaryen,,The Drunken,,M,D
Daryn-Hornwood,Daryn Hornwood,A Game of Thrones,673,63,Catelyn X,Catelyn Tully,Daryn Hornwood,,Daryn,Hornwood,,,,M,D
Denys-Mallister,Denys Mallister,A Game of Thrones,202,21,Tyrion III,Tyrion Lannister,Ser Denys Mallister,Ser,Denys,Mallister,,,,M,A
Desmond,Desmond,A Game of Thrones,18,1,Bran I,Bran Stark,Desmond,,Desmond,,,,,M,D
Dolf,Dolf,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Dolf,,Dolf,,,,,M,U
Donal-Noye,Donal Noye,A Game of Thrones,174,19,Jon III,Jon Snow,Donal Noye,,Donal,Noye,,,,M,D
Donnel-Waynwood,Donnel Waynwood,A Game of Thrones,349,34,Catelyn VI,Catelyn Tully,Ser Donnel Waynwood,Ser,Donnel,Waynwood,,,,M,A
Dontos-Hollard,Dontos Hollard,A Game of Thrones,597,57,Sansa V,Sansa Stark,Ser Dontos Hollard,Ser,Dontos,Hollard,,,,M,D
Doran-Martell,Doran Martell,A Game of Thrones,598,57,Sansa V,Sansa Stark,Prince Doran Martell,Prince,Doran,Martell,,,,M,A
Doreah,Doreah,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Doreah,,Doreah,,,,,F,D
Drogo,Drogo,A Game of Thrones,26,3,Daenerys I,Daenerys Targaryen,Khal Drogo,Khal,Drogo,,,,,M,D
Dywen,Dywen,A Game of Thrones,504,48,Jon VI,Jon Snow,Dywen,,Dywen,,,,,M,U
Eddard-Karstark,Eddard Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,Eddard Karstark,,Eddard,Karstark,,,,M,D
Eddard-Stark,Eddard Stark,A Game of Thrones,12,1,Bran I,Bran Stark,Lord Eddard Stark,Lord,Eddard,Stark,,,,M,D
Edmure-Tully,Edmure Tully,A Game of Thrones,55,6,Catelyn II,Catelyn Tully,Ser Edmure Tully,Ser,Edmure,Tully,,,,M,A
Elia-Martell,Elia Martell,A Game of Thrones,27,3,Daenerys I,Daenerys Targaryen,Princess Elia Martell,Princess,Elia,Martell,,,,F,D
Elmar-Frey,Elmar Frey,A Game of Thrones,626,59,Catelyn IX,Catelyn Tully,Elmar Frey,,Elmar,Frey,,,,M,U
Emmon-Frey,Emmon Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Emmon Frey,Ser,Emmon,Frey,,,,M,A
Endrew-Tarth,Endrew Tarth,A Game of Thrones,633,60,Jon VIII,Jon Snow,Ser Endrew Tarth,Ser,Endrew,Tarth,,,,M,D
Erryk-Cargyll,Erryk Cargyll,A Game of Thrones,73,8,Bran II,Bran Stark,Ser Erryk Cargyll,Ser,Erryk,Cargyll,,,,M,D
Ethan-Glover,Ethan Glover,A Game of Thrones,409,39,Eddard X,Eddard Stark,Ethan Glover,,Ethan,Glover,,,,M,D
Farlen,Farlen,A Game of Thrones,391,37,Bran V,Bran Stark,Farlen,,Farlen,,,,,M,D
Flement-Brax,Flement Brax,A Game of Thrones,588,56,Tyrion VII,Tyrion Lannister,Ser Flement Brax,Ser,Flement,Brax,,,,M,A
Florian,Florian,A Game of Thrones,461,44,Sansa III,Sansa Stark,Ser Florian; The Fool,Ser,Florian,,,The Fool,,M,F
Gage,Gage,A Game of Thrones,73,8,Bran II,Bran Stark,Gage,,Gage,,,,,M,U
Galbart-Glover,Galbart Glover,A Game of Thrones,195,20,Eddard IV,Eddard Stark,Lord Galbart Glover,Lord,Galbart,Glover,,,,M,U
Gared,Gared,A Game of Thrones,1,0,Prologue,Will,Gared,,Gared,,,,,M,D
Gawen-Westerling,Gawen Westerling,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Lord Gawen Westerling,Lord,Gawen,Westerling,,,,M,A
Gendry,Gendry,A Game of Thrones,272,27,Eddard VI,Eddard Stark,Gendry,,Gendry,,,,,M,A
Gerold-Hightower,Gerold Hightower,A Game of Thrones,73,8,Bran II,Bran Stark,Ser Gerold Hightower; The White Bull,Ser,Gerold,Hightower,,The White Bull,,M,D
Gregor-Clegane,Gregor Clegane,A Game of Thrones,284,29,Sansa II,Sansa Stark,Ser Gregor Clegane; The Mountain that Rides,Ser,Gregor,Clegane,,The Mountain that Rides,,M,D
Grenn,Grenn,A Game of Thrones,170,19,Jon III,Jon Snow,Grenn; Aurochs,,Grenn,,,Aurochs,,M,A
Gyles-Rosby,Gyles Rosby,A Game of Thrones,597,57,Sansa V,Sansa Stark,Lord Gyles Rosby,Lord,Gyles,Rosby,,,,M,D
Hake,Hake,A Game of Thrones,538,52,Jon VII,Jon Snow,Hake,,Hake,,,,,M,D
Halder,Halder,A Game of Thrones,171,19,Jon III,Jon Snow,Halder; Stone Head,,Halder,,,Stone Head,,M,A
Hallis-Mollen,Hallis Mollen,A Game of Thrones,128,14,Catelyn III,Catelyn Tully,Hallis Mollen,,Hallis,Mollen,,,,M,U
Halys-Hornwood,Halys Hornwood,A Game of Thrones,555,53,Bran VI,Bran Stark,Lord Halys Hornwood,Lord,Halys,Hornwood,,,,M,D
Harren-Hoare,Harren Hoare,A Game of Thrones,638,60,Jon VIII,Jon Snow,King Harren Hoare; The Black,King,Harren,Hoare,,The Black,,M,D
Harrion-Karstark,Harrion Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,Harrion Karstark,,Harrion,Karstark,,,,M,A
Harwin,Harwin,A Game of Thrones,16,1,Bran I,Bran Stark,Harwin,,Harwin,,,,,M,A
Harys-Swyft,Harys Swyft,A Game of Thrones,738,69,Tyrion IX,Tyrion Lannister,Ser Harys Swyft,Ser,Harys,Swyft,,,,M,A
Helman-Tallhart,Helman Tallhart,A Game of Thrones,195,20,Eddard IV,Eddard Stark,Ser Helman Tallhart,Ser,Helman,Tallhart,,,,M,D
High-Septon,High Septon,A Game of Thrones,188,20,Eddard IV,Eddard Stark,High Septon ; The Fat One,High Septon,High Septon,,,The Fat One,,M,D
Hobb,Hobb,A Game of Thrones,430,41,Jon V,Jon Snow,Hobb; Three-finger,,Hobb,,,Three-finger,,M,A
Hobber-Redwyne,Hobber Redwyne,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Hobber Redwyne; Slobber,Ser,Hobber,Redwyne,,Slobber,,M,A
Horas-Redwyne,Horas Redwyne,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Horas Redwyne; Horror,Ser,Horas,Redwyne,,Horror,,M,A
Hosteen-Frey,Hosteen Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Hosteen Frey,Ser,Hosteen,Frey,,,,M,A
Hoster-Tully,Hoster Tully,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord Hoster Tully,Lord,Hoster,Tully,,,,M,D
Howland-Reed,Howland Reed,A Game of Thrones,40,4,Eddard I,Eddard Stark,Lord Howland Reed,Lord,Howland,Reed,,,,M,A
Hugh,Hugh,A Game of Thrones,249,25,Eddard V,Eddard Stark,Ser Hugh; Of the Vale,Ser,Hugh,,,Of the Vale,,M,D
Hullen,Hullen,A Game of Thrones,16,1,Bran I,Bran Stark,Hullen,,Hullen,,,,,M,D
Illyrio-Mopatis,Illyrio Mopatis,A Game of Thrones,25,3,Daenerys I,Daenerys Targaryen,Magister Illyrio Mopatis,Magister,Illyrio,Mopatis,,,,M,A
Ilyn-Payne,Ilyn Payne,A Game of Thrones,140,15,Sansa I,Sansa Stark,Ser Ilyn Payne,Ser,Ilyn,Payne,,,,M,A
Irri,Irri,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Irri,,Irri,,,,,F,A
Jaehaerys-Targaryen,Jaehaerys Targaryen,A Game of Thrones,245,25,Eddard V,Eddard Stark,King Jaehaerys II Targaryen,King,Jaehaerys,Targaryen,,,II,M,D
Jafer-Flowers,Jafer Flowers,A Game of Thrones,533,52,Jon VII,Jon Snow,Jafer Flowers,,Jafer,Flowers,,,,M,D
Jaime-Lannister,Jaime Lannister,A Game of Thrones,36,4,Eddard I,Eddard Stark,Ser Jaime Lannister; Kingslayer,Ser,Jaime,Lannister,,Kingslayer,,M,A
Jalabhar-Xho,Jalabhar Xho,A Game of Thrones,285,29,Sansa II,Sansa Stark,Jalabhar Xho,,Jalabhar,Xho,,,,M,A
Janos-Slynt,Janos Slynt,A Game of Thrones,264,27,Eddard VI,Eddard Stark,Janos Slynt,,Janos,Slynt,,,,M,D
Jared-Frey,Jared Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Jared Frey,Ser,Jared,Frey,,,,M,D
Jaremy-Rykker,Jaremy Rykker,A Game of Thrones,198,21,Tyrion III,Tyrion Lannister,Ser Jaremy Rykker,Ser,Jaremy,Rykker,,,,M,D
Jason-Mallister,Jason Mallister,A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Lord Jason Mallister,Lord,Jason,Mallister,,,,M,A
Jeor-Mormont,Jeor Mormont,A Game of Thrones,172,19,Jon III,Jon Snow,Lord Commander Jeor Mormont; The Old Bear,Lord Commander,Jeor,Mormont,,The Old Bear,,M,D
Jeyne-Poole,Jeyne Poole,A Game of Thrones,210,22,Arya II,Arya Stark,Jeyne Poole,,Jeyne,Poole,,,,F,A
Jhaqo,Jhaqo,A Game of Thrones,646,61,Daenerys VII,Daenerys Targaryen,Ko Jhaqo,Ko,Jhaqo,,,,,M,A
Jhiqui,Jhiqui,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,Jhiqui,,Jhiqui,,,,,F,A
Jhogo,Jhogo,A Game of Thrones,643,61,Daenerys VII,Daenerys Targaryen,Jhogo,,Jhogo,,,,,M,A
Joffrey-Baratheon,Joffrey Baratheon,A Game of Thrones,45,4,Eddard I,Eddard Stark,Prince Joffrey Baratheon,Prince,Joffrey,Baratheon,,,,M,D
Jon-Arryn,Jon Arryn,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord Jon Arryn,Lord,Jon,Arryn,,,,M,D
Jon-Snow,Jon Snow,A Game of Thrones,11,1,Bran I,Bran Stark,Jon Snow,,Jon,Snow,,,,M,U
Jon-Stark,Jon Stark,A Game of Thrones,708,66,Bran VII,Bran Stark,King Jon Stark,King,Jon,Stark,,,,M,D
Jon-Umber,Jon Umber,A Game of Thrones,555,53,Bran VI,Bran Stark,Lord Jon Umber; Greatjon,Lord,Jon,Umber,,Greatjon,,M,A
Jon-Umber,Jon Umber,A Game of Thrones,673,63,Catelyn X,Catelyn Tully,Jon Umber; Smalljon,,Jon,Umber,,Smalljon,,M,D
Jonos-Bracken,Jonos Bracken,A Game of Thrones,283,28,Catelyn V,Catelyn Tully,Lord Jonos Bracken,Lord,Jonos,Bracken,,,,M,A
