A Clash of Kings,Aenys-Frey,Aenys Frey,Ser Aenys Frey,Ser,Aenys,Frey,,
A Clash of Kings,Aerion-Targaryen,Aerion Targaryen,"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",Prince,Aerion,Targaryen,,Brightflame/Aerion the Monstrous
A Clash of Kings,Aggar,Aggar,Aggar,,Aggar,,,
A Clash of Kings,Alayaya,Alayaya,Alayaya,,Alayaya,,,
A Clash of Kings,Alebelly,Alebelly,Alebelly,,Alebelly,,,
A Clash of Kings,Alester-Florent,Alester Florent,Lord Alester Florent,Lord,Alester,Florent,,
A Clash of Kings,Alfyn,Alfyn,"Alfyn, Crowkiller",,Alfyn,,,Crowkiller
A Clash of Kings,Allar-Deem,Allar Deem,Allar Deem,,Allar,Deem,,
A Clash of Kings,Allard-Seaworth,Allard Seaworth,Allard Seaworth,,Allard,Seaworth,,
A Clash of Kings,Alyn-Stackspear,Alyn Stackspear,Ser Alyn Stackspear,Ser,Alyn,Stackspear,,
A Clash of Kings,Amabel,Amabel,Goodwife Amabel,Goodwife,Amabel,,,
A Clash of Kings,Andrik,Andrik,"Andrik, The Unsmiling",,Andrik,,,The Unsmiling
A Clash of Kings,Antario-Jast,Antario Jast,Lord Antario Jast,Lord,Antario,Jast,,
A Clash of Kings,Ardrian-Celtigar,Ardrian Celtigar,Lord Ardrian Celtigar,Lord,Ardrian,Celtigar,,
A Clash of Kings,Arneld,Arneld,Ser Arneld,Ser,Arneld,,,
A Clash of Kings,Arnell,Arnell,Ser Arnell,Ser,Arnell,,,
A Clash of Kings,Artos-Stark,Artos Stark,"Artos Stark, The Implacable",,Artos,Stark,,The Implacable
A Clash of Kings,Aurane-Waters,Aurane Waters,"Aurane Waters, Bastard of Driftmark",,Aurane,Waters,,Bastard of Driftmark
A Clash of Kings,Axell-Florent,Axell Florent,Ser Axell Florent,Ser,Axell,Florent,,
A Clash of Kings,Azor-Ahai,Azor Ahai,Azor Ahai,,Azor Ahai,,,
A Clash of Kings,Bael-the-Bard,Bael,"King Bael, The Bard",King,Bael,,,The Bard
A Clash of Kings,Ballabar,Ballabar,Maester Ballabar,Maester,Ballabar,,,
A Clash of Kings,Bandy,Bandy,Bandy,,Bandy,,,
A Clash of Kings,Barre,Barre,Septon Barre,Septon,Barre,,,
A Clash of Kings,Barthogan-Stark,Barth Stark,Lord Barth Stark;Barth Blacksword,Lord,Barth,Stark,,
A Clash of Kings,Bedwyck,Bedwyck,"Bedwyck, Giant",,Bedwyck,,,Giant
A Clash of Kings,Belwas,Belwas,"Belwas, Strong Belwas",,Belwas,,,Strong Belwas
A Clash of Kings,Ben,Ben,"Ben, Blackthumb",,Ben,,,Blackthumb
A Clash of Kings,Benfred-Tallhart,Benfred Tallhart,Benfred Tallhart,,Benfred,Tallhart,,
A Clash of Kings,Benjen-Stark,Benjen Stark,"King Benjen Stark, The Sweet",King,Benjen,Stark,,The Sweet
A Clash of Kings,Benjen-Stark,Benjen Stark,"King Benjen Stark, The Bitter",King,Benjen,Stark,,The Bitter
A Clash of Kings,Beren-Tallhart,Beren Tallhart,Beren Tallhart,,Beren,Tallhart,,
A Clash of Kings,Brown-Bernarr,Bernarr,"Bernarr, Brown Bernarr",,Bernarr,,,Brown Bernarr
A Clash of Kings,Beron-Stark,Beron Stark,Lord Beron Stark,Lord,Beron,Stark,,
A Clash of Kings,Biter,Biter,Biter,,Biter,,,
A Clash of Kings,Bluetooth,Bluetooth,Bluetooth,,Bluetooth,,,
A Clash of Kings,Bonifer-Hasty,Bonifer Hasty,"Ser Bonifer Hasty, The Good",Ser,Bonifer,Hasty,,The Good
A Clash of Kings,Brandon-Stark,Brandon Stark,"Lord Brandon Stark, The Daughterless",Lord,Brandon,Stark,,The Daughterless
A Clash of Kings,Brandon-Stark,Brandon Stark,"King Brandon Stark, The Bad",King,Brandon,Stark,,The Bad
A Clash of Kings,Brienne-of-Tarth,Brienne Tarth,"Brienne Tarth, The Beauty/The Blue/Of Tarth",,Brienne,Tarth,,The Beauty/The Blue/Of Tarth
A Clash of Kings,Bryan-Fossoway,Bryan Fossoway,Ser Bryan Fossoway,Ser,Bryan,Fossoway,,
A Clash of Kings,Bryen-Farring,Bryen Farring,Bryen Farring,,Bryen,Farring,,
A Clash of Kings,Burton-Crakehall,Burton Crakehall,Ser Burton Crakehall,Ser,Burton,Crakehall,,
A Clash of Kings,Cadwyl,Cadwyl,Cadwyl,,Cadwyl,,,
A Clash of Kings,Cadwyn,Cadwyn,Ser Cadwyn,Ser,Cadwyn,,,
A Clash of Kings,Calon,Calon,Calon,,Calon,,,
A Clash of Kings,Calor,Calor,Calor,,Calor,,,
A Clash of Kings,Cassana-Estermont,Cassana Baratheon,Lady Cassana Baratheon (Estermont),Lady,Cassana,Baratheon,Estermont,
A Clash of Kings,Chiswyck,Chiswyck,Chiswyck,,Chiswyck,,,
A Clash of Kings,Cley-Cerwyn,Cley Cerwyn,Cley Cerwyn,,Cley,Cerwyn,,
A Clash of Kings,Colen-of-Greenpools,Colen,"Ser Colen, Of Greenpools",Ser,Colen,,,Of Greenpools
A Clash of Kings,Conwy,Conwy,Conwy,,Conwy,,,
A Clash of Kings,Cortnay-Penrose,Cortnay Penrose,Ser Cortnay Penrose,Ser,Cortnay,Penrose,,
A Clash of Kings,Craster,Craster,Craster,,Craster,,,
