Waltyr-Frey,Waltyr Frey,A Clash of Kings,69,4,Bran I,Bran Stark,"Waltyr Frey, Tyr",,Waltyr,Frey,,Tyr,,M,A
Praed,Praed,A Clash of Kings,74,5,Arya II,Arya Stark,Praed,,Praed,,,,,M,D
Tarber,Tarber,A Clash of Kings,74,5,Arya II,Arya Stark,Tarber,,Tarber,,,,,M,U
Lync,Lync,A Clash of Kings,75,5,Arya II,Arya Stark,Lync,,Lync,,,,,M,U
Malcolm,Malcolm,A Clash of Kings,75,5,Arya II,Arya Stark,Ser Malcolm,Ser,Malcolm,,,,,M,U
Hod,Hod,A Clash of Kings,76,5,Arya II,Arya Stark,Hod,,Hod,,,,,M,A
William-Mooton,William Mooton,A Clash of Kings,76,5,Arya II,Arya Stark,Lord William Mooton,Lord,William,Mooton,,,,M,A
Biter,Biter,A Clash of Kings,78,5,Arya II,Arya Stark,Biter,,Biter,,,,,M,D
Jaqen-H'ghar,Jaqen H'ghar,A Clash of Kings,78,5,Arya II,Arya Stark,Jaqen H'ghar,,Jaqen,H'ghar,,,,M,A
Rorge,Rorge,A Clash of Kings,78,5,Arya II,Arya Stark,Rorge,,Rorge,,,,,M,D
Reysen,Reysen,A Clash of Kings,80,5,Arya II,Arya Stark,Reysen,,Reysen,,,,,M,D
Cutjack,Cutjack,A Clash of Kings,81,5,Arya II,Arya Stark,Cutjack,,Cutjack,,,,,M,U
Dobber,Dobber,A Clash of Kings,81,5,Arya II,Arya Stark,Dobber,,Dobber,,,,,M,D
Koss,Koss,A Clash of Kings,81,5,Arya II,Arya Stark,Koss,,Koss,,,,,M,D
Kurz,Kurz,A Clash of Kings,81,5,Arya II,Arya Stark,Kurz,,Kurz,,,,,M,D
Dorren-Stark,Dorren Stark,A Clash of Kings,85,6,Jon I,Jon Snow,King Dorren Stark,King,Dorren,Stark,,,,M,D
Redwyn,Redwyn,A Clash of Kings,85,6,Jon I,Jon Snow,Redwyn,,Redwyn,,,,,M,D
Conwy,Conwy,A Clash of Kings,88,6,Jon I,Jon Snow,Conwy,,Conwy,,,,,M,A
Thoren-Smallwood,Thoren Smallwood,A Clash of Kings,90,6,Jon I,Jon Snow,Thoren Smallwood,,Thoren,Smallwood,,,,M,D
Arnell,Arnell,A Clash of Kings,92,6,Jon I,Jon Snow,Ser Arnell,Ser,Arnell,,,,,M,U
Aerion-Targaryen,Aerion Targaryen,A Clash of Kings,94,6,Jon I,Jon Snow,"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",Prince,Aerion,Targaryen,,Brightflame/Aerion the Monstrous,,M,D
Burton-Crakehall,Burton Crakehall,A Clash of Kings,106,7,Catelyn I,Catelyn Tully,Ser Burton Crakehall,Ser,Burton,Crakehall,,,,M,D
Hendry-Bracken,Hendry Bracken,A Clash of Kings,107,7,Catelyn I,Catelyn Tully,Hendry Bracken,,Hendry,Bracken,,,,M,D
Allar-Deem,Allar Deem,A Clash of Kings,112,8,Tyrion II,Tyrion Lannister,Allar Deem,,Allar,Deem,,,,M,D
Jacelyn-Bywater,Jacelyn Bywater,A Clash of Kings,112,8,Tyrion II,Tyrion Lannister,Ser Jacelyn Bywater,Ser,Jacelyn,Bywater,,,,M,D
Murch,Murch,A Clash of Kings,128,9,Arya III,Arya Stark,Murch,,Murch,,,,,M,D
Allard-Seaworth,Allard Seaworth,A Clash of Kings,132,10,Davos I,Davos Seaworth,Allard Seaworth,,Allard,Seaworth,,,,M,D
Dale-Seaworth,Dale Seaworth,A Clash of Kings,132,10,Davos I,Davos Seaworth,Dale Seaworth,,Dale,Seaworth,,,,M,D
Barre,Barre,A Clash of Kings,133,10,Davos I,Davos Seaworth,Septon Barre,Septon,Barre,,,,,M,U
Hubard-Rambton,Hubard Rambton,A Clash of Kings,133,10,Davos I,Davos Seaworth,Ser Hubard Rambton,Ser,Hubard,Rambton,,,,M,D
Maric-Seaworth,Maric Seaworth,A Clash of Kings,133,10,Davos I,Davos Seaworth,Maric Seaworth,,Maric,Seaworth,,,,M,D
Devan-Seaworth,Devan Seaworth,A Clash of Kings,134,10,Davos I,Davos Seaworth,Devan Seaworth,,Devan,Seaworth,,,,M,A
Marya-Seaworth,Marya Seaworth,A Clash of Kings,134,10,Davos I,Davos Seaworth,Marya Seaworth,,Marya,Seaworth,,,,F,A
Matthos-Seaworth,Matthos Seaworth,A Clash of Kings,134,10,Davos I,Davos Seaworth,Matthos Seaworth,,Matthos,Seaworth,,,,M,D
Azor-Ahai,Azor Ahai,A Clash of Kings,135,10,Davos I,Davos Seaworth,Azor Ahai,,Azor Ahai,,,,,M,F
Bryen-Farring,Bryen Farring,A Clash of Kings,135,10,Davos I,Davos Seaworth,Bryen Farring,,Bryen,Farring,,,,M,D
Nissa-Nissa,Nissa Nissa,A Clash of Kings,141,10,Davos I,Davos Seaworth,Nissa Nissa,,Nissa Nissa,,,,,F,F
Cassana-Baratheon,Cassana Baratheon,A Clash of Kings,144,10,Davos I,Davos Seaworth,Lady Cassana Baratheon (Estermont),Lady,Cassana,Baratheon,Estermont,,,F,D
Delena-Norcross,Delena Norcross,A Clash of Kings,146,10,Davos I,Davos Seaworth,Delena Norcross (Florent),,Delena,Norcross,Florent,,,F,A
Edric-Storm,Edric Storm,A Clash of Kings,146,10,Davos I,Davos Seaworth,Edric Storm,,Edric,Storm,,,,M,A
Sawane-Botley,Sawane Botley,A Clash of Kings,155,11,Theon I,Theon Greyjoy,Lord Sawane Botley,Lord,Sawane,Botley,,,,M,D
Dagmer,Dagmer,A Clash of Kings,156,11,Theon I,Theon Greyjoy,"Dagmer, Cleftjaw",,Dagmer,,,Cleftjaw,,M,A
Gorold-Goodbrother,Gorold Goodbrother,A Clash of Kings,156,11,Theon I,Theon Greyjoy,Lord Gorold Goodbrother,Lord,Gorold,Goodbrother,,,,M,A
