Tion-Frey,Tion Frey,A Game of Thrones,787,73,Appendix,N/A,Tion Frey,,Tion,Frey,,,,M,D
Trystane-Martell,Trystane Martell,A Game of Thrones,797,73,Appendix,N/A,Prince Trystane Martell,Prince,Trystane,Martell,,,,M,A
Tygett-Lannister,Tygett Lannister,A Game of Thrones,788,73,Appendix,N/A,Ser Tygett Lannister; Tyg,Ser,Tygett,Lannister,,Tyg,,M,D
Tyrek-Lannister,Tyrek Lannister,A Game of Thrones,784,73,Appendix,N/A,Tyrek Lannister,,Tyrek,Lannister,,,,M,U
Urron-Greyiron,Urron Greyiron,A Game of Thrones,795,73,Appendix,N/A,King Urron Greyiron; Redhand,King,Urron,Greyiron,,Redhand,,M,D
Utherydes-Wayn,Utherydes Wayn,A Game of Thrones,792,73,Appendix,N/A,Utherydes Wayn,,Utherydes,Wayn,,,,M,A
Vickon-Greyjoy,Vickon Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Lord Vickon Greyjoy,Lord,Vickon,Greyjoy,,,,M,D
Victarion-Greyjoy,Victarion Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Victarion Greyjoy,,Victarion,Greyjoy,,,,M,A
Visenya-Targaryen,Visenya Targaryen,A Game of Thrones,799,73,Appendix,N/A,Visenya Targaryen; Wife of Aegon I,,Visenya,Targaryen,,Wife of Aegon I,,F,D
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,800,73,Appendix,N/A,King Viserys I Targaryen,King,Viserys,Targaryen,,,I,M,D
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,800,73,Appendix,N/A,King Viserys II Targaryen,King,Viserys,Targaryen,,,II,M,D
Willem-Lannister,Willem Lannister,A Game of Thrones,787,73,Appendix,N/A,Willem Lannister,,Willem,Lannister,,,,M,D
