Alerie-Tyrell,Alerie Tyrell,A Game of Thrones,793,73,Appendix,N/A,Lady Alerie Tyrell (Hightower),Lady,Alerie,Tyrell,Hightower,,,F,A
Areo-Hotah,Areo Hotah,A Game of Thrones,798,73,Appendix,N/A,Captain Areo Hotah,Captain,Areo,Hotah,,,,M,A
Argilac-Durrandon,Argilac Durrandon,A Game of Thrones,783,73,Appendix,N/A,King Argilac Durrandon; The Arrogant,King,Argilac,Durrandon,,The Arrogant,,M,D
Arianne-Martell,Arianne Martell,A Game of Thrones,797,73,Appendix,N/A,Princess Arianne Martell,Princess,Arianne,Martell,,,,F,A
Arrec-Durrandon,Arrec Durrandon,A Game of Thrones,791,73,Appendix,N/A,King Arrec Durrandon; The Storm King,King,Arrec,Durrandon,,The Storm King,,M,D
Caleotte,Caleotte,A Game of Thrones,798,73,Appendix,N/A,Maester Caleotte,Maester,Caleotte,,,,,M,A
Cerenna-Lannister,Cerenna Lannister,A Game of Thrones,788,73,Appendix,N/A,Cerenna Lannister,,Cerenna,Lannister,,,,F,A
Creylen,Creylen,A Game of Thrones,788,73,Appendix,N/A,Maester Creylen,Maester,Creylen,,,,,M,A
Darlessa-Marbrand,Darlessa Marbrand,A Game of Thrones,788,73,Appendix,N/A,Darlessa Marbrand,,Darlessa,Marbrand,,,,F,A
Desmera-Redwyne,Desmera Redwyne,A Game of Thrones,794,73,Appendix,N/A,Desmera Redwyne,,Desmera,Redwyne,,,,F,A
Dorna-Lannister,Dorna Lannister,A Game of Thrones,787,73,Appendix,N/A,Dorna Lannister (Swyft),,Dorna,Lannister,Swyft,,,F,A
Edmyn-Tully,Edmyn Tully,A Game of Thrones,791,73,Appendix,N/A,Edmyn Tully,,Edmyn,Tully,,,,M,D
Garrett-Flowers,Garrett Flowers,A Game of Thrones,794,73,Appendix,N/A,Garrett Flowers,,Garrett,Flowers,,,,M,A
Garse-Flowers,Garse Flowers,A Game of Thrones,794,73,Appendix,N/A,Garse Flowers,,Garse,Flowers,,,,M,A
Garth-Gardener,Garth Gardener,A Game of Thrones,793,73,Appendix,N/A,King Garth Gardener; Greenhand,King,Garth,Gardener,,Greenhand,,M,D
Garth-Tyrell,Garth Tyrell,A Game of Thrones,793,73,Appendix,N/A,Garth Tyrell; The Gross,,Garth,Tyrell,,The Gross,,M,D
Gerion-Lannister,Gerion Lannister,A Game of Thrones,788,73,Appendix,N/A,Gerion Lannister; Gery,,Gerion,Lannister,,Gery,,M,U
Gormon,Gormon,A Game of Thrones,794,73,Appendix,N/A,Maester Gormon (Tyrell),Maester,Gormon,,Tyrell,,,M,A
Harwyn-Hoare,Harwyn Hoare,A Game of Thrones,791,73,Appendix,N/A,King Harwyn Hoare; Hardhand,King,Harwyn,Hoare,,Hardhand,,M,D
Janei-Lannister,Janei Lannister,A Game of Thrones,787,73,Appendix,N/A,Janei Lannister,,Janei,Lannister,,,,F,A
Janna-Fossoway,Janna Fossoway,A Game of Thrones,793,73,Appendix,N/A,Lady Janna Fossoway (Tyrell),Lady,Janna,Fossoway,Tyrell,,,F,A
Joanna-Lannister,Joanna Lannister,A Game of Thrones,787,73,Appendix,N/A,Lady Joanna Lannister,Lady,Joanna,Lannister,,,,F,D
Lomys,Lomys,A Game of Thrones,794,73,Appendix,N/A,Maester Lomys,Maester,Lomys,,,,,M,A
Mellario-Martell,Mellario Martell,A Game of Thrones,797,73,Appendix,N/A,Lady Mellario Martell; of Norvos,Lady,Mellario,Martell,,of Norvos,,F,A
Mina-Redwyne,Mina Redwyne,A Game of Thrones,793,73,Appendix,N/A,Lady Mina Redwyne (Tyrell),Lady,Mina,Redwyne,Tyrell,,,F,A
Moryn-Tyrell,Moryn Tyrell,A Game of Thrones,794,73,Appendix,N/A,Ser Moryn Tyrell,Ser,Moryn,Tyrell,,,,M,A
Myriah-Martell,Myriah Martell,A Game of Thrones,797,73,Appendix,N/A,Princess Myriah Martell,Princess,Myriah,Martell,,,,F,A
Myrielle-Lannister,Myrielle Lannister,A Game of Thrones,788,73,Appendix,N/A,Myrielle Lannister,,Myrielle,Lannister,,,,F,A
Oberyn-Martell,Oberyn Martell,A Game of Thrones,798,73,Appendix,N/A,Prince Oberyn Martell,Prince,Oberyn,Martell,,,,M,D
Olenna-Tyrell,Olenna Tyrell,A Game of Thrones,793,73,Appendix,N/A,Lady Olenna Tyrell (Redwyne); Queen of Thorns,Lady,Olenna,Tyrell,Redwyne,Queen of Thorns,,F,A
Orys-Baratheon,Orys Baratheon,A Game of Thrones,783,73,Appendix,N/A,Lord Orys Baratheon,Lord,Orys,Baratheon,,,,M,D
