Eddard,Jon,Tyrion,Brandon,Catelyn,Daenerys,Robert,Arya,Robb,Sansa,Mirri,Joffrey,Drogo,Tywin,Jorah,Jaime,Petyr,Rodrik,Samwell,Renly,Lysa,Varys,Cersei,Pycelle,Barristan,Sandor,Gregor,Benjen,Bronn,Stannis,Theon,Jeor,Viserys,Alliser,Jory,Syrio,Aemon,Illyrio,Brynden,Nan,Hodor,Walder,Loras,Vardis,Rickon,Janos,Pyp,Rhaegar,Jeyne,Aegon,Aerys,Edmure,Meryn,Grenn,Ilyn,Irri,Kevan,Hoster,Beric,Qotho,Jaremy,Osha,Doreah,Yoren,Halder,Greatjon,Roose,Rickard,Bowen,Boros,Myrcella,Lyanna,Jhogo,Tommen,Vayon,Balon,Raymun,Willis,Aggo,Marillion,Hallis,Addam,Haggo,Stevron,Cohollo,Galbart,Ogo,Chett,Timett,Mycah,Arthur,Lyn,Yohn,Wendel,Nestor,Shae,Rakharo,Chiggen,Moreo,Desmond,Tytos,Jyck,Harwin,Quaro,Hullen,Dareon,Hal,Rhaego,Randyll,Donnel,Gerold,Morrec,Maege,Cayn,Rast,Jhaqo,Wylis,Chella,Stiv,Othor,Jonos,Flement,Torrhen,Robett,Mace,Oswell,Jared,Danwell,Hosteen,Rhaggat,Jommo,Ryam
32,10,44,5,14,0,24,0,17,0,0,16,0,20,0,0,14,4,0,5,7,0,14,0,7,17,5,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,14,22,29,0,18,0,0,11,0,14,0,0,0,14,0,7,0,18,7,26,0,14,6,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,7,13,32,0,0,5,19,0,0,7,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,109,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,7,5,0,0,31,0,4,8,0,12,0,0,0,5,18,0,0,0,0,9,6,7,15,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,33,0,49,0,12,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,6,0,8,4,24,0,0,6,0,8,0,4,0,0,26,0,0,9,0,0,7,15,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,18,0,0,0,34,0,0,12,0,19,0,6,0,14,0,0,0,6,0,7,0,5,12,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,0,0,0,0,21,0,0,9,0,0,0,5,0,0,14,0,0,7,0,15,5,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,17,0,0,5,0,10,0,0,0,7,6,0,0,15,0,10,12,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
