Greatjon Encounters:
Greatjon (Greatjon), Theon (Theon Greyjoy), 1143822, "gate, carrying the rippling white banner of House Stark atop a high standard of grey ash. Theon Greyjoy and the Greatjon"
Robb (Robb), Greatjon (Greatjon), 1143853, "House Stark atop a high standard of grey ash. Theon Greyjoy and the Greatjon fell in on either side of Robb"
Robb (Robb), Greatjon (Greatjon), 1174791, "was the Greatjon�s giant in shattered chains. But on the Gatehouse Tower, the Stark banner flew alone. That was where Robb"
Greatjon (Greatjon), Roose (Roose Bolton), 1175252, "massive stone table, a pile of maps and papers in front of him, talking intently with Roose Bolton and the Greatjon"
Greatjon (Greatjon), Galbart (Galbart), 1176679, "he said, �you are fair as ever, a welcome sight in troubled times.� The Glovers followed, Galbart and Robett, and Greatjon"
Greatjon (Greatjon), Robett (Robett), 1176679, "he said, �you are fair as ever, a welcome sight in troubled times.� The Glovers followed, Galbart and Robett, and Greatjon"
Theon (Theon), Greatjon (Greatjon Umber), 1176718, "welcome sight in troubled times.� The Glovers followed, Galbart and Robett, and Greatjon Umber, and the rest, one by one. Theon"
Greatjon (Greatjon), Catelyn (Lady Stark), 1177589, "a wise counsellor, but unskilled in the arts of war.�  �Have no fear on that count, Lady Stark,� the Greatjon"
Tywin (Tywin), Greatjon (Greatjon), 1177671, "that count, Lady Stark,� the Greatjon told her in his bass rumble. �Winterfell is safe. We�ll shove our swords up Tywin"
Greatjon (Greatjon), Galbart (Galbart), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon (Greatjon), Rickard (Rickard Karstark), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon (Greatjon), Robett (Robett Glover), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Greatjon (Greatjon), Roose (Roose Bolton), 1179822, "�Pray, who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon"
Helman (Helman), Greatjon (Greatjon), 1179830, "who were those men I saw here a moment ago? Roose Bolton, Rickard Karstark, Galbart and Robett Glover, the Greatjon, Helman"
Greatjon (Greatjon), Robb (Robb), 1188072, "said to her son, �but where, and to what purpose? What do you mean to do?�  Robb hesitated. �The Greatjon"
Tywin (Tywin), Greatjon (Greatjon), 1188119, "purpose? What do you mean to do?�  Robb hesitated. �The Greatjon thinks we should take the battle to Lord Tywin"
Greatjon (Greatjon), Eddard (Ned), 1190971, "once. Again like his father; Ned would always take the more dangerous task himself.  �And the other?�  �The Greatjon"
Tywin (Tywin), Greatjon (Greatjon), 1191020, "the more dangerous task himself.  �And the other?�  �The Greatjon is always saying that we should smash Lord Tywin"
