id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Closeness Centrality
Shagga,Shagga,,3,29,5,0.350140056,0.380533333,124,2,0.00639263,0,0.333333333,1,0.051594646,2.856
Myrcella,Myrcella,,6,43,5,0.355113636,0.3952,2.48968254,4,0.00617648,0,0.733333333,11,0.180311596,2.816
Illyrio M,Illyrio,,5,57,4,0.382262997,0.414,78.25714138,3,0.006172758,0,0.8,8,0.086036884,2.616
Willis W,Willis,,5,24,5,0.368731563,0.408533333,0.25,2,0.005936993,0,0.9,9,0.136213839,2.712
Rhaegar T,Rhaegar,,5,42,4,0.396825397,0.43,61.5179996,0,0.005774728,0,0.5,5,0.153339112,2.52
Doreah,Doreah,,4,46,5,0.299043062,0.332,1,3,0.005730455,0,0.833333333,5,0.026791346,3.344
Aemon T,Aemon,,4,43,5,0.340599455,0.372133333,1.166666667,1,0.005710198,0,0.666666667,4,0.056570969,2.936
Haggo,Haggo,,4,33,5,0.299043062,0.332,0,3,0.005708088,0,1,6,0.02707266,3.344
Cohollo,Cohollo,,4,27,5,0.299043062,0.332,0,3,0.005708088,0,1,6,0.02707266,3.344
Grenn,Grenn,,4,68,5,0.340599455,0.372133333,0,1,0.005619589,0,1,6,0.05459068,2.936
Brandon S,Brandon,,5,37,4,0.382262997,0.415333333,0.904761905,0,0.005548155,0,0.7,7,0.171525194,2.616
Marq P,Marq,,3,17,5,0.318877551,0.3432,125.2575758,5,0.005417616,0,0,0,0.029761518,3.136
Ilyn P,Ilyn,,5,28,4,0.390625,0.424666667,0.142857143,4,0.005228171,0,0.9,9,0.220961535,2.56
Hodor,Hodor,,4,45,5,0.347222222,0.378533333,5.160714286,5,0.005104412,0,0.666666667,4,0.100150822,2.88
Tom,Tom,,4,31,4,0.383435583,0.414,2.366666667,0,0.005063025,0,0.666666667,4,0.129266833,2.608
Meryn T,Meryn,,4,18,5,0.344352617,0.375866667,2.583333333,4,0.005022448,0,0.333333333,2,0.080858675,2.904
Marillion,Marillion,,4,24,5,0.367647059,0.404533333,0,2,0.004895097,0,1,6,0.126097352,2.72
Walder F,Walder,,4,32,5,0.363372093,0.398533333,0.5625,5,0.004709116,0,0.833333333,5,0.133576849,2.752
