id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Eddard S,Eddard,,47,1050,3,0.595238095,0.678666667,2267.522847,2,0.047577414,0,0.174838113,189,1
Tyrion L,Tyrion,,36,524,4,0.529661017,0.616,1637.841725,1,0.040838173,0,0.177777778,112,0.743533076
Catelyn S,Catelyn,,33,428,4,0.523012552,0.604,1029.898115,1,0.03445816,0,0.223484848,118,0.74487768
Jon S,Jon,,28,613,4,0.506072874,0.580666667,1343.2632,5,0.032582097,0,0.214285714,81,0.571271727
Robert B,Robert,,33,714,3,0.558035714,0.622666667,1301.025659,2,0.030448862,0,0.289772727,153,0.85817482
Sansa S,Sansa,,29,473,4,0.512295082,0.586666667,689.5534726,3,0.028156896,0,0.280788177,114,0.726826253
Robb S,Robb,,28,439,4,0.514403292,0.585333333,708.971954,4,0.027969803,0,0.267195767,101,0.670569082
Daenerys T,Daenerys,,17,362,4,0.418060201,0.483333333,1424.088885,0,0.020467036,0,0.25,34,0.175639284
Joffrey B,Joffrey,,22,313,4,0.480769231,0.547333333,199.5708492,3,0.019999212,0,0.402597403,93,0.641289171
Bran S,Bran,,20,433,4,0.48828125,0.547333333,326.19103,4,0.019887405,0,0.378947368,72,0.55113975
Arya S,Arya,,20,365,4,0.468164794,0.533333333,201.1459052,3,0.019207844,0,0.363157895,69,0.543257701
Cersei L,Cersei,,21,292,4,0.464684015,0.533333333,134.8392351,2,0.019020835,0,0.466666667,98,0.641249379
Drogo,Drogo,,14,167,5,0.307125307,0.373333333,264.6904762,0,0.018718212,0,0.285714286,26,0.062906472
Jaime L,Jaime,,18,180,4,0.462962963,0.522666667,108.9930596,1,0.016886454,0,0.444444444,68,0.549299001
Petyr B,Petyr,,18,253,4,0.459558824,0.520666667,70.12925647,2,0.016338919,0,0.54248366,83,0.586612257
Tywin L,Tywin,,15,150,4,0.452898551,0.506666667,257.1016669,1,0.015970142,0,0.333333333,35,0.401864167
Jory C,Jory,,15,123,4,0.451263538,0.507333333,189.8554078,2,0.015495866,0,0.40952381,43,0.462384672
Theon G,Theon,,12,93,4,0.440140845,0.489333333,69.72079611,4,0.012453989,0,0.46969697,31,0.31567844
Samwell T,Samwell,,9,130,5,0.362318841,0.411866667,153.6309524,5,0.012100814,0,0.361111111,13,0.110312765
Rodrik C,Rodrik,,12,92,4,0.444839858,0.492666667,50.77692014,1,0.011964136,0,0.5,33,0.38354763
Renly B,Renly,,13,158,4,0.431034483,0.484666667,22.26697569,2,0.011894494,0,0.692307692,54,0.443889198
Varys,Varys,,13,191,4,0.423728814,0.478,14.52624597,2,0.011750977,0,0.705128205,55,0.450018384
Luwin,Luwin,,11,135,4,0.454545455,0.498,73.01634439,4,0.011628026,0,0.581818182,32,0.330382069
Lysa A,Lysa,,11,112,4,0.434027778,0.480666667,84.33291278,1,0.01143443,0,0.527272727,29,0.340816001
Jon A,Jon Arryn,,12,143,4,0.441696113,0.490666667,20.59402059,2,0.011166341,0,0.681818182,45,0.441015392
Jorah M,Jorah,,9,109,5,0.307881773,0.358,18.26948052,0,0.010927442,0,0.5,18,0.05966042
Pycelle,Pycelle,,11,138,4,0.400641026,0.451333333,125.3964803,2,0.010817401,0,0.727272727,40,0.37771158
Sandor C,Sandor,,11,104,4,0.404530744,0.454666667,27.35733354,3,0.010543411,0,0.581818182,32,0.366304714
Qotho,Qotho,,7,57,5,0.301932367,0.345333333,5.795238095,0,0.00941585,0,0.523809524,11,0.036796478
Irri,Irri,,7,73,5,0.301932367,0.345333333,4.333333333,0,0.009024225,0,0.619047619,13,0.042271021
Benjen S,Benjen,,8,74,5,0.388198758,0.438533333,11.92047258,5,0.008881611,0,0.642857143,18,0.215231561
Gregor C,Gregor,,8,58,4,0.429553265,0.469333333,181.9945813,3,0.008824225,0,0.535714286,15,0.268508416
Bronn,Bronn,,7,94,5,0.377643505,0.423866667,14.35042857,1,0.008333282,0,0.523809524,11,0.164156828
Barristan S,Barristan,,9,105,4,0.39556962,0.440666667,0.819236464,2,0.008326591,0,0.916666667,33,0.339973393
Viserys T,Viserys,,7,85,4,0.384615385,0.422,114.6141843,0,0.008297216,0,0.619047619,13,0.099537564
Edmure T,Edmure,,7,34,5,0.374251497,0.4192,78.54168732,1,0.008047658,0,0.428571429,9,0.186675971
Greatjon U,Greatjon,,6,33,5,0.360230548,0.400533333,127.7788462,4,0.00793224,0,0.466666667,7,0.127130864
Jeor M,Jeor,,6,57,5,0.369822485,0.412533333,21.54087302,5,0.007789249,0,0.466666667,7,0.113164056
Alliser T,Alliser,,6,54,5,0.370919881,0.413866667,30.84977975,5,0.007691506,0,0.6,9,0.109485497
Stannis B,Stannis,,8,85,4,0.39556962,0.438,2.24532539,2,0.007618029,0,0.785714286,22,0.299674082
Rickon S,Rickon,,7,86,4,0.428082192,0.466,1.139905356,4,0.007273951,0,0.904761905,19,0.274453545
