id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Septa M,Mordane,,7,118,4,0.393081761,0.432666667,18.56436091,3,0.007175293,0,0.714285714,15,0.250461828
Vardis E,Vardis,,5,33,5,0.367647059,0.407866667,124.3333333,1,0.006954806,0,0.5,5,0.126717869
Rickard K,Rickard,,6,38,4,0.412541254,0.448,31.91156066,4,0.006930429,0,0.666666667,10,0.198235165
Aggo,Aggo,,5,30,5,0.300480769,0.337333333,2.7,0,0.006849048,0,0.7,7,0.031610203
Pyp,Pyp,,5,87,5,0.341530055,0.376133333,0.25,5,0.006759282,0,0.9,9,0.061941966
Halder,Halder,,5,43,5,0.341530055,0.376133333,0.25,5,0.006759282,0,0.9,9,0.061941966
Loras T,Loras,,6,48,4,0.390625,0.426666667,15.26626984,3,0.006662007,0,0.666666667,10,0.177547658
Jhogo,Jhogo,,5,38,5,0.300480769,0.337333333,0.25,0,0.006645064,0,0.9,9,0.033557789
Brynden T,Brynden,,6,48,5,0.364431487,0.405866667,5.533357737,1,0.006621318,0,0.533333333,8,0.168439031
Shagga,Shagga,,3,28,5,0.350140056,0.380533333,124,1,0.006395313,0,0.333333333,1,0.051668386
Myrcella,Myrcella,,6,43,5,0.355113636,0.3952,2.48968254,3,0.006201098,0,0.733333333,11,0.180090063
Illyrio M,Illyrio,,5,57,4,0.382262997,0.414,78.25714138,0,0.006175868,0,0.8,8,0.086117158
Willis W,Willis,,5,24,5,0.368731563,0.408533333,0.25,1,0.005942912,0,0.9,9,0.136427102
Rhaegar T,Rhaegar,,5,42,4,0.396825397,0.43,61.5179996,2,0.005780094,0,0.5,5,0.153464517
Doreah,Doreah,,4,46,5,0.299043062,0.332,1,0,0.005731519,0,0.833333333,5,0.026835608
Aemon T,Aemon,,4,43,5,0.340599455,0.372133333,1.166666667,5,0.005713987,0,0.666666667,4,0.056656959
Haggo,Haggo,,4,33,5,0.299043062,0.332,0,0,0.005709086,0,1,6,0.027117465
Cohollo,Cohollo,,4,27,5,0.299043062,0.332,0,0,0.005709086,0,1,6,0.027117465
Grenn,Grenn,,4,68,5,0.340599455,0.372133333,0,5,0.005623181,0,1,6,0.054672628
Brandon S,Brandon,,5,37,4,0.382262997,0.415333333,0.904761905,2,0.005556544,0,0.7,7,0.171655516
Marq P,Marq,,3,17,5,0.318877551,0.3432,125.2575758,1,0.005421617,0,0,0,0.029759607
Ilyn P,Ilyn,,5,28,4,0.390625,0.424666667,0.142857143,3,0.005244011,0,0.9,9,0.220903556
Hodor,Hodor,,4,45,5,0.347222222,0.378533333,5.160714286,4,0.005109735,0,0.666666667,4,0.100303418
Tom,Tom,,4,31,4,0.383435583,0.414,2.416666667,2,0.005074033,0,0.666666667,4,0.129264618
Meryn T,Meryn,,4,18,5,0.344352617,0.375866667,2.583333333,3,0.005036907,0,0.333333333,2,0.080180131
Marillion,Marillion,,4,24,5,0.367647059,0.404533333,0,1,0.004900017,0,1,6,0.126290518
Walder F,Walder,,4,32,5,0.363372093,0.398533333,0.5625,1,0.004714072,0,0.833333333,5,0.133780995
Rakharo,Rakharo,,3,17,5,0.296912114,0.325333333,0.5,0,0.004709449,0,0.666666667,2,0.019240873
Quaro,Quaro,,3,15,5,0.296912114,0.325333333,0.5,0,0.004693232,0,0.666666667,2,0.0197878
Lyanna,Lyanna,,4,33,4,0.388198758,0.419333333,1.293253968,2,0.00460422,0,0.833333333,5,0.170853686
Aerys T,Aerys,,4,30,4,0.383435583,0.414,0.438034188,2,0.004576447,0,0.833333333,5,0.159620598
Chett,Chett,,3,17,5,0.339673913,0.368133333,0,5,0.004538331,0,1,3,0.049266895
Jhiqui,Jhiqui,,3,51,5,0.296912114,0.325333333,0,0,0.004529105,0,1,3,0.020831859
Tommen,Tommen,,4,23,5,0.349162011,0.384133333,1.71047286,3,0.0045023,0,0.666666667,4,0.118506595
Mirri M,Mirri,,3,47,5,0.298329356,0.328,0,0,0.004495345,0,1,3,0.024092465
Galbart G,Galbart,,3,13,5,0.343406593,0.370533333,0,4,0.004144952,0,1,3,0.063270523
Yoren,Yoren,,3,19,5,0.366568915,0.400533333,0,5,0.004088036,0,1,3,0.09739344
Alyn,Alyn,,3,25,4,0.377643505,0.404666667,0,2,0.004086023,0,1,3,0.097241015
Harwin,Harwin,,3,14,4,0.377643505,0.404666667,0,2,0.004086023,0,1,3,0.097241015
Hoster T,Hoster,,3,15,5,0.348189415,0.3772,0.6,1,0.003992691,0,0.666666667,2,0.06944223
Conn,Conn,,2,13,5,0.349162011,0.376533333,0,1,0.003970261,0,1,1,0.050852544
Syrio F,Syrio,,3,30,4,0.383435583,0.411333333,7.8870782,3,0.003936744,0,0.333333333,1,0.101428008
Kevan L,Kevan,,3,27,5,0.362318841,0.3952,0,1,0.003856977,0,1,3,0.105704252
Boros B,Boros,,3,17,5,0.349162011,0.3792,0.80728022,3,0.003855086,0,0.666666667,2,0.089507659
Hallis M,Hallis,,3,13,5,0.356125356,0.3872,0,4,0.003809173,0,1,3,0.108610829
Jyck,Jyck,,2,11,5,0.348189415,0.3752,0,1,0.003748069,0,1,1,0.05066881
Morrec,Morrec,,2,10,5,0.348189415,0.3752,0,1,0.003748069,0,1,1,0.05066881
Jeyne P,Jeyne,,3,42,5,0.344352617,0.3732,0,3,0.003702563,0,1,3,0.094126865
Mycah,Mycah,,3,18,5,0.349162011,0.379866667,0,3,0.003604042,0,1,3,0.117726371
Janos S,Janos,,3,12,4,0.381097561,0.408666667,0,2,0.003592777,0,1,3,0.140448831
Jaremy R,Jaremy,,2,8,5,0.337837838,0.3628,0,5,0.003283853,0,1,1,0.04453344
Chiggen,Chiggen,,2,12,5,0.348189415,0.3752,0,1,0.003166756,0,1,1,0.057702539
Cayn,Cayn,,2,13,4,0.375375375,0.399333333,0,2,0.003128656,0,1,1,0.070646391
Nan,Old Nan,,2,22,5,0.329815303,0.351466667,0,4,0.003121385,0,1,1,0.041072614
Robert A,Robert Arryn,,2,14,5,0.350140056,0.377866667,0,1,0.00303834,0,1,1,0.068093744
Timett,Timett,,1,4,6,0.25987526,0.274133333,0,1,0.003005924,0,0,0,0.003982996
Beric D,Beric,,2,9,5,0.340599455,0.3652,0,3,0.002959049,0,1,1,0.056237454
Roose B,Roose,,2,9,5,0.349162011,0.3752,0,4,0.002944436,0,1,1,0.067149251
Osha,Osha,,2,21,5,0.329815303,0.351466667,0,4,0.002934149,0,1,1,0.055146178
Hal M,Hal,,2,11,5,0.355113636,0.3832,0,4,0.002927019,0,1,1,0.088543196
Raymun D,Raymun,,2,9,4,0.377643505,0.402,0,2,0.002834846,0,1,1,0.115073295
Karyl V,Karyl,,1,6,6,0.242248062,0.254533333,0,1,0.00272761,0,0,0,0.002650791
Colemon,Colemon,,1,4,6,0.269396552,0.286533333,0,1,0.002372822,0,0,0,0.008491729
Randyll T,Randyll,,1,5,6,0.26652452,0.285866667,0,5,0.002334078,0,0,0,0.008203399
Ogo,Ogo,,1,10,6,0.235404896,0.260266667,0,0,0.002327548,0,0,0,0.006590666
Rhaego,Rhaego,,1,4,6,0.235404896,0.260266667,0,0,0.002327548,0,0,0,0.006590666
Maege M,Maege,,1,5,6,0.265392781,0.282266667,0,4,0.002314175,0,0,0,0.008600925
Bowen M,Bowen,,1,5,5,0.336927224,0.3588,0,5,0.002179864,0,0,0,0.03659012
Donal N,Donal,,1,7,5,0.336927224,0.3588,0,5,0.002179864,0,0,0,0.03659012
Dareon,Dareon,,1,5,5,0.336927224,0.3588,0,5,0.002179864,0,0,0,0.03659012
Hobb,Hobb,,1,6,5,0.336927224,0.3588,0,5,0.002179864,0,0,0,0.03659012
Mord,Mord,,1,19,5,0.347222222,0.3712,0,1,0.002154813,0,0,0,0.046869549
Shae,Shae,,1,12,5,0.347222222,0.3712,0,1,0.002154813,0,0,0,0.046869549
Lefford,Lefford,,1,4,5,0.347222222,0.3712,0,1,0.002154813,0,0,0,0.046869549
Addam M,Addam,,1,6,5,0.3125,0.330533333,0,1,0.002095376,0,0,0,0.025170165
Masha H,Masha,,1,5,5,0.344352617,0.3672,0,1,0.002077958,0,0,0,0.04656411
Stevron F,Stevron,,1,5,5,0.344352617,0.3672,0,1,0.002077958,0,0,0,0.04656411
Donnel W,Donnel,,1,4,5,0.344352617,0.3672,0,1,0.002077958,0,0,0,0.04656411
Hullen,Hullen,,1,5,5,0.311720698,0.330666667,0,2,0.002068359,0,0,0,0.02851472
Desmond,Desmond,,1,4,4,0.374251497,0.395333333,0,2,0.00205071,0,0,0,0.06221903
Vayon P,Vayon,,1,9,4,0.374251497,0.395333333,0,2,0.00205071,0,0,0,0.06221903
Tobho M,Tobho,,1,7,4,0.374251497,0.395333333,0,2,0.00205071,0,0,0,0.06221903
Torrhen K,Torrhen,,1,5,4,0.374251497,0.395333333,0,2,0.00205071,0,0,0,0.06221903
Malleon,Malleon,,1,5,5,0.286697248,0.3052,0,2,0.002026054,0,0,0,0.023008803
Maegor,Maegor,,1,4,5,0.339673913,0.3612,0,3,0.002015514,0,0,0,0.044897626
